contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
AAPL250613C00110000,2025-06-11 19:21:18+00:00,110.0,88.7,88.65,89.5,-4.3600006,-4.68515,16.0,28,3.425782685546875,True,REGULAR,USD,call,2025-06-13
AAPL250613C00120000,2025-06-10 19:20:14+00:00,120.0,83.06,78.0,79.65,0.0,0.0,4.0,1,2.6640658398437504,True,REGULAR,USD,call,2025-06-13
AAPL250613C00125000,2025-06-10 19:22:59+00:00,125.0,78.05,73.35,74.75,0.0,0.0,5.0,6,2.74219064453125,True,REGULAR,USD,call,2025-06-13
AAPL250613C00130000,2025-06-10 19:22:59+00:00,130.0,73.06,68.0,69.7,0.0,0.0,4.0,2,2.3203166992187496,True,REGULAR,USD,call,2025-06-13
AAPL250613C00135000,2025-06-04 19:58:29+00:00,135.0,68.14,63.35,64.75,0.0,0.0,8.0,5,2.3437541406249993,True,REGULAR,USD,call,2025-06-13
AAPL250613C00140000,2025-06-11 15:05:09+00:00,140.0,62.0,58.65,59.75,-0.90999985,-1.4465107,4.0,5,2.2675824560546873,True,REGULAR,USD,call,2025-06-13
AAPL250613C00145000,2025-06-10 14:03:26+00:00,145.0,57.9,53.35,54.75,0.0,0.0,4.0,2,1.96875015625,True,REGULAR,USD,call,2025-06-13
AAPL250613C00150000,2025-06-10 16:34:41+00:00,150.0,52.64,48.6,49.55,0.0,0.0,23.0,26,1.8066415917968748,True,REGULAR,USD,call,2025-06-13
AAPL250613C00155000,2025-06-10 14:15:36+00:00,155.0,44.85,43.9,44.55,-3.4500008,-7.1428585,1.0,5,1.71875140625,True,REGULAR,USD,call,2025-06-13
AAPL250613C00160000,2025-06-10 13:47:01+00:00,160.0,41.25,38.4,39.5,-0.52000046,-1.2449137,1.0,57,1.3750031249999999,True,REGULAR,USD,call,2025-06-13
AAPL250613C00165000,2025-06-11 19:10:06+00:00,165.0,34.42,33.35,34.55,-3.5200005,-9.277809,1.0,96,1.2109414453124998,True,REGULAR,USD,call,2025-06-13
AAPL250613C00170000,2025-06-10 19:49:59+00:00,170.0,33.0,28.95,29.5,0.0,0.0,8.0,3983,1.18359783203125,True,REGULAR,USD,call,2025-06-13
AAPL250613C00172500,2025-06-09 17:40:26+00:00,172.5,29.15,25.85,26.95,0.0,0.0,1.0,1,0.940430283203125,True,REGULAR,USD,call,2025-06-13
AAPL250613C00175000,2025-06-11 19:05:18+00:00,175.0,24.0,24.15,24.4,-3.2999992,-12.087911,9.0,62,1.0273486132812502,True,REGULAR,USD,call,2025-06-13
AAPL250613C00177500,2025-06-11 18:53:23+00:00,177.5,21.85,21.6,22.65,-2.2799988,-9.448814,1.0,9,1.05078599609375,True,REGULAR,USD,call,2025-06-13
AAPL250613C00180000,2025-06-11 19:19:48+00:00,180.0,18.8,19.15,19.25,-3.8000011,-16.814165,131.0,2018,0.8247087841796874,True,REGULAR,USD,call,2025-06-13
AAPL250613C00182500,2025-06-11 16:43:27+00:00,182.5,18.15,16.05,17.25,-1.710001,-8.610276,5.0,203,0.72070591796875,True,REGULAR,USD,call,2025-06-13
AAPL250613C00185000,2025-06-11 19:20:31+00:00,185.0,13.83,14.05,14.3,-3.9699993,-22.303368,50.0,385,0.64062859375,True,REGULAR,USD,call,2025-06-13
AAPL250613C00187500,2025-06-11 19:10:01+00:00,187.5,11.9,11.65,12.0,-3.1000004,-20.666668,68.0,410,0.5908244042968751,True,REGULAR,USD,call,2025-06-13
AAPL250613C00190000,2025-06-11 19:26:11+00:00,190.0,9.25,9.15,9.3,-3.5600004,-27.79079,462.0,1321,0.4892629199218751,True,REGULAR,USD,call,2025-06-13
AAPL250613C00192500,2025-06-11 19:20:48+00:00,192.5,6.72,6.9,7.1,-3.6799998,-35.384613,194.0,800,0.44995667236328124,True,REGULAR,USD,call,2025-06-13
AAPL250613C00195000,2025-06-11 19:24:22+00:00,195.0,4.9,4.7,4.8,-3.1200004,-38.902744,4303.0,2889,0.37036762451171873,True,REGULAR,USD,call,2025-06-13
AAPL250613C00197500,2025-06-11 19:25:31+00:00,197.5,2.99,2.91,2.94,-2.84,-48.71355,4685.0,1341,0.33008482421874996,True,REGULAR,USD,call,2025-06-13
AAPL250613C00200000,2025-06-11 19:26:48+00:00,200.0,1.54,1.56,1.57,-2.46,-61.5,33694.0,8963,0.30664755859375,False,REGULAR,USD,call,2025-06-13
AAPL250613C00202500,2025-06-11 19:26:55+00:00,202.5,0.75,0.73,0.76,-1.6800001,-69.1358,69724.0,11706,0.3012765185546875,False,REGULAR,USD,call,2025-06-13
AAPL250613C00205000,2025-06-11 19:26:54+00:00,205.0,0.3,0.3,0.31,-1.0699999,-78.10219,81001.0,35020,0.2954172021484375,False,REGULAR,USD,call,2025-06-13
AAPL250613C00207500,2025-06-11 19:25:42+00:00,207.5,0.14,0.13,0.14,-0.57,-80.28169,23218.0,16060,0.30762411132812495,False,REGULAR,USD,call,2025-06-13
AAPL250613C00210000,2025-06-11 19:26:36+00:00,210.0,0.08,0.07,0.08,-0.28000003,-77.77779,30988.0,41989,0.335944140625,False,REGULAR,USD,call,2025-06-13
AAPL250613C00212500,2025-06-11 19:23:01+00:00,212.5,0.05,0.04,0.05,-0.13000001,-76.47059,14848.0,20050,0.3632876171875,False,REGULAR,USD,call,2025-06-13
AAPL250613C00215000,2025-06-11 19:23:52+00:00,215.0,0.03,0.02,0.03,-0.07,-70.0,28329.0,28223,0.38672488281249995,False,REGULAR,USD,call,2025-06-13
AAPL250613C00217500,2025-06-11 19:25:45+00:00,217.5,0.03,0.01,0.03,-0.03,-75.0,4216.0,11034,0.437505625,False,REGULAR,USD,call,2025-06-13
AAPL250613C00220000,2025-06-11 19:19:38+00:00,220.0,0.01,0.01,0.02,-0.02,-66.66667,3511.0,20081,0.46094289062500005,False,REGULAR,USD,call,2025-06-13
AAPL250613C00222500,2025-06-11 19:19:15+00:00,222.5,0.01,0.0,0.02,-0.01,-50.0,9011.0,12853,0.5039112109375,False,REGULAR,USD,call,2025-06-13
AAPL250613C00225000,2025-06-11 18:07:17+00:00,225.0,0.01,0.0,0.01,-0.01,-50.0,1081.0,19346,0.507817421875,False,REGULAR,USD,call,2025-06-13
AAPL250613C00227500,2025-06-11 19:17:10+00:00,227.5,0.01,0.0,0.01,0.0,0.0,152.0,5220,0.51562984375,False,REGULAR,USD,call,2025-06-13
AAPL250613C00230000,2025-06-11 18:07:00+00:00,230.0,0.01,0.0,0.01,0.0,0.0,148.0,9252,0.5468795312500001,False,REGULAR,USD,call,2025-06-13
