contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
ABBV250613C00100000,2025-06-03 18:35:51+00:00,100.0,88.74,90.15,92.3,0.0,0.0,2.0,0,4.277348403320312,True,REGULAR,USD,call,2025-06-13
ABBV250613C00105000,2025-06-10 19:49:46+00:00,105.0,84.3,86.15,87.2,0.0,0.0,2.0,4,3.3808609228515625,True,REGULAR,USD,call,2025-06-13
ABBV250613C00155000,2025-05-12 15:34:59+00:00,155.0,37.2,36.15,37.25,0.0,0.0,1.0,1,1.39453427734375,True,REGULAR,USD,call,2025-06-13
ABBV250613C00160000,2025-05-30 14:20:01+00:00,160.0,25.5,31.25,32.2,0.0,0.0,2.0,2,1.2343788281249999,True,REGULAR,USD,call,2025-06-13
ABBV250613C00165000,2025-06-11 16:53:29+00:00,165.0,27.45,26.25,27.25,4.9400005,21.945805,3.0,4,1.0732468212890627,True,REGULAR,USD,call,2025-06-13
ABBV250613C00167500,2025-06-09 16:56:11+00:00,167.5,22.5,23.85,24.6,0.0,0.0,2.0,2,0.973633076171875,True,REGULAR,USD,call,2025-06-13
ABBV250613C00170000,2025-06-04 14:36:17+00:00,170.0,19.1,20.9,22.15,0.0,0.0,1.0,3,0.7841818457031251,True,REGULAR,USD,call,2025-06-13
ABBV250613C00172500,2025-05-27 17:22:45+00:00,172.5,14.0,18.65,19.8,0.0,0.0,,3,0.8007832421875,True,REGULAR,USD,call,2025-06-13
ABBV250613C00175000,2025-06-10 16:46:35+00:00,175.0,14.63,15.85,17.15,0.0,0.0,6.0,25,0.6123085644531252,True,REGULAR,USD,call,2025-06-13
ABBV250613C00177500,2025-06-06 17:25:37+00:00,177.5,12.29,13.6,15.7,0.0,0.0,1.0,51,0.7563500927734376,True,REGULAR,USD,call,2025-06-13
ABBV250613C00180000,2025-06-10 19:22:53+00:00,180.0,10.5,11.45,11.8,-0.26000023,-2.416359,1.0,129,0.5029346582031251,True,REGULAR,USD,call,2025-06-13
ABBV250613C00182500,2025-06-11 13:38:54+00:00,182.5,8.95,8.9,10.8,1.0899997,13.867681,2.0,11,0.5981485498046876,True,REGULAR,USD,call,2025-06-13
ABBV250613C00185000,2025-06-11 15:03:27+00:00,185.0,7.07,6.35,7.55,0.6700001,10.468751,7.0,463,0.5258836474609375,True,REGULAR,USD,call,2025-06-13
ABBV250613C00187500,2025-06-11 17:49:04+00:00,187.5,5.91,4.8,5.2,1.75,42.06731,5.0,51,0.42969320312500003,True,REGULAR,USD,call,2025-06-13
ABBV250613C00190000,2025-06-11 18:07:59+00:00,190.0,3.4,3.05,3.25,0.95000005,38.775513,75.0,606,0.37256486816406253,True,REGULAR,USD,call,2025-06-13
ABBV250613C00192500,2025-06-11 18:59:53+00:00,192.5,1.85,1.79,1.9,0.49,36.02941,234.0,1066,0.3557193334960937,False,REGULAR,USD,call,2025-06-13
ABBV250613C00195000,2025-06-11 18:28:23+00:00,195.0,1.0,0.85,1.0,0.26999998,36.986298,103.0,918,0.3469303588867187,False,REGULAR,USD,call,2025-06-13
ABBV250613C00197500,2025-06-11 19:20:06+00:00,197.5,0.43,0.38,0.46,0.0,0.0,143.0,518,0.3393620751953125,False,REGULAR,USD,call,2025-06-13
ABBV250613C00200000,2025-06-11 18:37:27+00:00,200.0,0.2,0.17,0.21,0.049999997,33.33333,325.0,460,0.344733115234375,False,REGULAR,USD,call,2025-06-13
ABBV250613C00202500,2025-06-11 18:27:06+00:00,202.5,0.07,0.04,0.11,0.02,40.0,37.0,248,0.3632876171875,False,REGULAR,USD,call,2025-06-13
ABBV250613C00205000,2025-06-11 15:46:50+00:00,205.0,0.04,0.0,0.05,0.01,33.333336,138.0,683,0.37305314453125,False,REGULAR,USD,call,2025-06-13
ABBV250613C00207500,2025-06-09 13:52:51+00:00,207.5,0.01,0.0,0.22,0.0,0.0,1.0,4,0.5537154003906251,False,REGULAR,USD,call,2025-06-13
ABBV250613C00210000,2025-06-11 13:42:42+00:00,210.0,0.07,0.0,0.26,0.04,133.33333,30.0,50,0.5585981640625001,False,REGULAR,USD,call,2025-06-13
ABBV250613C00215000,2025-06-02 19:03:00+00:00,215.0,0.03,0.0,0.22,0.0,0.0,1.0,12,0.6543003320312502,False,REGULAR,USD,call,2025-06-13
ABBV250613C00220000,2025-06-10 17:46:59+00:00,220.0,0.08,0.0,0.64,0.0,0.0,3.0,14,0.914063359375,False,REGULAR,USD,call,2025-06-13
ABBV250613C00235000,2025-05-30 13:31:49+00:00,235.0,0.27,0.0,0.59,0.0,0.0,8.0,4,1.2265663671875,False,REGULAR,USD,call,2025-06-13
ABBV250613P00105000,2025-05-28 17:30:03+00:00,105.0,0.13,0.0,0.53,0.0,0.0,1.0,1,3.1601583496093753,False,REGULAR,USD,put,2025-06-13
ABBV250613P00150000,2025-05-29 18:34:49+00:00,150.0,0.34,0.0,0.93,0.0,0.0,10.0,162,1.5927754736328121,False,REGULAR,USD,put,2025-06-13
ABBV250613P00155000,2025-05-29 18:34:49+00:00,155.0,0.39,0.0,0.05,0.0,0.0,10.0,53,0.914063359375,False,REGULAR,USD,put,2025-06-13
ABBV250613P00160000,2025-06-11 19:09:22+00:00,160.0,0.01,0.0,0.01,-0.01,-50.0,1.0,169,0.6718782812500002,False,REGULAR,USD,put,2025-06-13
ABBV250613P00162500,2025-06-11 13:48:28+00:00,162.5,0.02,0.0,0.51,-0.01,-33.333336,1.0,66,1.01953615234375,False,REGULAR,USD,put,2025-06-13
ABBV250613P00165000,2025-06-09 19:32:26+00:00,165.0,0.04,0.0,0.25,0.0,0.0,6.0,109,0.8300798242187499,False,REGULAR,USD,put,2025-06-13
ABBV250613P00167500,2025-06-09 17:08:19+00:00,167.5,0.35,0.0,0.09,0.0,0.0,16.0,21,0.6523472265625001,False,REGULAR,USD,put,2025-06-13
ABBV250613P00170000,2025-06-11 15:23:06+00:00,170.0,0.09,0.0,0.3,-0.049999997,-35.714283,3.0,449,0.7070341796875,False,REGULAR,USD,put,2025-06-13
ABBV250613P00172500,2025-06-10 15:45:56+00:00,172.5,0.06,0.0,0.59,0.0,0.0,83.0,389,0.7236355761718749,False,REGULAR,USD,put,2025-06-13
ABBV250613P00175000,2025-06-11 19:28:17+00:00,175.0,0.07,0.05,0.07,-0.049999997,-50.0,117.0,273,0.49219257812500006,False,REGULAR,USD,put,2025-06-13
ABBV250613P00177500,2025-06-11 16:15:46+00:00,177.5,0.14,0.07,0.14,0.020000003,16.66667,176.0,143,0.47949739257812496,False,REGULAR,USD,put,2025-06-13
ABBV250613P00180000,2025-06-11 18:02:34+00:00,180.0,0.18,0.12,0.2,-0.20999998,-53.84615,25.0,250,0.436529072265625,False,REGULAR,USD,put,2025-06-13
ABBV250613P00182500,2025-06-11 19:13:50+00:00,182.5,0.26,0.23,0.29,-0.45,-63.380283,133.0,1235,0.3920959228515625,False,REGULAR,USD,put,2025-06-13
ABBV250613P00185000,2025-06-11 19:02:15+00:00,185.0,0.48,0.45,0.52,-0.68999994,-58.974354,136.0,581,0.3667055517578125,False,REGULAR,USD,put,2025-06-13
ABBV250613P00187500,2025-06-11 18:26:52+00:00,187.5,0.9,0.89,1.03,-1.0500001,-53.846157,120.0,437,0.36035795898437495,False,REGULAR,USD,put,2025-06-13
ABBV250613P00190000,2025-06-11 18:08:58+00:00,190.0,1.49,1.59,1.71,-1.6600001,-52.698418,50.0,228,0.33179379150390625,False,REGULAR,USD,put,2025-06-13
ABBV250613P00192500,2025-06-11 18:38:47+00:00,192.5,2.58,2.54,2.87,-1.3200002,-33.846157,11.0,71,0.3166572241210937,True,REGULAR,USD,put,2025-06-13
ABBV250613P00195000,2025-06-11 16:37:22+00:00,195.0,3.9,4.3,4.65,-1.2999997,-24.999994,5.0,8,0.3320379296875,True,REGULAR,USD,put,2025-06-13
ABBV250613P00200000,2025-06-03 17:15:26+00:00,200.0,12.62,7.4,9.05,0.0,0.0,1.0,2,0.38184211914062494,True,REGULAR,USD,put,2025-06-13
ABBV250613P00205000,2025-06-09 16:03:24+00:00,205.0,15.15,13.05,13.8,0.0,0.0,1.0,0,0.38867798828125,True,REGULAR,USD,put,2025-06-13
ABBV250613P00235000,2025-05-20 19:05:18+00:00,235.0,50.9,42.9,43.85,0.0,0.0,,0,1.05859845703125,True,REGULAR,USD,put,2025-06-13
ABBV250620C00080000,2025-01-14 19:12:39+00:00,80.0,95.15,112.7,115.3,0.0,0.0,122.0,0,3.7636724658203127,True,REGULAR,USD,call,2025-06-20
