contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
AMD250613C00040000,2025-06-11 17:05:18+00:00,40.0,81.5,80.4,81.7,1.0,1.242236,1.0,1,6.726564091796876,True,REGULAR,USD,call,2025-06-13
AMD250613C00045000,2025-06-11 16:19:16+00:00,45.0,76.0,75.3,76.3,1.9000015,2.5641046,2.0,1,4.968753789062499,True,REGULAR,USD,call,2025-06-13
AMD250613C00050000,2025-05-22 19:49:10+00:00,50.0,61.55,70.3,71.45,0.0,0.0,,1,4.941410073242187,True,REGULAR,USD,call,2025-06-13
AMD250613C00055000,2025-06-05 18:46:23+00:00,55.0,61.57,65.2,66.95,0.0,0.0,1.0,0,5.306643991699217,True,REGULAR,USD,call,2025-06-13
AMD250613C00060000,2025-05-30 18:12:25+00:00,60.0,49.9,60.2,61.05,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
AMD250613C00065000,2025-05-29 18:45:22+00:00,65.0,47.8,55.1,56.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
AMD250613C00070000,2025-06-05 14:49:29+00:00,70.0,47.6,50.35,51.9,0.0,0.0,2.0,6,3.8183598291015626,True,REGULAR,USD,call,2025-06-13
AMD250613C00075000,2025-06-09 13:38:19+00:00,75.0,45.45,45.25,46.05,0.0,0.0,4.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
AMD250613C00080000,2025-06-11 16:16:18+00:00,80.0,41.35,40.35,40.95,4.299999,11.605936,2.0,70,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
AMD250613C00084000,2025-06-11 15:01:22+00:00,84.0,39.1,36.55,36.95,9.029999,30.029926,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
AMD250613C00085000,2025-06-11 16:16:18+00:00,85.0,36.35,35.55,36.05,-1.7400017,-4.5681324,1.0,77,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
AMD250613C00086000,2025-06-10 19:52:05+00:00,86.0,37.15,34.5,34.95,0.0,0.0,1.0,20,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
