contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
AMGN250613C00245000,2025-05-29 16:48:51+00:00,245.0,37.85,46.45,49.1,0.0,0.0,2.0,5,1.3178745043945312,True,REGULAR,USD,call,2025-06-13
AMGN250613C00250000,2025-05-08 13:45:46+00:00,250.0,21.0,38.9,42.7,0.0,0.0,,1,1.175297092285156,True,REGULAR,USD,call,2025-06-13
AMGN250613C00260000,2025-06-09 19:56:23+00:00,260.0,30.74,31.65,34.1,0.0,0.0,1.0,3,0.9799806689453125,True,REGULAR,USD,call,2025-06-13
AMGN250613C00265000,2025-05-27 16:27:58+00:00,265.0,15.16,26.85,29.1,0.0,0.0,,1,0.877930908203125,True,REGULAR,USD,call,2025-06-13
AMGN250613C00267500,2025-06-06 14:48:46+00:00,267.5,23.69,24.2,26.0,0.0,0.0,2.0,2,0.735354208984375,True,REGULAR,USD,call,2025-06-13
AMGN250613C00270000,2025-06-06 18:12:30+00:00,270.0,21.0,21.85,24.1,0.0,0.0,3.0,7,0.75195560546875,True,REGULAR,USD,call,2025-06-13
AMGN250613C00272500,2025-06-06 19:57:24+00:00,272.5,18.71,19.0,22.1,0.0,0.0,2.0,5,0.70117486328125,True,REGULAR,USD,call,2025-06-13
AMGN250613C00275000,2025-06-09 17:45:39+00:00,275.0,16.4,16.45,19.7,0.0,0.0,2.0,17,0.6401403173828125,True,REGULAR,USD,call,2025-06-13
AMGN250613C00277500,2025-06-10 14:00:58+00:00,277.5,15.0,14.15,17.0,0.0,0.0,1.0,3,0.5732464550781251,True,REGULAR,USD,call,2025-06-13
AMGN250613C00280000,2025-06-11 13:43:46+00:00,280.0,13.2,12.3,13.3,1.5999994,13.7930975,2.0,129,0.5371140039062501,True,REGULAR,USD,call,2025-06-13
AMGN250613C00282500,2025-06-11 18:17:00+00:00,282.5,10.6,9.4,12.0,-2.9799995,-21.94403,6.0,19,0.6091347680664063,True,REGULAR,USD,call,2025-06-13
AMGN250613C00285000,2025-06-11 18:19:55+00:00,285.0,8.6,7.9,8.8,-1.7999992,-17.307686,7.0,54,0.44727115234375,True,REGULAR,USD,call,2025-06-13
AMGN250613C00287500,2025-06-11 17:58:15+00:00,287.5,7.0,6.2,7.55,-0.6999998,-9.090907,12.0,95,0.49121602539062503,True,REGULAR,USD,call,2025-06-13
AMGN250613C00290000,2025-06-11 18:50:55+00:00,290.0,5.15,4.65,5.45,-0.7999997,-13.445374,35.0,197,0.4294490649414063,True,REGULAR,USD,call,2025-06-13
AMGN250613C00292500,2025-06-11 19:23:23+00:00,292.5,3.5,3.3,4.3,-1.06,-23.245613,50.0,403,0.4414118359375,False,REGULAR,USD,call,2025-06-13
AMGN250613C00295000,2025-06-11 19:21:35+00:00,295.0,2.34,2.14,2.87,-1.3800001,-37.09678,99.0,746,0.40515731567382807,False,REGULAR,USD,call,2025-06-13
AMGN250613C00297500,2025-06-11 19:19:04+00:00,297.5,1.46,1.45,2.03,-0.53999996,-26.999998,75.0,117,0.40418076293945315,False,REGULAR,USD,call,2025-06-13
AMGN250613C00300000,2025-06-11 19:23:58+00:00,300.0,0.9,0.63,1.29,-0.36,-28.571428,124.0,301,0.39087523193359375,False,REGULAR,USD,call,2025-06-13
AMGN250613C00305000,2025-06-10 19:42:53+00:00,305.0,0.54,0.16,0.61,0.0,0.0,55.0,333,0.4062559375,False,REGULAR,USD,call,2025-06-13
AMGN250613C00310000,2025-06-10 17:59:03+00:00,310.0,0.15,0.0,0.51,0.0,0.0,24.0,298,0.4858449853515625,False,REGULAR,USD,call,2025-06-13
AMGN250613C00315000,2025-06-06 15:57:08+00:00,315.0,0.2,0.0,0.2,0.0,0.0,1.0,11,0.476567734375,False,REGULAR,USD,call,2025-06-13
AMGN250613C00320000,2025-06-06 13:50:38+00:00,320.0,0.1,0.0,0.29,0.0,0.0,1.0,2,0.52539537109375,False,REGULAR,USD,call,2025-06-13
AMGN250613C00330000,2025-05-23 18:13:20+00:00,330.0,0.16,0.0,1.47,0.0,0.0,1.0,1,0.9028330029296875,False,REGULAR,USD,call,2025-06-13
AMGN250613C00335000,2025-06-03 15:26:25+00:00,335.0,0.06,0.0,2.49,0.0,0.0,6.0,7,1.115238798828125,False,REGULAR,USD,call,2025-06-13
AMGN250613P00200000,2025-05-22 13:30:02+00:00,200.0,0.25,0.0,2.5,0.0,0.0,,1,2.5742223144531247,False,REGULAR,USD,put,2025-06-13
AMGN250613P00210000,2025-05-15 19:47:29+00:00,210.0,0.7,0.0,2.5,0.0,0.0,1.0,3,2.295902697753906,False,REGULAR,USD,put,2025-06-13
AMGN250613P00215000,2025-05-06 15:04:19+00:00,215.0,0.55,0.0,0.5,0.0,0.0,,1,1.619142529296875,False,REGULAR,USD,put,2025-06-13
AMGN250613P00220000,2025-05-14 18:17:30+00:00,220.0,0.77,0.0,2.49,0.0,0.0,10.0,11,2.0244190014648433,False,REGULAR,USD,put,2025-06-13
AMGN250613P00225000,2025-06-02 14:34:04+00:00,225.0,0.03,0.0,2.07,0.0,0.0,1.0,12,1.818360283203125,False,REGULAR,USD,put,2025-06-13
AMGN250613P00230000,2025-05-23 13:30:11+00:00,230.0,0.86,0.0,1.86,0.0,0.0,20.0,5,1.6533220458984377,False,REGULAR,USD,put,2025-06-13
AMGN250613P00235000,2025-06-02 16:33:58+00:00,235.0,0.14,0.0,2.47,0.0,0.0,10.0,13,1.6318377783203122,False,REGULAR,USD,put,2025-06-13
AMGN250613P00240000,2025-06-04 14:14:20+00:00,240.0,0.02,0.0,0.1,0.0,0.0,7.0,22,0.8789074609374999,False,REGULAR,USD,put,2025-06-13
AMGN250613P00245000,2025-06-10 18:05:11+00:00,245.0,0.01,0.0,0.91,0.0,0.0,12.0,15,1.1123091259765625,False,REGULAR,USD,put,2025-06-13
AMGN250613P00247500,2025-05-27 19:56:38+00:00,247.5,1.09,0.0,0.02,0.0,0.0,,4,0.64062859375,False,REGULAR,USD,put,2025-06-13
AMGN250613P00250000,2025-06-10 18:05:11+00:00,250.0,0.05,0.0,0.1,0.0,0.0,12.0,29,0.7148466015625,False,REGULAR,USD,put,2025-06-13
AMGN250613P00252500,2025-05-29 17:35:43+00:00,252.5,0.65,0.0,1.0,0.0,0.0,,16,0.9697268652343749,False,REGULAR,USD,put,2025-06-13
AMGN250613P00255000,2025-06-04 18:35:23+00:00,255.0,0.2,0.0,0.38,0.0,0.0,15.0,45,0.7666038964843751,False,REGULAR,USD,put,2025-06-13
AMGN250613P00260000,2025-06-11 16:39:39+00:00,260.0,0.18,0.01,0.36,0.010000005,5.8823557,7.0,155,0.6689486230468751,False,REGULAR,USD,put,2025-06-13
AMGN250613P00262500,2025-06-06 14:55:18+00:00,262.5,0.44,0.0,0.24,0.0,0.0,3.0,6,0.5800823242187501,False,REGULAR,USD,put,2025-06-13
AMGN250613P00265000,2025-06-11 17:07:54+00:00,265.0,0.09,0.05,0.63,-0.16,-64.0,26.0,226,0.6455113574218749,False,REGULAR,USD,put,2025-06-13
AMGN250613P00267500,2025-06-05 14:44:09+00:00,267.5,0.31,0.0,1.34,0.0,0.0,3.0,18,0.6928741650390625,False,REGULAR,USD,put,2025-06-13
AMGN250613P00270000,2025-06-11 17:56:35+00:00,270.0,0.12,0.05,0.39,-0.19999999,-62.499996,1.0,357,0.5590864404296876,False,REGULAR,USD,put,2025-06-13
