contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
AMZN250613C00105000,2025-06-11 16:29:41+00:00,105.0,110.94,107.05,109.4,2.0100021,1.8452237,1.0,19,4.564457419433594,True,REGULAR,USD,call,2025-06-13
AMZN250613C00110000,2025-06-10 19:41:41+00:00,110.0,107.14,102.4,104.6,0.0,0.0,2.0,4,3.2265644335937496,True,REGULAR,USD,call,2025-06-13
AMZN250613C00115000,2025-06-10 19:41:41+00:00,115.0,102.16,98.05,98.75,0.0,0.0,2.0,6,2.7343781640625,True,REGULAR,USD,call,2025-06-13
AMZN250613C00120000,2025-06-06 13:30:08+00:00,120.0,92.18,92.9,94.0,0.0,0.0,20.0,28,2.718753203125,True,REGULAR,USD,call,2025-06-13
AMZN250613C00125000,2025-06-11 17:57:51+00:00,125.0,89.55,88.1,88.8,9.43,11.769845,8.0,12,2.5429723925781245,True,REGULAR,USD,call,2025-06-13
AMZN250613C00130000,2025-06-05 14:59:12+00:00,130.0,81.48,82.75,84.25,0.0,0.0,9.0,10,2.480472548828125,True,REGULAR,USD,call,2025-06-13
AMZN250613C00135000,2025-06-11 16:29:41+00:00,135.0,80.92,77.6,79.35,-0.38000488,-0.46741065,2.0,32,2.2617230957031245,True,REGULAR,USD,call,2025-06-13
AMZN250613C00140000,2025-06-05 13:42:34+00:00,140.0,70.08,72.2,75.1,0.0,0.0,4.0,1,2.3476603808593746,True,REGULAR,USD,call,2025-06-13
AMZN250613C00145000,2025-06-06 19:48:39+00:00,145.0,68.45,67.5,70.0,0.0,0.0,4.0,6,2.275394936523437,True,REGULAR,USD,call,2025-06-13
AMZN250613C00150000,2025-06-10 19:24:53+00:00,150.0,67.37,62.9,63.55,0.3199997,0.4772553,1.0,5472,1.8984380078125,True,REGULAR,USD,call,2025-06-13
AMZN250613C00155000,2025-06-10 18:01:36+00:00,155.0,60.71,58.05,58.7,0.0,0.0,20.0,6503,1.4375028125,True,REGULAR,USD,call,2025-06-13
AMZN250613C00160000,2025-06-11 15:44:05+00:00,160.0,56.89,52.95,54.1,2.5200005,4.63491,2.0,271,1.5625021874999998,True,REGULAR,USD,call,2025-06-13
AMZN250613C00165000,2025-06-11 18:03:33+00:00,165.0,48.69,48.0,48.75,-3.3100014,-6.365387,491.0,621,1.1796916015624999,True,REGULAR,USD,call,2025-06-13
AMZN250613C00170000,2025-06-11 18:29:53+00:00,170.0,43.5,43.0,44.05,-3.2799988,-7.011541,26.0,255,1.2734411328124997,True,REGULAR,USD,call,2025-06-13
AMZN250613C00175000,2025-06-11 19:17:02+00:00,175.0,38.08,38.1,38.75,-3.949997,-9.398042,134.0,703,1.0234423828125,True,REGULAR,USD,call,2025-06-13
AMZN250613C00177500,2025-06-11 16:30:32+00:00,177.5,36.3,35.45,36.25,-2.630001,-6.755718,47.0,59,0.8125018749999999,True,REGULAR,USD,call,2025-06-13
AMZN250613C00180000,2025-06-11 18:15:30+00:00,180.0,33.24,33.05,33.55,-4.2599983,-11.359995,32.0,234,1.015629921875,True,REGULAR,USD,call,2025-06-13
AMZN250613C00182500,2025-06-11 18:18:50+00:00,182.5,30.96,30.7,31.15,-1.0600014,-3.3104353,13.0,62,0.8320329296874999,True,REGULAR,USD,call,2025-06-13
AMZN250613C00185000,2025-06-11 18:57:22+00:00,185.0,28.5,28.1,28.65,-3.4099998,-10.686305,65.0,275,0.70117486328125,True,REGULAR,USD,call,2025-06-13
AMZN250613C00187500,2025-06-11 15:14:12+00:00,187.5,28.25,25.65,26.15,-0.35000038,-1.2237775,32.0,379,0.6777375976562501,True,REGULAR,USD,call,2025-06-13
AMZN250613C00190000,2025-06-11 19:18:17+00:00,190.0,23.2,23.4,24.1,-4.039999,-14.831127,48.0,608,0.840821904296875,True,REGULAR,USD,call,2025-06-13
AMZN250613C00192500,2025-06-11 19:08:13+00:00,192.5,20.82,20.85,21.05,-3.7800007,-15.365856,4.0,431,0.6035195898437502,True,REGULAR,USD,call,2025-06-13
AMZN250613C00195000,2025-06-11 18:38:51+00:00,195.0,18.6,18.3,18.55,-3.5499992,-16.027086,31.0,1082,0.5195360546875,True,REGULAR,USD,call,2025-06-13
AMZN250613C00197500,2025-06-11 18:57:27+00:00,197.5,16.15,15.85,16.2,-3.1200008,-16.190975,100.0,693,0.5185595019531251,True,REGULAR,USD,call,2025-06-13
AMZN250613C00200000,2025-06-11 19:15:56+00:00,200.0,13.4,13.3,13.5,-4.26,-24.122313,257.0,5093,0.437505625,True,REGULAR,USD,call,2025-06-13
AMZN250613C00202500,2025-06-11 19:00:42+00:00,202.5,11.0,11.0,11.25,-4.05,-26.910301,204.0,3179,0.45703667968750006,True,REGULAR,USD,call,2025-06-13
AMZN250613C00205000,2025-06-11 19:22:16+00:00,205.0,8.42,8.7,8.85,-4.1800003,-33.174606,231.0,2924,0.401373173828125,True,REGULAR,USD,call,2025-06-13
AMZN250613C00207500,2025-06-11 19:17:08+00:00,207.5,6.0,6.1,6.25,-4.5,-42.857143,2062.0,4852,0.2929758203124999,True,REGULAR,USD,call,2025-06-13
AMZN250613C00210000,2025-06-11 19:18:22+00:00,210.0,4.05,4.15,4.25,-4.05,-50.0,7862.0,6975,0.28784891845703114,True,REGULAR,USD,call,2025-06-13
AMZN250613C00212500,2025-06-11 19:26:16+00:00,212.5,2.53,2.53,2.57,-3.3700001,-57.118645,5561.0,7108,0.27735097656249996,True,REGULAR,USD,call,2025-06-13
