contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
BAC250613C00031000,2025-06-10 13:30:14+00:00,31.0,14.0,13.7,13.8,0.0,0.0,1.0,0,1.96875015625,True,REGULAR,USD,call,2025-06-13
BAC250613C00032000,2025-06-10 13:30:14+00:00,32.0,13.01,12.7,12.85,0.0,0.0,1.0,0,1.9453127734375002,True,REGULAR,USD,call,2025-06-13
BAC250613C00033000,2025-05-13 14:12:08+00:00,33.0,11.07,10.85,11.85,0.0,0.0,,0,2.03906740234375,True,REGULAR,USD,call,2025-06-13
BAC250613C00034000,2025-06-09 13:41:09+00:00,34.0,11.2,10.7,11.3,0.0,0.0,1.0,1,2.1953170117187497,True,REGULAR,USD,call,2025-06-13
BAC250613C00035000,2025-06-10 18:00:13+00:00,35.0,10.1,9.7,9.8,0.0,0.0,18.0,215,1.3906280468749999,True,REGULAR,USD,call,2025-06-13
BAC250613C00036000,2025-06-06 19:55:52+00:00,36.0,9.1,8.65,8.85,0.0,0.0,4.0,1,1.2578162109375,True,REGULAR,USD,call,2025-06-13
BAC250613C00037000,2025-06-09 14:32:28+00:00,37.0,8.3,7.7,7.8,0.0,0.0,2.0,142,1.1171919140625,True,REGULAR,USD,call,2025-06-13
BAC250613C00038000,2025-06-09 14:31:22+00:00,38.0,7.29,6.7,6.8,0.0,0.0,1.0,1,0.98437515625,True,REGULAR,USD,call,2025-06-13
BAC250613C00039000,2025-06-05 18:19:21+00:00,39.0,5.45,5.65,5.8,0.0,0.0,35.0,0,0.7578149218750001,True,REGULAR,USD,call,2025-06-13
BAC250613C00040000,2025-06-11 14:48:01+00:00,40.0,5.15,4.7,5.1,0.0,0.0,2.0,76,0.9941406835937501,True,REGULAR,USD,call,2025-06-13
BAC250613C00040500,2025-06-09 18:23:17+00:00,40.5,4.75,4.2,4.35,-0.099999905,-2.0618536,1.0,1,0.710940390625,True,REGULAR,USD,call,2025-06-13
BAC250613C00041000,2025-06-11 14:06:04+00:00,41.0,4.33,3.7,3.9,0.23000002,5.6097565,6.0,8,0.6875031250000001,True,REGULAR,USD,call,2025-06-13
BAC250613C00041500,2025-06-06 13:40:13+00:00,41.5,3.63,3.2,3.45,0.0,0.0,1.0,2,0.648441015625,True,REGULAR,USD,call,2025-06-13
BAC250613C00042000,2025-06-11 18:45:34+00:00,42.0,2.7,2.66,2.96,-0.45000005,-14.285715,30.0,135,0.5507857421875001,True,REGULAR,USD,call,2025-06-13
BAC250613C00042500,2025-06-11 14:05:59+00:00,42.5,2.89,2.22,2.38,0.23000002,8.646617,1.0,83,0.55273884765625,True,REGULAR,USD,call,2025-06-13
BAC250613C00043000,2025-06-11 18:13:52+00:00,43.0,1.74,1.61,1.84,-0.3699999,-17.53554,48.0,823,0.42578699218750005,True,REGULAR,USD,call,2025-06-13
BAC250613C00043500,2025-06-11 18:30:59+00:00,43.5,1.2,1.27,1.54,-0.4699999,-28.14371,64.0,988,0.5019581054687501,True,REGULAR,USD,call,2025-06-13
BAC250613C00044000,2025-06-11 19:19:43+00:00,44.0,0.81,0.85,0.89,-0.39000005,-32.5,1320.0,3668,0.28516339843749994,True,REGULAR,USD,call,2025-06-13
BAC250613C00044500,2025-06-11 19:24:27+00:00,44.5,0.5,0.48,0.5,-0.32,-39.02439,2220.0,1558,0.243171630859375,True,REGULAR,USD,call,2025-06-13
BAC250613C00045000,2025-06-11 19:25:15+00:00,45.0,0.23,0.22,0.23,-0.26,-53.061222,6082.0,7818,0.22266402343749997,False,REGULAR,USD,call,2025-06-13
BAC250613C00045500,2025-06-11 19:23:01+00:00,45.5,0.08,0.08,0.09,-0.17999999,-69.230774,9777.0,6917,0.21875781249999998,False,REGULAR,USD,call,2025-06-13
BAC250613C00046000,2025-06-11 19:25:15+00:00,46.0,0.03,0.03,0.04,-0.099999994,-76.92307,3078.0,44890,0.23438265625,False,REGULAR,USD,call,2025-06-13
BAC250613C00046500,2025-06-11 18:30:08+00:00,46.5,0.01,0.01,0.03,-0.04,-80.00001,306.0,1784,0.28125718749999995,False,REGULAR,USD,call,2025-06-13
BAC250613C00047000,2025-06-11 19:22:15+00:00,47.0,0.01,0.01,0.02,-0.01,-50.0,1989.0,5066,0.31250687499999996,False,REGULAR,USD,call,2025-06-13
BAC250613C00047500,2025-06-11 14:32:34+00:00,47.5,0.01,0.0,0.01,-0.01,-50.0,7.0,361,0.32813171874999997,False,REGULAR,USD,call,2025-06-13
BAC250613C00048000,2025-06-11 16:54:30+00:00,48.0,0.01,0.0,0.01,0.0,0.0,32.0,1424,0.37500625,False,REGULAR,USD,call,2025-06-13
BAC250613C00048500,2025-06-09 16:20:14+00:00,48.5,0.02,0.0,0.02,0.01,100.0,16.0,1772,0.4687553125,False,REGULAR,USD,call,2025-06-13
BAC250613C00049000,2025-06-09 19:58:58+00:00,49.0,0.01,0.0,0.01,0.0,0.0,21.0,618,0.4687553125,False,REGULAR,USD,call,2025-06-13
BAC250613C00050000,2025-06-09 16:47:56+00:00,50.0,0.01,0.0,0.01,0.0,0.0,2.0,265,0.500005,False,REGULAR,USD,call,2025-06-13
BAC250613C00051000,2025-05-29 19:44:19+00:00,51.0,0.01,0.0,0.22,0.0,0.0,3.0,25,0.945313046875,False,REGULAR,USD,call,2025-06-13
BAC250613C00052000,2025-05-30 13:50:24+00:00,52.0,0.01,0.0,0.0,0.0,0.0,2.0,22,0.500005,False,REGULAR,USD,call,2025-06-13
BAC250613P00025000,2025-06-11 13:40:11+00:00,25.0,0.01,0.0,0.15,-0.01,-50.0,1.0,19,3.156252109375,False,REGULAR,USD,put,2025-06-13
BAC250613P00030000,2025-05-16 19:18:48+00:00,30.0,0.04,0.0,0.03,0.0,0.0,531.0,542,1.8125009374999999,False,REGULAR,USD,put,2025-06-13
BAC250613P00031000,2025-05-28 19:09:32+00:00,31.0,0.02,0.0,0.03,0.0,0.0,3.0,152,1.6875015625,False,REGULAR,USD,put,2025-06-13
BAC250613P00033000,2025-06-04 16:27:33+00:00,33.0,0.01,0.0,0.22,0.0,0.0,4.0,302,1.9218753906250001,False,REGULAR,USD,put,2025-06-13
BAC250613P00034000,2025-06-09 15:26:52+00:00,34.0,0.12,0.0,0.22,0.0,0.0,1.0,623,1.76171994140625,False,REGULAR,USD,put,2025-06-13
BAC250613P00035000,2025-06-09 14:15:02+00:00,35.0,0.04,0.0,0.15,0.0,0.0,1.0,356,1.4921900390624998,False,REGULAR,USD,put,2025-06-13
BAC250613P00036000,2025-06-06 17:47:26+00:00,36.0,0.01,0.0,0.02,0.0,0.0,543.0,4536,0.98437515625,False,REGULAR,USD,put,2025-06-13
BAC250613P00037000,2025-06-09 13:30:10+00:00,37.0,0.01,0.0,0.01,0.0,0.0,1.0,4514,0.8125018749999999,False,REGULAR,USD,put,2025-06-13
BAC250613P00038000,2025-06-10 19:13:11+00:00,38.0,0.01,0.0,0.01,0.0,0.0,3.0,1670,0.7187528125,False,REGULAR,USD,put,2025-06-13
BAC250613P00039000,2025-06-11 14:40:55+00:00,39.0,0.01,0.0,0.01,0.0,0.0,40.0,614,0.5937540625000001,False,REGULAR,USD,put,2025-06-13
BAC250613P00039500,2025-06-09 19:55:27+00:00,39.5,0.01,0.0,0.01,0.0,0.0,383.0,431,0.5625043750000001,False,REGULAR,USD,put,2025-06-13
BAC250613P00040000,2025-06-11 15:47:42+00:00,40.0,0.02,0.0,0.02,0.01,100.0,2.0,1408,0.5468795312500001,False,REGULAR,USD,put,2025-06-13
BAC250613P00040500,2025-06-11 16:18:17+00:00,40.5,0.01,0.0,0.04,-0.03,-75.0,7.0,37,0.5546919531250001,False,REGULAR,USD,put,2025-06-13
BAC250613P00041000,2025-06-11 17:43:08+00:00,41.0,0.01,0.0,0.01,0.0,0.0,247.0,832,0.445318046875,False,REGULAR,USD,put,2025-06-13
BAC250613P00041500,2025-06-11 16:34:27+00:00,41.5,0.03,0.0,0.01,-0.020000001,-40.000004,2.0,506,0.39063109375,False,REGULAR,USD,put,2025-06-13
BAC250613P00042000,2025-06-11 18:13:32+00:00,42.0,0.02,0.01,0.03,-0.01,-33.333336,46.0,6686,0.4062559375,False,REGULAR,USD,put,2025-06-13
BAC250613P00042500,2025-06-11 19:07:14+00:00,42.5,0.01,0.02,0.03,-0.02,-66.66667,48.0,1619,0.3437565625,False,REGULAR,USD,put,2025-06-13
BAC250613P00043000,2025-06-11 18:33:14+00:00,43.0,0.03,0.03,0.04,-0.020000001,-40.000004,156.0,2024,0.29688203124999996,False,REGULAR,USD,put,2025-06-13
BAC250613P00043500,2025-06-11 19:03:11+00:00,43.5,0.05,0.04,0.05,-0.009999998,-16.666662,187.0,2357,0.242195078125,False,REGULAR,USD,put,2025-06-13
BAC250613P00044000,2025-06-11 19:25:28+00:00,44.0,0.09,0.09,0.1,-0.019999996,-14.285712,3447.0,3778,0.21289849609375,False,REGULAR,USD,put,2025-06-13
BAC250613P00044500,2025-06-11 19:18:14+00:00,44.5,0.23,0.2,0.22,0.030000001,15.0,3457.0,3569,0.1914143359375,False,REGULAR,USD,put,2025-06-13
BAC250613P00045000,2025-06-11 19:25:15+00:00,45.0,0.43,0.43,0.46,0.060000002,16.216215,4903.0,2719,0.1757894921875,True,REGULAR,USD,put,2025-06-13
BAC250613P00045500,2025-06-11 19:25:23+00:00,45.5,0.8,0.81,0.85,0.16000003,25.000004,976.0,680,0.17774259765625,True,REGULAR,USD,put,2025-06-13
BAC250613P00046000,2025-06-11 19:24:20+00:00,46.0,1.27,1.2,1.3,0.26,25.742575,170.0,235,0.12500875,True,REGULAR,USD,put,2025-06-13
BAC250613P00046500,2025-06-11 18:54:17+00:00,46.5,1.99,1.73,1.83,0.49,32.666668,3.0,19,0.28125718749999995,True,REGULAR,USD,put,2025-06-13
BAC250613P00047000,2025-06-11 13:35:13+00:00,47.0,2.28,2.04,2.4,0.30999994,15.736037,50.0,234,0.45117736328125,True,REGULAR,USD,put,2025-06-13
BAC250613P00048000,2025-06-11 15:01:28+00:00,48.0,2.84,3.2,3.3,-0.01999998,-0.69930005,3.0,9,0.2500075,True,REGULAR,USD,put,2025-06-13
BAC250613P00048500,2025-06-09 13:51:30+00:00,48.5,3.15,3.7,3.85,0.0,0.0,2.0,2,0.5507857421875001,True,REGULAR,USD,put,2025-06-13
BAC250613P00049000,2025-06-11 15:31:45+00:00,49.0,4.02,4.2,4.35,0.01999998,0.49999952,6.0,2,0.6054726953125001,True,REGULAR,USD,put,2025-06-13
BAC250613P00050000,2025-06-05 19:47:01+00:00,50.0,5.8,5.15,5.3,0.0,0.0,1.0,0,0.2500075,True,REGULAR,USD,put,2025-06-13
BAC250613P00051000,2025-06-05 19:47:01+00:00,51.0,6.95,6.05,6.35,0.0,0.0,1.0,1,0.8085956640624999,True,REGULAR,USD,put,2025-06-13
BAC250613P00052000,2025-05-29 18:58:29+00:00,52.0,8.1,7.15,7.3,0.0,0.0,,0,0.500005,True,REGULAR,USD,put,2025-06-13
BAC250620C00013000,2025-06-06 14:12:08+00:00,13.0,31.87,31.4,32.55,0.0,0.0,9.0,10,4.304692119140624,True,REGULAR,USD,call,2025-06-20
BAC250620C00015000,2025-06-06 18:11:49+00:00,15.0,29.95,29.65,29.85,0.0,0.0,22.0,240,2.9218776953125003,True,REGULAR,USD,call,2025-06-20
BAC250620C00018000,2025-06-06 14:04:33+00:00,18.0,26.95,26.65,27.1,0.0,0.0,4.0,44,2.9843775390625,True,REGULAR,USD,call,2025-06-20
BAC250620C00020000,2025-06-06 19:26:12+00:00,20.0,25.05,24.25,25.1,0.0,0.0,6.0,16,3.1425802685546875,True,REGULAR,USD,call,2025-06-20
BAC250620C00022000,2025-05-27 16:42:38+00:00,22.0,21.98,22.75,23.25,0.0,0.0,,0,2.6445346386718755,True,REGULAR,USD,call,2025-06-20
BAC250620C00023000,2025-06-11 15:06:36+00:00,23.0,22.1,21.7,21.9,0.0,0.0,2.0,46,2.042973642578125,True,REGULAR,USD,call,2025-06-20
BAC250620C00025000,2025-06-11 18:37:38+00:00,25.0,19.68,19.7,19.8,-0.4699993,-2.3325028,10.0,305,1.6328143359374998,True,REGULAR,USD,call,2025-06-20
BAC250620C00028000,2025-06-11 15:00:08+00:00,28.0,17.1,16.75,16.85,-0.020000458,-0.1168251,20.0,856,1.5000025,True,REGULAR,USD,call,2025-06-20
BAC250620C00030000,2025-06-11 14:20:32+00:00,30.0,15.2,14.75,14.8,0.07999992,0.5291,16.0,603,1.2421912890624998,True,REGULAR,USD,call,2025-06-20
BAC250620C00031000,2025-06-05 19:54:54+00:00,31.0,13.4,13.6,13.8,0.0,0.0,1650.0,0,0.500005,True,REGULAR,USD,call,2025-06-20
BAC250620C00032000,2025-06-11 14:37:36+00:00,32.0,12.77,12.75,12.85,-0.07999992,-0.6225675,863.0,3159,1.12109814453125,True,REGULAR,USD,call,2025-06-20
BAC250620C00033000,2025-06-05 19:54:54+00:00,33.0,12.0,11.5,11.8,0.6999998,6.194689,1.0,9,1.0351610742187503,True,REGULAR,USD,call,2025-06-20
BAC250620C00034000,2025-06-06 13:58:19+00:00,34.0,10.8,10.75,10.85,-0.14999962,-1.3698596,11.0,12,0.94726615234375,True,REGULAR,USD,call,2025-06-20
BAC250620C00035000,2025-06-10 19:42:36+00:00,35.0,9.71,9.75,9.85,-0.39999962,-3.956475,2.0,262,0.8632826171875,True,REGULAR,USD,call,2025-06-20
BAC250620C00036000,2025-06-06 16:27:28+00:00,36.0,8.95,8.55,8.85,0.0,0.0,25.0,35,0.8476577734374999,True,REGULAR,USD,call,2025-06-20
BAC250620C00037000,2025-06-10 19:47:36+00:00,37.0,8.1,7.75,7.85,0.0,0.0,1.0,341,0.6972686523437501,True,REGULAR,USD,call,2025-06-20
BAC250620C00038000,2025-06-10 13:30:03+00:00,38.0,6.95,6.75,6.85,0.0,0.0,2.0,50,0.6171913281250001,True,REGULAR,USD,call,2025-06-20
BAC250620C00039000,2025-06-10 16:17:12+00:00,39.0,6.18,5.8,5.9,0.0,0.0,4.0,38,0.5898478515625001,True,REGULAR,USD,call,2025-06-20
BAC250620C00039500,2025-06-05 18:19:19+00:00,39.5,4.9,5.15,6.0,0.0,0.0,85.0,0,0.711916943359375,True,REGULAR,USD,call,2025-06-20
BAC250620C00040000,2025-06-11 13:52:42+00:00,40.0,5.42,4.75,4.85,0.26999998,5.2427177,60.0,2507,0.5039112109375,True,REGULAR,USD,call,2025-06-20
BAC250620C00040500,2025-06-11 15:31:30+00:00,40.5,4.55,4.3,4.4,-0.119999886,-2.5695906,7.0,8,0.500005,True,REGULAR,USD,call,2025-06-20
BAC250620C00041000,2025-06-11 15:31:30+00:00,41.0,4.05,3.8,3.9,-0.25,-5.8139534,32.0,417,0.454107021484375,True,REGULAR,USD,call,2025-06-20
BAC250620C00041500,2025-06-10 18:00:13+00:00,41.5,3.7,3.15,3.4,0.0,0.0,1.0,20,0.40820904296875,True,REGULAR,USD,call,2025-06-20
BAC250620C00042000,2025-06-11 18:59:38+00:00,42.0,2.79,2.82,2.99,-0.42000008,-13.084114,45.0,29740,0.41211525390625,True,REGULAR,USD,call,2025-06-20
BAC250620C00042500,2025-06-11 18:59:43+00:00,42.5,2.3,2.37,2.42,-0.3900001,-14.498145,13.0,275,0.32520206054687495,True,REGULAR,USD,call,2025-06-20
BAC250620C00043000,2025-06-11 19:10:14+00:00,43.0,1.92,1.83,1.94,-0.38,-16.52174,205.0,15085,0.28516339843749994,True,REGULAR,USD,call,2025-06-20
BAC250620C00043500,2025-06-11 18:30:59+00:00,43.5,1.37,1.49,1.52,-0.41999996,-23.463686,32.0,4110,0.266608896484375,True,REGULAR,USD,call,2025-06-20
BAC250620C00044000,2025-06-11 19:02:16+00:00,44.0,1.06,1.08,1.1,-0.35000002,-24.822699,719.0,21783,0.23731231445312498,True,REGULAR,USD,call,2025-06-20
BAC250620C00044500,2025-06-11 19:19:06+00:00,44.5,0.75,0.78,0.8,-0.26,-25.742575,848.0,1896,0.23633576171874998,True,REGULAR,USD,call,2025-06-20
BAC250620C00045000,2025-06-11 19:24:39+00:00,45.0,0.53,0.49,0.5,-0.20000005,-27.397264,5894.0,85658,0.215828154296875,False,REGULAR,USD,call,2025-06-20
BAC250620C00045500,2025-06-11 19:25:52+00:00,45.5,0.33,0.3,0.31,-0.14999998,-31.249996,963.0,12141,0.21192194335937498,False,REGULAR,USD,call,2025-06-20
BAC250620C00046000,2025-06-11 19:16:50+00:00,46.0,0.18,0.18,0.2,-0.120000005,-40.0,2678.0,9395,0.21875781249999998,False,REGULAR,USD,call,2025-06-20
BAC250620C00046500,2025-06-11 19:25:20+00:00,46.5,0.1,0.1,0.11,-0.080000006,-44.444447,130.0,3703,0.2148516015625,False,REGULAR,USD,call,2025-06-20
BAC250620C00047000,2025-06-11 18:29:05+00:00,47.0,0.06,0.05,0.06,-0.040000003,-40.000004,2567.0,23040,0.21680470703125,False,REGULAR,USD,call,2025-06-20
BAC250620C00047500,2025-06-11 15:48:39+00:00,47.5,0.03,0.03,0.04,-0.03,-50.0,30.0,793,0.22852333984375,False,REGULAR,USD,call,2025-06-20
BAC250620C00048000,2025-06-11 19:18:07+00:00,48.0,0.03,0.01,0.03,-0.01,-25.0,14.0,6822,0.2461012890625,False,REGULAR,USD,call,2025-06-20
