contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
BA250613C00145000,2025-05-23 13:58:27+00:00,145.0,56.86,65.5,72.05,0.0,0.0,1.0,0,3.529786331787109,True,REGULAR,USD,call,2025-06-13
BA250613C00150000,2025-06-09 17:46:29+00:00,150.0,68.4,61.05,64.35,0.0,0.0,2.0,1,2.025395561523437,True,REGULAR,USD,call,2025-06-13
BA250613C00155000,2025-06-10 19:05:48+00:00,155.0,61.22,56.45,58.65,0.0,0.0,2.0,6,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00160000,2025-06-10 19:54:19+00:00,160.0,55.94,52.2,54.85,0.0,0.0,3.0,6,2.032231481933594,True,REGULAR,USD,call,2025-06-13
BA250613C00165000,2025-06-11 18:10:46+00:00,165.0,48.5,47.35,49.25,4.9000015,11.238536,1.0,3,1.4589870800781248,True,REGULAR,USD,call,2025-06-13
BA250613C00170000,2025-06-10 16:54:04+00:00,170.0,43.47,41.3,43.95,-1.829998,-4.039731,4.0,50,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00175000,2025-06-11 16:42:25+00:00,175.0,38.62,37.8,38.7,-2.0600014,-5.0639167,3.0,62,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00177500,2025-06-09 14:32:01+00:00,177.5,35.92,35.25,36.8,0.0,0.0,2.0,13,1.140629296875,True,REGULAR,USD,call,2025-06-13
BA250613C00180000,2025-06-11 15:41:25+00:00,180.0,35.65,32.6,34.1,-2.3999977,-6.307484,1.0,129,0.87500125,True,REGULAR,USD,call,2025-06-13
BA250613C00182500,2025-06-11 16:18:42+00:00,182.5,31.0,30.2,32.05,-3.619999,-10.456381,4.0,20,1.1337933935546878,True,REGULAR,USD,call,2025-06-13
BA250613C00185000,2025-06-11 18:40:43+00:00,185.0,28.52,27.95,28.85,-2.75,-8.794372,4.0,116,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00187500,2025-06-06 15:51:12+00:00,187.5,21.42,25.2,26.85,0.0,0.0,27.0,34,0.883790224609375,True,REGULAR,USD,call,2025-06-13
BA250613C00190000,2025-06-11 15:41:25+00:00,190.0,23.11,23.1,24.85,-3.3899994,-12.792451,3.0,208,1.0068409033203123,True,REGULAR,USD,call,2025-06-13
BA250613C00192500,2025-06-10 14:25:57+00:00,192.5,23.03,20.45,21.95,0.0,0.0,1.0,32,0.7832052929687501,True,REGULAR,USD,call,2025-06-13
BA250613C00195000,2025-06-11 18:15:10+00:00,195.0,17.84,17.6,19.75,-2.6100006,-12.762838,15.0,259,0.8095722167968749,True,REGULAR,USD,call,2025-06-13
BA250613C00197500,2025-06-11 16:26:40+00:00,197.5,16.8,14.75,17.15,-2.17,-11.439115,1.0,118,0.6972686523437501,True,REGULAR,USD,call,2025-06-13
BA250613C00200000,2025-06-11 18:16:41+00:00,200.0,13.5,13.0,13.6,-2.3500004,-14.8265,42.0,776,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00202500,2025-06-11 17:25:34+00:00,202.5,10.32,10.35,11.2,-2.83,-21.520914,5.0,120,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00205000,2025-06-11 18:31:45+00:00,205.0,8.25,8.25,8.55,-3.29,-28.509533,166.0,1305,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00207500,2025-06-11 19:26:54+00:00,207.5,6.1,6.0,6.35,-1.8000002,-22.784811,24.0,797,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
BA250613C00210000,2025-06-11 19:23:57+00:00,210.0,3.95,3.9,4.15,-2.26,-36.392914,298.0,2078,0.157234990234375,True,REGULAR,USD,call,2025-06-13
BA250613C00212500,2025-06-11 19:25:43+00:00,212.5,2.38,2.23,2.36,-2.02,-45.90909,659.0,2334,0.1914143359375,True,REGULAR,USD,call,2025-06-13
BA250613C00215000,2025-06-11 19:24:51+00:00,215.0,1.09,1.08,1.14,-1.6,-59.479553,3073.0,2861,0.20386538330078124,False,REGULAR,USD,call,2025-06-13
BA250613C00217500,2025-06-11 19:25:43+00:00,217.5,0.5,0.44,0.48,-1.0,-66.666664,3687.0,2536,0.2148516015625,False,REGULAR,USD,call,2025-06-13
BA250613C00220000,2025-06-11 19:25:17+00:00,220.0,0.22,0.19,0.23,-0.53,-70.666664,4990.0,5566,0.23975369628906246,False,REGULAR,USD,call,2025-06-13
BA250613C00222500,2025-06-11 19:21:01+00:00,222.5,0.11,0.1,0.11,-0.29000002,-72.5,889.0,2033,0.2617261328125,False,REGULAR,USD,call,2025-06-13
BA250613C00225000,2025-06-11 19:07:25+00:00,225.0,0.08,0.06,0.1,-0.120000005,-60.0,1127.0,2521,0.31445998046874996,False,REGULAR,USD,call,2025-06-13
BA250613C00227500,2025-06-11 19:07:33+00:00,227.5,0.04,0.04,0.05,-0.08,-66.66667,286.0,781,0.33008482421874996,False,REGULAR,USD,call,2025-06-13
BA250613C00230000,2025-06-11 19:08:22+00:00,230.0,0.03,0.02,0.05,-0.04,-57.142857,271.0,1402,0.3789124609375,False,REGULAR,USD,call,2025-06-13
BA250613C00232500,2025-06-11 15:49:20+00:00,232.5,0.03,0.0,0.24,-0.04,-57.142857,8.0,150,0.5576216113281252,False,REGULAR,USD,call,2025-06-13
BA250613C00235000,2025-06-11 19:03:36+00:00,235.0,0.02,0.02,0.04,-0.02,-50.0,11.0,490,0.45898978515625005,False,REGULAR,USD,call,2025-06-13
BA250613C00237500,2025-06-10 18:28:41+00:00,237.5,0.04,0.0,0.2,0.0,0.0,3.0,15,0.5742230078125,False,REGULAR,USD,call,2025-06-13
BA250613C00240000,2025-06-11 15:13:56+00:00,240.0,0.01,0.0,0.1,-0.03,-75.0,1.0,655,0.5625043750000001,False,REGULAR,USD,call,2025-06-13
BA250613C00245000,2025-06-11 18:52:37+00:00,245.0,0.01,0.01,0.03,0.0,0.0,89.0,180,0.5820354296875,False,REGULAR,USD,call,2025-06-13
BA250613C00250000,2025-06-10 16:46:08+00:00,250.0,0.01,0.0,0.05,-0.01,-50.0,7.0,249,0.6718782812500002,False,REGULAR,USD,call,2025-06-13
BA250613C00255000,2025-06-11 16:00:48+00:00,255.0,0.01,0.0,0.28,0.0,0.0,2.0,728,0.9355475195312499,False,REGULAR,USD,call,2025-06-13
BA250613C00260000,2025-06-10 17:05:11+00:00,260.0,0.01,0.0,0.01,0.0,0.0,10.0,36,0.70312796875,False,REGULAR,USD,call,2025-06-13
BA250613C00265000,2025-06-02 14:06:03+00:00,265.0,0.03,0.0,0.28,0.0,0.0,10.0,29,1.1035201074218752,False,REGULAR,USD,call,2025-06-13
BA250613C00270000,2025-05-29 14:14:25+00:00,270.0,0.06,0.0,0.01,0.0,0.0,1.0,12,0.8281267187499999,False,REGULAR,USD,call,2025-06-13
BA250613C00275000,2025-06-11 18:20:17+00:00,275.0,0.01,0.0,0.02,0.0,0.0,1.0,77,0.937500625,False,REGULAR,USD,call,2025-06-13
BA250613C00285000,2025-06-10 15:02:04+00:00,285.0,0.01,0.0,0.29,0.0,0.0,1.0,7,1.421877890625,False,REGULAR,USD,call,2025-06-13
BA250613P00100000,2025-06-06 15:30:02+00:00,100.0,0.03,0.0,0.05,0.0,0.0,1.0,3,2.93750265625,False,REGULAR,USD,put,2025-06-13
BA250613P00115000,2025-05-12 14:00:49+00:00,115.0,0.05,0.0,0.05,0.0,0.0,,11,2.43750390625,False,REGULAR,USD,put,2025-06-13
BA250613P00125000,2025-05-01 14:23:41+00:00,125.0,0.33,0.0,0.29,0.0,0.0,,1,2.593753515625,False,REGULAR,USD,put,2025-06-13
BA250613P00130000,2025-05-16 18:57:49+00:00,130.0,0.1,0.0,0.06,0.0,0.0,1.0,1,2.0156299609375,False,REGULAR,USD,put,2025-06-13
BA250613P00135000,2025-05-13 17:05:40+00:00,135.0,0.07,0.0,0.03,0.0,0.0,1.0,11,1.75000125,False,REGULAR,USD,put,2025-06-13
BA250613P00140000,2025-06-05 19:13:03+00:00,140.0,0.01,0.0,0.07,0.0,0.0,3.0,15,1.765626171875,False,REGULAR,USD,put,2025-06-13
BA250613P00145000,2025-05-27 18:42:10+00:00,145.0,0.13,0.0,0.07,0.0,0.0,,3,1.6328143359374998,False,REGULAR,USD,put,2025-06-13
BA250613P00150000,2025-06-09 13:40:53+00:00,150.0,0.01,0.0,0.01,0.0,0.0,1.0,45,1.2500037499999999,False,REGULAR,USD,put,2025-06-13
BA250613P00155000,2025-06-09 13:50:47+00:00,155.0,0.01,0.0,0.08,0.0,0.0,1.0,239,1.3984405078125,False,REGULAR,USD,put,2025-06-13
BA250613P00160000,2025-06-10 14:43:01+00:00,160.0,0.01,0.0,0.04,0.0,0.0,1.0,1101,1.1875040625,False,REGULAR,USD,put,2025-06-13
BA250613P00165000,2025-06-09 15:26:09+00:00,165.0,0.01,0.0,0.04,0.0,0.0,16.0,239,1.0625046875000002,False,REGULAR,USD,put,2025-06-13
BA250613P00170000,2025-06-10 16:46:04+00:00,170.0,0.01,0.0,0.01,0.0,0.0,225.0,978,0.8437515624999999,False,REGULAR,USD,put,2025-06-13
BA250613P00175000,2025-06-11 17:08:59+00:00,175.0,0.01,0.0,0.02,0.0,0.0,7.0,245,0.7812521875,False,REGULAR,USD,put,2025-06-13
BA250613P00177500,2025-06-11 17:40:50+00:00,177.5,0.01,0.0,0.01,-0.01,-50.0,139.0,107,0.6875031250000001,False,REGULAR,USD,put,2025-06-13
BA250613P00180000,2025-06-11 19:00:16+00:00,180.0,0.01,0.01,0.11,-0.03,-60.000004,17.0,373,0.8398453515625,False,REGULAR,USD,put,2025-06-13
BA250613P00182500,2025-06-11 15:49:48+00:00,182.5,0.02,0.01,0.42,-0.01,-33.333336,11.0,409,0.9511723632812499,False,REGULAR,USD,put,2025-06-13
BA250613P00185000,2025-06-11 16:38:36+00:00,185.0,0.02,0.01,0.02,-0.04,-66.66667,13.0,584,0.6093789062500001,False,REGULAR,USD,put,2025-06-13
BA250613P00187500,2025-06-11 17:37:42+00:00,187.5,0.02,0.01,0.02,-0.01,-33.333336,4.0,374,0.5625043750000001,False,REGULAR,USD,put,2025-06-13
BA250613P00190000,2025-06-11 17:36:39+00:00,190.0,0.03,0.01,0.03,-0.01,-25.0,8.0,549,0.5273484765625001,False,REGULAR,USD,put,2025-06-13
BA250613P00192500,2025-06-11 16:49:44+00:00,192.5,0.06,0.0,0.21,0.009999998,19.999994,40.0,363,0.5976602734375001,False,REGULAR,USD,put,2025-06-13
BA250613P00195000,2025-06-11 16:04:57+00:00,195.0,0.04,0.02,0.13,-0.010000002,-20.000002,24.0,477,0.507817421875,False,REGULAR,USD,put,2025-06-13
BA250613P00197500,2025-06-11 16:58:22+00:00,197.5,0.04,0.05,0.13,-0.02,-33.333336,41.0,770,0.49219257812500006,False,REGULAR,USD,put,2025-06-13
BA250613P00200000,2025-06-11 19:21:00+00:00,200.0,0.11,0.06,0.15,0.04,79.99999,70.0,4046,0.43945873046875,False,REGULAR,USD,put,2025-06-13
BA250613P00202500,2025-06-11 18:17:18+00:00,202.5,0.15,0.1,0.19,0.060000002,66.666664,130.0,2094,0.39160764648437496,False,REGULAR,USD,put,2025-06-13
BA250613P00205000,2025-06-11 18:59:29+00:00,205.0,0.2,0.14,0.2,0.080000006,66.66668,240.0,1451,0.32617861328125,False,REGULAR,USD,put,2025-06-13
BA250613P00207500,2025-06-11 19:09:24+00:00,207.5,0.4,0.32,0.37,0.15,60.000004,2585.0,1867,0.3012765185546875,False,REGULAR,USD,put,2025-06-13
BA250613P00210000,2025-06-11 19:26:54+00:00,210.0,0.78,0.71,0.78,0.32999998,73.333336,1576.0,2635,0.2919992675781249,False,REGULAR,USD,put,2025-06-13
BA250613P00212500,2025-06-11 19:19:01+00:00,212.5,1.6,1.51,1.6,0.62,63.265305,2025.0,1339,0.29566134033203123,False,REGULAR,USD,put,2025-06-13
BA250613P00215000,2025-06-11 19:10:18+00:00,215.0,2.96,2.76,3.0,1.2,68.18182,955.0,729,0.31958688232421867,True,REGULAR,USD,put,2025-06-13
BA250613P00217500,2025-06-11 18:46:38+00:00,217.5,4.5,4.75,5.05,1.3599999,43.312096,196.0,329,0.383795224609375,True,REGULAR,USD,put,2025-06-13
BA250613P00220000,2025-06-11 18:15:10+00:00,220.0,7.5,6.9,7.35,2.5,50.0,31.0,154,0.45825737060546884,True,REGULAR,USD,put,2025-06-13
BA250613P00222500,2025-06-11 16:07:18+00:00,222.5,8.5,9.15,9.75,2.0500002,31.78295,1.0,93,0.5351608984375,True,REGULAR,USD,put,2025-06-13
