contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
CAT250613C00195000,2025-06-06 15:46:28+00:00,195.0,157.85,166.3,169.0,0.0,0.0,4.0,1,3.593751015625,True,REGULAR,USD,call,2025-06-13
CAT250613C00200000,2025-06-06 15:46:28+00:00,200.0,152.88,161.25,164.05,0.0,0.0,4.0,1,3.4951184497070313,True,REGULAR,USD,call,2025-06-13
CAT250613C00220000,2025-05-19 14:42:24+00:00,220.0,131.72,141.2,144.05,0.0,0.0,1.0,0,3.0000025,True,REGULAR,USD,call,2025-06-13
CAT250613C00260000,2025-05-02 13:43:13+00:00,260.0,63.35,85.9,89.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
CAT250613C00280000,2025-06-04 16:04:38+00:00,280.0,71.2,81.25,84.1,0.0,0.0,1.0,1,1.7353528857421874,True,REGULAR,USD,call,2025-06-13
CAT250613C00285000,2025-06-09 15:37:27+00:00,285.0,72.39,76.45,79.1,0.0,0.0,3.0,3,1.6376971240234375,True,REGULAR,USD,call,2025-06-13
CAT250613C00305000,2025-06-05 17:36:01+00:00,305.0,45.85,56.2,59.15,0.0,0.0,1.0,2,1.2680700659179687,True,REGULAR,USD,call,2025-06-13
CAT250613C00310000,2025-05-07 13:48:46+00:00,310.0,20.2,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
CAT250613C00315000,2025-06-06 15:12:34+00:00,315.0,40.32,46.55,49.2,0.0,0.0,1.0,7,1.0903365795898439,True,REGULAR,USD,call,2025-06-13
CAT250613C00320000,2025-06-11 15:24:49+00:00,320.0,43.1,41.7,44.0,7.8899994,22.408405,11.0,26,0.9501958105468749,True,REGULAR,USD,call,2025-06-13
CAT250613C00325000,2025-06-09 18:38:05+00:00,325.0,37.08,36.3,39.1,1.8800011,5.340912,2.0,28,0.8798840136718749,True,REGULAR,USD,call,2025-06-13
CAT250613C00330000,2025-06-11 15:25:15+00:00,330.0,33.08,31.75,34.2,2.8300018,9.355378,2.0,25,0.8051777294921875,True,REGULAR,USD,call,2025-06-13
CAT250613C00332500,2025-06-09 15:36:29+00:00,332.5,27.87,28.7,31.55,2.8100014,11.213094,1.0,12,0.7292507543945312,True,REGULAR,USD,call,2025-06-13
CAT250613C00335000,2025-06-09 15:16:38+00:00,335.0,25.65,26.85,29.15,2.4300003,10.465117,2.0,9,0.700198310546875,True,REGULAR,USD,call,2025-06-13
CAT250613C00337500,2025-06-02 17:52:02+00:00,337.5,9.1,24.1,26.7,0.0,0.0,,1,0.6606479248046876,True,REGULAR,USD,call,2025-06-13
CAT250613C00340000,2025-06-11 13:50:36+00:00,340.0,20.38,21.65,24.25,1.2299995,6.422974,6.0,88,0.6196327099609377,True,REGULAR,USD,call,2025-06-13
CAT250613C00342500,2025-06-11 15:27:57+00:00,342.5,20.58,19.3,21.8,3.2299995,18.61671,1.0,16,0.577152666015625,True,REGULAR,USD,call,2025-06-13
CAT250613C00345000,2025-06-11 16:03:50+00:00,345.0,17.58,17.05,18.25,3.5299997,25.124552,30.0,43,0.32617861328125,True,REGULAR,USD,call,2025-06-13
CAT250613C00347500,2025-06-10 15:04:34+00:00,347.5,15.01,14.6,16.4,3.1900005,26.988161,1.0,91,0.41870698486328123,True,REGULAR,USD,call,2025-06-13
CAT250613C00350000,2025-06-11 19:17:32+00:00,350.0,12.55,12.3,13.65,2.75,28.061224,46.0,165,0.3320379296875,True,REGULAR,USD,call,2025-06-13
CAT250613C00352500,2025-06-11 14:18:03+00:00,352.5,10.3,10.4,11.0,3.3600001,48.414986,11.0,69,0.26099371826171874,True,REGULAR,USD,call,2025-06-13
CAT250613C00355000,2025-06-11 17:13:07+00:00,355.0,8.08,8.35,8.75,1.3800001,20.597017,23.0,127,0.24878680908203127,True,REGULAR,USD,call,2025-06-13
CAT250613C00357500,2025-06-11 15:06:02+00:00,357.5,7.5,6.35,6.7,3.7,97.36842,18.0,592,0.24292749267578123,True,REGULAR,USD,call,2025-06-13
CAT250613C00360000,2025-06-11 19:22:17+00:00,360.0,4.6,4.6,4.9,1.55,50.81967,89.0,282,0.23926541992187497,True,REGULAR,USD,call,2025-06-13
CAT250613C00362500,2025-06-11 19:23:24+00:00,362.5,3.2,3.15,3.5,1.1800001,58.415848,125.0,156,0.24439232177734377,True,REGULAR,USD,call,2025-06-13
CAT250613C00365000,2025-06-11 19:09:28+00:00,365.0,1.89,1.9,2.17,0.61,47.65625,149.0,218,0.23072058349609376,False,REGULAR,USD,call,2025-06-13
CAT250613C00367500,2025-06-11 17:34:07+00:00,367.5,1.18,1.11,1.28,0.40999997,53.24675,65.0,205,0.2260819580078125,False,REGULAR,USD,call,2025-06-13
CAT250613C00370000,2025-06-11 19:13:34+00:00,370.0,0.61,0.6,0.77,0.15,32.608696,845.0,474,0.231452998046875,False,REGULAR,USD,call,2025-06-13
CAT250613C00375000,2025-06-11 17:48:49+00:00,375.0,0.17,0.18,0.37,0.030000001,21.428572,30.0,219,0.26563234375,False,REGULAR,USD,call,2025-06-13
CAT250613C00380000,2025-06-11 17:38:08+00:00,380.0,0.06,0.03,0.1,0.0,0.0,7.0,46,0.26563234375,False,REGULAR,USD,call,2025-06-13
CAT250613C00385000,2025-06-06 17:09:48+00:00,385.0,0.05,0.0,0.06,0.0,0.0,12.0,53,0.30274134765625,False,REGULAR,USD,call,2025-06-13
CAT250613C00390000,2025-06-09 18:56:40+00:00,390.0,0.02,0.0,0.07,0.0,0.0,30.0,35,0.367193828125,False,REGULAR,USD,call,2025-06-13
CAT250613C00400000,2025-06-09 13:35:52+00:00,400.0,0.05,0.0,0.09,0.0,0.0,1.0,14,0.49219257812500006,False,REGULAR,USD,call,2025-06-13
CAT250613C00420000,2025-05-27 14:52:33+00:00,420.0,0.02,0.0,0.25,-0.030000001,-60.0,2.0,8,0.72851833984375,False,REGULAR,USD,call,2025-06-13
CAT250613P00190000,2025-06-10 14:55:55+00:00,190.0,0.28,0.0,1.02,0.0,0.0,1.0,2,3.3925796435546873,False,REGULAR,USD,put,2025-06-13
CAT250613P00225000,2025-06-04 14:06:34+00:00,225.0,0.67,0.0,1.02,0.0,0.0,,1,2.587894155273437,False,REGULAR,USD,put,2025-06-13
CAT250613P00230000,2025-06-04 14:06:34+00:00,230.0,0.78,0.0,0.98,0.0,0.0,,1,2.468753828125,False,REGULAR,USD,put,2025-06-13
CAT250613P00245000,2025-06-03 18:26:27+00:00,245.0,0.48,0.0,1.02,0.0,0.0,,1,2.178715490722656,False,REGULAR,USD,put,2025-06-13
CAT250613P00250000,2025-06-03 18:26:27+00:00,250.0,0.55,0.0,1.02,0.0,0.0,,1,2.081059484863281,False,REGULAR,USD,put,2025-06-13
CAT250613P00255000,2025-06-04 14:06:13+00:00,255.0,0.88,0.0,0.53,0.0,0.0,,1,1.798829130859375,False,REGULAR,USD,put,2025-06-13
CAT250613P00260000,2025-06-04 14:06:13+00:00,260.0,0.96,0.0,0.65,0.0,0.0,,1,1.76171994140625,False,REGULAR,USD,put,2025-06-13
CAT250613P00270000,2025-05-22 15:47:50+00:00,270.0,0.7,0.0,0.73,0.0,0.0,1.0,1,1.615236298828125,False,REGULAR,USD,put,2025-06-13
CAT250613P00275000,2025-06-09 19:30:07+00:00,275.0,0.24,0.0,0.83,0.0,0.0,2.0,1,1.5585959570312498,False,REGULAR,USD,put,2025-06-13
CAT250613P00280000,2025-06-09 19:30:07+00:00,280.0,0.27,0.0,1.27,0.0,0.0,2.0,12,1.5830098974609372,False,REGULAR,USD,put,2025-06-13
CAT250613P00285000,2025-06-03 19:23:38+00:00,285.0,0.35,0.0,0.58,0.0,0.0,14.0,26,1.3085972070312497,False,REGULAR,USD,put,2025-06-13
CAT250613P00290000,2025-06-11 14:35:44+00:00,290.0,0.07,0.0,0.06,-0.049999997,-41.666664,1.0,21,0.92187578125,False,REGULAR,USD,put,2025-06-13
CAT250613P00295000,2025-06-11 14:36:36+00:00,295.0,0.09,0.0,1.27,0.080000006,800.00024,1.0,26,1.3115268798828121,False,REGULAR,USD,put,2025-06-13
CAT250613P00300000,2025-06-09 14:01:22+00:00,300.0,0.01,0.0,0.31,0.0,0.0,3.0,44,0.9707034179687499,False,REGULAR,USD,put,2025-06-13
CAT250613P00305000,2025-06-03 18:21:08+00:00,305.0,0.2,0.0,0.65,0.0,0.0,6.0,7,1.0058643457031249,False,REGULAR,USD,put,2025-06-13
CAT250613P00310000,2025-06-10 16:23:00+00:00,310.0,0.21,0.0,0.62,0.0,0.0,7.0,57,0.9179695703125,False,REGULAR,USD,put,2025-06-13
CAT250613P00315000,2025-06-10 19:44:52+00:00,315.0,0.04,0.0,0.5,0.0,0.0,4.0,15,0.8095722167968749,False,REGULAR,USD,put,2025-06-13
CAT250613P00320000,2025-06-11 14:02:52+00:00,320.0,0.04,0.0,0.67,-0.010000002,-20.000002,36.0,105,0.77148666015625,False,REGULAR,USD,put,2025-06-13
CAT250613P00325000,2025-06-11 15:30:55+00:00,325.0,0.03,0.0,0.05,-0.089999996,-75.0,5.0,320,0.5195360546875,False,REGULAR,USD,put,2025-06-13
CAT250613P00330000,2025-06-10 19:20:10+00:00,330.0,0.1,0.0,2.15,0.0,0.0,45.0,201,0.7949239257812499,False,REGULAR,USD,put,2025-06-13
CAT250613P00332500,2025-06-11 15:43:45+00:00,332.5,0.12,0.0,1.08,0.04,50.0,8.0,60,0.6323278955078125,False,REGULAR,USD,put,2025-06-13
CAT250613P00335000,2025-06-11 16:32:55+00:00,335.0,0.05,0.01,0.1,-0.09,-64.28571,25.0,180,0.43164630859375,False,REGULAR,USD,put,2025-06-13
CAT250613P00337500,2025-06-11 15:36:47+00:00,337.5,0.08,0.0,0.12,-0.09,-52.941177,1.0,155,0.40918559570312496,False,REGULAR,USD,put,2025-06-13
CAT250613P00340000,2025-06-11 17:24:17+00:00,340.0,0.14,0.0,0.3,-0.06999999,-33.33333,13.0,102,0.442388388671875,False,REGULAR,USD,put,2025-06-13
CAT250613P00342500,2025-06-11 16:53:43+00:00,342.5,0.1,0.04,0.2,-0.26000002,-72.22222,5.0,71,0.3711000390625,False,REGULAR,USD,put,2025-06-13
CAT250613P00345000,2025-06-11 17:41:59+00:00,345.0,0.12,0.09,0.33,-0.32,-72.72727,14.0,104,0.36963520996093746,False,REGULAR,USD,put,2025-06-13
