contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
COP250613C00073000,2025-06-06 15:56:25+00:00,73.0,14.69,20.15,20.75,0.0,0.0,10.0,10,1.51172119140625,True,REGULAR,USD,call,2025-06-13
COP250613C00074000,2025-06-03 14:22:21+00:00,74.0,12.86,19.1,19.8,0.0,0.0,,0,1.44140904296875,True,REGULAR,USD,call,2025-06-13
COP250613C00076000,2025-05-09 14:00:02+00:00,76.0,13.74,10.8,11.6,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
COP250613C00077000,2025-05-12 13:34:01+00:00,77.0,16.7,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
COP250613C00078000,2025-05-29 16:24:29+00:00,78.0,7.3,15.1,16.0,0.0,0.0,,6,1.2812535937499998,True,REGULAR,USD,call,2025-06-13
COP250613C00079000,2025-05-30 15:23:49+00:00,79.0,6.9,14.1,14.95,0.0,0.0,4.0,4,1.1816447167968749,True,REGULAR,USD,call,2025-06-13
COP250613C00080000,2025-06-10 14:05:43+00:00,80.0,10.5,13.0,13.75,0.0,0.0,5.0,26,0.914063359375,True,REGULAR,USD,call,2025-06-13
COP250613C00081000,2025-06-05 13:56:39+00:00,81.0,5.34,12.1,13.0,0.0,0.0,12.0,0,1.0625046875000002,True,REGULAR,USD,call,2025-06-13
COP250613C00082000,2025-06-05 13:56:39+00:00,82.0,4.44,11.1,12.45,0.0,0.0,12.0,0,1.1611370068359377,True,REGULAR,USD,call,2025-06-13
COP250613C00083000,2025-06-09 16:01:17+00:00,83.0,4.95,10.1,10.65,0.0,0.0,24.0,0,0.72851833984375,True,REGULAR,USD,call,2025-06-13
COP250613C00084000,2025-06-10 18:50:03+00:00,84.0,6.85,9.05,10.0,0.0,0.0,5.0,0,0.8242205078124999,True,REGULAR,USD,call,2025-06-13
COP250613C00085000,2025-06-09 17:58:49+00:00,85.0,3.92,8.1,8.8,0.0,0.0,19.0,0,0.6875031250000001,True,REGULAR,USD,call,2025-06-13
COP250613C00086000,2025-06-11 14:40:33+00:00,86.0,6.25,7.15,8.05,1.3600001,27.811865,1.0,195,0.7304714453125,True,REGULAR,USD,call,2025-06-13
COP250613C00087000,2025-06-11 14:50:06+00:00,87.0,4.56,6.25,6.9,0.13000011,2.93454,39.0,292,0.63867548828125,True,REGULAR,USD,call,2025-06-13
COP250613C00088000,2025-06-11 18:50:02+00:00,88.0,5.66,5.05,6.15,2.56,82.58065,23.0,0,0.57617611328125,True,REGULAR,USD,call,2025-06-13
COP250613C00089000,2025-06-11 19:22:38+00:00,89.0,4.35,4.35,4.7,1.6099999,58.759117,19.0,0,0.5468795312500001,True,REGULAR,USD,call,2025-06-13
COP250613C00090000,2025-06-11 19:17:50+00:00,90.0,3.4,3.5,3.75,1.5900002,87.845314,200.0,668,0.48242705078125003,True,REGULAR,USD,call,2025-06-13
COP250613C00091000,2025-06-11 19:23:46+00:00,91.0,2.7,2.69,2.9,1.3900001,106.10689,106.0,0,0.446294599609375,True,REGULAR,USD,call,2025-06-13
COP250613C00092000,2025-06-11 19:03:00+00:00,92.0,2.03,1.74,2.04,1.43,238.33333,84.0,0,0.38721315917968746,True,REGULAR,USD,call,2025-06-13
COP250613C00093000,2025-06-11 19:23:52+00:00,93.0,1.38,1.29,1.43,0.96000004,228.57146,253.0,486,0.38086556640624997,True,REGULAR,USD,call,2025-06-13
COP250613C00094000,2025-06-11 19:25:50+00:00,94.0,0.95,0.69,0.93,0.76,400.0,491.0,368,0.3706117626953125,False,REGULAR,USD,call,2025-06-13
COP250613C00095000,2025-06-11 19:00:35+00:00,95.0,0.59,0.5,0.59,0.46999997,391.66663,70.0,317,0.372076591796875,False,REGULAR,USD,call,2025-06-13
COP250613C00096000,2025-06-11 18:40:25+00:00,96.0,0.35,0.29,0.38,0.28,400.00003,376.0,255,0.3842835009765625,False,REGULAR,USD,call,2025-06-13
COP250613C00097000,2025-06-11 18:43:10+00:00,97.0,0.25,0.15,0.23,0.22,733.3333,21.0,0,0.39063109375,False,REGULAR,USD,call,2025-06-13
COP250613C00098000,2025-06-11 19:00:50+00:00,98.0,0.16,0.1,0.29,0.13,433.3333,3.0,0,0.49219257812500006,False,REGULAR,USD,call,2025-06-13
COP250613C00099000,2025-06-09 16:08:29+00:00,99.0,0.02,0.0,0.3,0.0,0.0,10.0,0,0.5654340332031251,False,REGULAR,USD,call,2025-06-13
COP250613C00100000,2025-06-11 19:05:51+00:00,100.0,0.05,0.03,0.13,0.030000001,150.0,14.0,533,0.5097705273437501,False,REGULAR,USD,call,2025-06-13
COP250613C00101000,2025-06-06 19:34:05+00:00,101.0,0.03,0.0,0.23,0.0,0.0,1.0,4,0.5507857421875001,False,REGULAR,USD,call,2025-06-13
COP250613C00102000,2025-06-06 16:34:34+00:00,102.0,0.01,0.0,0.22,0.0,0.0,1.0,5,0.5976602734375001,False,REGULAR,USD,call,2025-06-13
COP250613C00103000,2025-06-09 14:31:17+00:00,103.0,0.01,0.0,0.21,0.0,0.0,12.0,10,0.6445348046875,False,REGULAR,USD,call,2025-06-13
COP250613C00105000,2025-06-09 16:27:23+00:00,105.0,0.02,0.0,0.05,0.0,0.0,28.0,0,0.5898478515625001,False,REGULAR,USD,call,2025-06-13
COP250613C00110000,2025-06-09 19:47:10+00:00,110.0,0.01,0.0,0.02,0.0,0.0,16.0,0,0.70312796875,False,REGULAR,USD,call,2025-06-13
COP250613P00070000,2025-06-06 18:36:40+00:00,70.0,0.02,0.0,0.15,0.0,0.0,5.0,6,1.5195336523437497,False,REGULAR,USD,put,2025-06-13
COP250613P00073000,2025-06-09 14:56:00+00:00,73.0,0.01,0.0,0.02,0.0,0.0,200.0,200,1.0312548437500002,False,REGULAR,USD,put,2025-06-13
COP250613P00074000,2025-06-09 15:56:28+00:00,74.0,0.02,0.0,0.19,0.0,0.0,1.0,2,1.3085972070312497,False,REGULAR,USD,put,2025-06-13
COP250613P00075000,2025-06-09 19:05:59+00:00,75.0,0.02,0.0,0.2,0.0,0.0,5.0,91,1.25390998046875,False,REGULAR,USD,put,2025-06-13
COP250613P00076000,2025-06-09 15:31:32+00:00,76.0,0.02,0.0,0.16,0.0,0.0,1.0,1,1.1484417578125,False,REGULAR,USD,put,2025-06-13
COP250613P00077000,2025-06-09 19:43:12+00:00,77.0,0.03,0.0,0.2,0.0,0.0,31.0,42,1.125004375,False,REGULAR,USD,put,2025-06-13
COP250613P00078000,2025-06-10 17:12:00+00:00,78.0,0.03,0.0,0.2,0.0,0.0,183.0,5678,1.05859845703125,False,REGULAR,USD,put,2025-06-13
COP250613P00079000,2025-06-09 18:30:44+00:00,79.0,0.03,0.0,0.16,0.0,0.0,251.0,543,0.9609378906249999,False,REGULAR,USD,put,2025-06-13
COP250613P00080000,2025-06-11 18:46:18+00:00,80.0,0.01,0.01,0.05,-0.03,-75.0,12.0,739,0.773439765625,False,REGULAR,USD,put,2025-06-13
COP250613P00081000,2025-06-11 15:22:14+00:00,81.0,0.01,0.0,0.03,-0.03,-75.0,12.0,101,0.6562534375000001,False,REGULAR,USD,put,2025-06-13
COP250613P00082000,2025-06-11 15:47:59+00:00,82.0,0.05,0.01,0.17,-0.09,-64.28571,23.0,416,0.79101771484375,False,REGULAR,USD,put,2025-06-13
COP250613P00083000,2025-06-11 17:20:43+00:00,83.0,0.04,0.0,0.18,-0.010000002,-20.000002,1.0,387,0.7304714453125,False,REGULAR,USD,put,2025-06-13
COP250613P00084000,2025-06-11 18:53:44+00:00,84.0,0.09,0.02,0.18,0.030000005,50.000008,47.0,147,0.6796907031250001,False,REGULAR,USD,put,2025-06-13
COP250613P00085000,2025-06-11 15:10:45+00:00,85.0,0.03,0.02,0.19,-0.16,-84.210526,6.0,290,0.62305064453125,False,REGULAR,USD,put,2025-06-13
COP250613P00086000,2025-06-11 18:31:42+00:00,86.0,0.04,0.06,0.23,-0.08,-66.66667,36.0,560,0.5996133789062501,False,REGULAR,USD,put,2025-06-13
COP250613P00087000,2025-06-11 18:59:45+00:00,87.0,0.1,0.06,0.25,-0.04,-28.571428,24.0,237,0.5410202148437502,False,REGULAR,USD,put,2025-06-13
COP250613P00088000,2025-06-11 14:31:20+00:00,88.0,0.1,0.0,0.13,-0.15,-60.000004,8.0,346,0.45313046875,False,REGULAR,USD,put,2025-06-13
COP250613P00089000,2025-06-11 14:08:54+00:00,89.0,0.13,0.12,0.18,-0.22,-62.857143,24.0,106,0.41992767578125,False,REGULAR,USD,put,2025-06-13
COP250613P00090000,2025-06-11 19:27:50+00:00,90.0,0.24,0.21,0.28,-0.45999998,-65.71428,98.0,101,0.398443515625,False,REGULAR,USD,put,2025-06-13
COP250613P00091000,2025-06-11 17:44:33+00:00,91.0,0.31,0.32,0.43,-0.72999996,-70.19231,117.0,110,0.37695935546875,False,REGULAR,USD,put,2025-06-13
COP250613P00092000,2025-06-11 15:47:40+00:00,92.0,0.75,0.55,0.66,-1.05,-58.333332,23.0,28,0.35645174804687496,False,REGULAR,USD,put,2025-06-13
COP250613P00093000,2025-06-11 19:26:27+00:00,93.0,0.97,0.9,1.01,-1.0,-50.76142,82.0,9,0.3403386279296875,False,REGULAR,USD,put,2025-06-13
COP250613P00094000,2025-06-11 19:00:13+00:00,94.0,1.52,1.44,1.56,-6.8799996,-81.904755,12.0,10,0.344733115234375,True,REGULAR,USD,put,2025-06-13
COP250613P00095000,2025-06-10 19:31:41+00:00,95.0,4.2,2.04,2.24,0.0,0.0,20.0,11,0.34961587890624996,True,REGULAR,USD,put,2025-06-13
COP250613P00096000,2025-06-06 19:44:18+00:00,96.0,8.95,2.7,2.99,0.0,0.0,1.0,1,0.33887379882812496,True,REGULAR,USD,put,2025-06-13
COP250613P00097000,2025-05-23 14:22:42+00:00,97.0,11.55,3.7,4.5,0.0,0.0,1.0,0,0.6250037500000001,True,REGULAR,USD,put,2025-06-13
COP250613P00098000,2025-06-11 18:07:18+00:00,98.0,5.5,4.65,5.05,-7.8199997,-58.70871,1.0,0,0.51562984375,True,REGULAR,USD,put,2025-06-13
COP250613P00100000,2025-05-15 19:30:24+00:00,100.0,8.36,6.45,7.1,0.0,0.0,,0,0.6787141503906251,True,REGULAR,USD,put,2025-06-13
COP250613P00105000,2025-05-08 19:25:26+00:00,105.0,16.1,17.55,18.15,0.0,0.0,,0,3.0859397851562496,True,REGULAR,USD,put,2025-06-13
MRO250620C00013000,2024-11-07 16:47:18+00:00,13.0,15.67,0.0,0.0,0.0,0.0,1.0,15,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
MRO250620C00025000,2024-11-12 17:29:08+00:00,25.0,4.7,0.0,0.0,0.0,0.0,15.0,323,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
MRO250620C00027000,2024-11-21 16:49:26+00:00,27.0,3.65,0.0,0.0,0.0,0.0,1.0,968,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
MRO250620C00030000,2024-11-21 19:33:45+00:00,30.0,1.7,0.0,0.0,0.0,0.0,48.0,4542,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
MRO250620C00032000,2024-11-21 18:56:39+00:00,32.0,1.11,0.0,0.0,0.0,0.0,69.0,1723,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
MRO250620C00035000,2024-11-21 17:26:35+00:00,35.0,0.71,0.0,0.0,0.0,0.0,3.0,720,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
MRO250620C00040000,2024-11-21 20:47:05+00:00,40.0,0.14,0.0,0.0,0.0,0.0,103.0,1227,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
COP250620C00055000,2025-05-12 19:48:05+00:00,55.0,37.45,36.75,40.3,0.0,0.0,1.0,2,1.7070327148437499,True,REGULAR,USD,call,2025-06-20
COP250620C00060000,2025-05-16 13:30:10+00:00,60.0,33.47,31.85,35.3,0.0,0.0,3.0,1,1.509768076171875,True,REGULAR,USD,call,2025-06-20
COP250620C00065000,2025-05-16 17:09:00+00:00,65.0,26.4,26.45,30.25,0.0,0.0,5.0,5,0.9960937890625,True,REGULAR,USD,call,2025-06-20
COP250620C00070000,2025-05-16 18:08:13+00:00,70.0,22.8,23.15,24.15,0.0,0.0,35.0,0,1.1035201074218752,True,REGULAR,USD,call,2025-06-20
COP250620C00075000,2025-05-21 16:52:04+00:00,75.0,14.23,18.3,18.9,0.0,0.0,4.0,0,0.8554701953125,True,REGULAR,USD,call,2025-06-20
COP250620C00077500,2025-05-21 14:00:02+00:00,77.5,11.84,15.6,16.2,0.0,0.0,2.0,0,0.6132851171875001,True,REGULAR,USD,call,2025-06-20
COP250620C00080000,2025-06-11 18:28:54+00:00,80.0,13.4,13.45,13.7,1.7999992,15.517234,41.0,299,0.6347692773437501,True,REGULAR,USD,call,2025-06-20
COP250620C00081000,2025-06-06 14:31:26+00:00,81.0,7.06,12.15,13.3,0.0,0.0,8.0,8,0.6601596484375001,True,REGULAR,USD,call,2025-06-20
COP250620C00082000,2025-06-09 16:37:10+00:00,82.0,6.5,11.2,12.25,0.0,0.0,12.0,12,0.6171913281250001,True,REGULAR,USD,call,2025-06-20
COP250620C00082500,2025-05-27 17:08:23+00:00,82.5,4.7,10.85,11.4,0.0,0.0,1.0,581,0.5556685058593751,True,REGULAR,USD,call,2025-06-20
COP250620C00083000,2025-06-09 17:41:40+00:00,83.0,6.08,10.4,11.05,0.0,0.0,16.0,34,0.5732464550781251,True,REGULAR,USD,call,2025-06-20
