contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
CRM250613C00165000,2025-05-15 17:30:10+00:00,165.0,126.59,99.6,102.85,0.0,0.0,,1,2.302738618164062,True,REGULAR,USD,call,2025-06-13
CRM250613C00190000,2025-05-28 19:59:28+00:00,190.0,85.71,75.25,77.7,0.0,0.0,10.0,10,1.935547197265625,True,REGULAR,USD,call,2025-06-13
CRM250613C00195000,2025-05-28 19:59:20+00:00,195.0,80.59,69.75,72.85,0.0,0.0,10.0,10,1.65625171875,True,REGULAR,USD,call,2025-06-13
CRM250613C00210000,2025-05-23 19:19:09+00:00,210.0,63.91,54.8,57.8,0.0,0.0,6.0,0,1.3066440917968747,True,REGULAR,USD,call,2025-06-13
CRM250613C00215000,2025-06-02 15:41:10+00:00,215.0,47.85,50.35,52.55,0.0,0.0,,1,1.2978550732421872,True,REGULAR,USD,call,2025-06-13
CRM250613C00230000,2025-06-06 18:45:55+00:00,230.0,42.82,35.55,37.1,0.0,0.0,1.0,6,0.8808605664062499,True,REGULAR,USD,call,2025-06-13
CRM250613C00235000,2025-06-02 14:58:59+00:00,235.0,27.5,30.35,32.7,0.0,0.0,1.0,3,0.86132951171875,True,REGULAR,USD,call,2025-06-13
CRM250613C00240000,2025-06-10 17:38:58+00:00,240.0,30.0,25.55,27.0,0.0,0.0,40.0,57,0.6367223828125,True,REGULAR,USD,call,2025-06-13
CRM250613C00242500,2025-06-09 15:47:25+00:00,242.5,30.76,22.9,24.15,0.0,0.0,139.0,139,0.7226590234375,True,REGULAR,USD,call,2025-06-13
CRM250613C00245000,2025-06-06 19:46:59+00:00,245.0,28.9,20.9,22.2,0.0,0.0,1.0,12,0.6313513427734375,True,REGULAR,USD,call,2025-06-13
CRM250613C00247500,2025-06-02 19:53:48+00:00,247.5,15.35,18.25,20.0,0.0,0.0,,2,0.5918009570312501,True,REGULAR,USD,call,2025-06-13
CRM250613C00250000,2025-06-11 18:38:45+00:00,250.0,17.1,16.25,17.2,-3.3999996,-16.585365,1.0,43,0.55273884765625,True,REGULAR,USD,call,2025-06-13
CRM250613C00252500,2025-06-10 19:53:08+00:00,252.5,15.8,13.55,14.35,0.0,0.0,2.0,35,0.5136767382812499,True,REGULAR,USD,call,2025-06-13
CRM250613C00255000,2025-06-11 14:59:10+00:00,255.0,13.82,11.35,11.8,-1.7600002,-11.296536,1.0,571,0.43530838134765626,True,REGULAR,USD,call,2025-06-13
CRM250613C00257500,2025-06-10 18:42:02+00:00,257.5,11.85,8.8,10.0,0.0,0.0,30.0,140,0.47290566162109376,True,REGULAR,USD,call,2025-06-13
CRM250613C00260000,2025-06-11 17:59:19+00:00,260.0,7.0,7.0,7.55,-1.4799995,-17.452826,25.0,533,0.39624627197265627,True,REGULAR,USD,call,2025-06-13
CRM250613C00262500,2025-06-11 18:15:19+00:00,262.5,4.85,4.95,5.25,-1.5700002,-24.45483,7.0,252,0.33008482421874996,True,REGULAR,USD,call,2025-06-13
CRM250613C00265000,2025-06-11 19:17:15+00:00,265.0,3.05,3.3,3.55,-2.1499999,-41.346153,204.0,464,0.3112861840820312,True,REGULAR,USD,call,2025-06-13
CRM250613C00267500,2025-06-11 19:26:32+00:00,267.5,2.06,2.18,2.19,-1.49,-41.971832,374.0,297,0.29566134033203123,False,REGULAR,USD,call,2025-06-13
CRM250613C00270000,2025-06-11 19:07:43+00:00,270.0,1.13,1.22,1.31,-1.17,-50.869564,967.0,969,0.29492892578124996,False,REGULAR,USD,call,2025-06-13
CRM250613C00272500,2025-06-11 19:22:00+00:00,272.5,0.59,0.66,0.72,-0.83,-58.450706,583.0,787,0.2934640966796874,False,REGULAR,USD,call,2025-06-13
CRM250613C00275000,2025-06-11 19:13:36+00:00,275.0,0.35,0.32,0.38,-0.48,-57.831326,1198.0,1545,0.29566134033203123,False,REGULAR,USD,call,2025-06-13
CRM250613C00277500,2025-06-11 19:22:00+00:00,277.5,0.19,0.18,0.22,-0.31,-62.0,293.0,884,0.3086006640625,False,REGULAR,USD,call,2025-06-13
CRM250613C00280000,2025-06-11 19:22:36+00:00,280.0,0.11,0.11,0.14,-0.17,-60.714287,695.0,2024,0.327155166015625,False,REGULAR,USD,call,2025-06-13
CRM250613C00282500,2025-06-11 18:43:30+00:00,282.5,0.1,0.04,0.1,-0.1,-50.0,126.0,1142,0.3505924316406249,False,REGULAR,USD,call,2025-06-13
CRM250613C00285000,2025-06-11 19:06:03+00:00,285.0,0.05,0.05,0.07,-0.09,-64.28571,173.0,2034,0.3711000390625,False,REGULAR,USD,call,2025-06-13
CRM250613C00287500,2025-06-11 16:01:55+00:00,287.5,0.08,0.0,0.29,-0.020000003,-20.000002,22.0,310,0.526371923828125,False,REGULAR,USD,call,2025-06-13
CRM250613C00290000,2025-06-11 15:47:44+00:00,290.0,0.07,0.0,0.09,-0.009999998,-12.499997,24.0,1048,0.46680220703125,False,REGULAR,USD,call,2025-06-13
CRM250613C00292500,2025-06-11 16:58:45+00:00,292.5,0.05,0.02,0.09,-0.009999998,-16.666662,17.0,175,0.50586431640625,False,REGULAR,USD,call,2025-06-13
CRM250613C00295000,2025-06-10 19:54:04+00:00,295.0,0.05,0.0,0.2,0.0,0.0,4.0,259,0.551762294921875,False,REGULAR,USD,call,2025-06-13
CRM250613C00297500,2025-06-06 14:48:06+00:00,297.5,0.14,0.0,0.6,0.0,0.0,20.0,47,0.708010732421875,False,REGULAR,USD,call,2025-06-13
CRM250613C00300000,2025-06-10 19:55:51+00:00,300.0,0.04,0.0,0.05,0.0,0.0,20.0,457,0.523442265625,False,REGULAR,USD,call,2025-06-13
CRM250613C00302500,2025-06-09 14:01:20+00:00,302.5,0.08,0.0,0.59,0.0,0.0,1.0,101,0.790041162109375,False,REGULAR,USD,call,2025-06-13
CRM250613C00305000,2025-06-09 17:38:50+00:00,305.0,0.06,0.0,0.59,0.0,0.0,16.0,149,0.8300798242187499,False,REGULAR,USD,call,2025-06-13
CRM250613C00310000,2025-06-10 16:36:18+00:00,310.0,0.02,0.0,0.56,0.0,0.0,13.0,138,0.901368173828125,False,REGULAR,USD,call,2025-06-13
CRM250613C00315000,2025-06-06 19:53:24+00:00,315.0,0.01,0.0,0.01,-0.07,-87.5,11.0,198,0.6093789062500001,False,REGULAR,USD,call,2025-06-13
CRM250613C00320000,2025-06-06 19:33:30+00:00,320.0,0.09,0.0,0.09,0.0,0.0,162.0,434,0.8203142968749999,False,REGULAR,USD,call,2025-06-13
CRM250613C00325000,2025-06-06 19:57:41+00:00,325.0,0.04,0.0,0.58,0.0,0.0,88.0,171,1.1308637207031251,False,REGULAR,USD,call,2025-06-13
CRM250613C00330000,2025-06-06 17:12:35+00:00,330.0,0.02,0.0,0.01,0.0,0.0,6.0,278,0.7500025,False,REGULAR,USD,call,2025-06-13
