contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
CSCO250613C00049000,2025-05-30 16:28:41+00:00,49.0,13.55,14.9,15.25,0.0,0.0,5.0,5,1.5234398828124998,True,REGULAR,USD,call,2025-06-13
CSCO250613C00050000,2025-06-11 15:31:15+00:00,50.0,14.2,14.05,14.65,-0.77000046,-5.1436234,2.0,8,1.6640641796875002,True,REGULAR,USD,call,2025-06-13
CSCO250613C00052000,2025-05-07 13:43:27+00:00,52.0,7.82,0.0,0.0,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
CSCO250613C00053000,2025-06-09 19:49:03+00:00,53.0,12.95,10.65,11.55,0.0,0.0,2.0,13,1.60547072265625,True,REGULAR,USD,call,2025-06-13
CSCO250613C00054000,2025-05-12 13:45:39+00:00,54.0,7.82,0.0,0.0,0.0,0.0,5.0,4,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
CSCO250613C00055000,2025-06-06 18:16:53+00:00,55.0,11.0,9.05,9.2,0.0,0.0,4.0,24,0.79687703125,True,REGULAR,USD,call,2025-06-13
CSCO250613C00056000,2025-06-09 13:59:08+00:00,56.0,9.85,7.8,8.65,0.0,0.0,5.0,32,0.79687703125,True,REGULAR,USD,call,2025-06-13
CSCO250613C00057000,2025-06-09 17:46:50+00:00,57.0,9.1,7.1,7.25,0.0,0.0,2.0,14,0.7656273437500001,True,REGULAR,USD,call,2025-06-13
CSCO250613C00058000,2025-06-06 17:27:07+00:00,58.0,7.85,6.0,6.35,0.0,0.0,1.0,10,0.8125018749999999,True,REGULAR,USD,call,2025-06-13
CSCO250613C00059000,2025-06-09 16:49:49+00:00,59.0,7.02,4.8,5.55,0.0,0.0,2.0,20,0.88476677734375,True,REGULAR,USD,call,2025-06-13
CSCO250613C00060000,2025-06-11 14:03:19+00:00,60.0,4.3,4.1,4.2,-1.0299997,-19.324572,7.0,59,0.39063109375,True,REGULAR,USD,call,2025-06-13
CSCO250613C00061000,2025-06-11 17:50:45+00:00,61.0,3.29,3.1,3.25,-0.86000013,-20.722895,7.0,311,0.39063109375,True,REGULAR,USD,call,2025-06-13
CSCO250613C00062000,2025-06-11 15:24:06+00:00,62.0,2.34,2.09,2.3,-0.6600001,-22.000002,5.0,311,0.336920693359375,True,REGULAR,USD,call,2025-06-13
CSCO250613C00063000,2025-06-11 17:13:38+00:00,63.0,1.39,1.19,1.38,-0.81000006,-36.818184,66.0,578,0.27149166015625,True,REGULAR,USD,call,2025-06-13
CSCO250613C00064000,2025-06-11 19:03:24+00:00,64.0,0.44,0.43,0.48,-0.88000005,-66.66667,429.0,956,0.16700051757812504,True,REGULAR,USD,call,2025-06-13
CSCO250613C00065000,2025-06-11 19:21:15+00:00,65.0,0.1,0.1,0.13,-0.47,-82.45614,5597.0,4235,0.179695703125,False,REGULAR,USD,call,2025-06-13
