contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
CVX250613C00120000,2025-06-11 17:50:59+00:00,120.0,23.9,24.25,25.0,7.3999996,44.84848,4.0,0,1.2753942480468747,True,REGULAR,USD,call,2025-06-13
CVX250613C00125000,2025-05-16 17:37:57+00:00,125.0,16.8,19.25,20.1,0.0,0.0,10.0,0,0.64062859375,True,REGULAR,USD,call,2025-06-13
CVX250613C00126000,2025-06-02 17:59:40+00:00,126.0,11.58,18.2,19.0,0.0,0.0,,6,1.000005,True,REGULAR,USD,call,2025-06-13
CVX250613C00128000,2025-05-29 17:46:36+00:00,128.0,10.2,16.35,17.4,0.0,0.0,2.0,2,0.823243955078125,True,REGULAR,USD,call,2025-06-13
CVX250613C00129000,2025-05-29 16:36:26+00:00,129.0,8.32,15.3,16.25,0.0,0.0,,0,0.6914093359375001,True,REGULAR,USD,call,2025-06-13
CVX250613C00130000,2025-06-10 13:43:49+00:00,130.0,12.67,14.3,15.2,0.0,0.0,1.0,86,0.6250037500000001,True,REGULAR,USD,call,2025-06-13
CVX250613C00131000,2025-06-09 15:49:38+00:00,131.0,10.53,13.05,14.15,0.0,0.0,20.0,50,0.8471694970703124,True,REGULAR,USD,call,2025-06-13
CVX250613C00132000,2025-06-09 15:49:38+00:00,132.0,9.55,12.4,13.15,0.0,0.0,24.0,6,0.57617611328125,True,REGULAR,USD,call,2025-06-13
CVX250613C00133000,2025-06-10 16:39:58+00:00,133.0,11.92,11.35,12.25,0.0,0.0,5.0,0,0.5566450585937501,True,REGULAR,USD,call,2025-06-13
CVX250613C00134000,2025-06-11 14:39:03+00:00,134.0,9.1,10.65,11.35,-1.5,-14.150943,10.0,324,0.6337927246093751,True,REGULAR,USD,call,2025-06-13
CVX250613C00135000,2025-06-10 14:13:29+00:00,135.0,8.32,9.15,9.95,0.0,0.0,11.0,0,0.5634809277343751,True,REGULAR,USD,call,2025-06-13
CVX250613C00136000,2025-06-10 19:30:52+00:00,136.0,6.95,8.45,8.8,0.0,0.0,6.0,139,0.43555251953125,True,REGULAR,USD,call,2025-06-13
CVX250613C00137000,2025-06-10 17:34:44+00:00,137.0,7.83,6.9,7.95,0.0,0.0,18.0,263,0.471684970703125,True,REGULAR,USD,call,2025-06-13
CVX250613C00138000,2025-06-11 17:44:53+00:00,138.0,6.0,6.25,7.55,0.4000001,7.1428585,31.0,0,0.6196327099609377,True,REGULAR,USD,call,2025-06-13
CVX250613C00139000,2025-06-11 17:29:24+00:00,139.0,5.02,5.1,6.35,0.25,5.2410903,1.0,0,0.50586431640625,True,REGULAR,USD,call,2025-06-13
CVX250613C00140000,2025-06-11 15:38:33+00:00,140.0,4.12,4.8,4.95,0.47999978,13.186807,29.0,0,0.32813171874999997,True,REGULAR,USD,call,2025-06-13
CVX250613C00141000,2025-06-11 19:24:33+00:00,141.0,3.93,3.75,3.9,0.83000016,26.774199,182.0,0,0.260749580078125,True,REGULAR,USD,call,2025-06-13
CVX250613C00142000,2025-06-11 19:20:36+00:00,142.0,2.88,2.84,3.1,0.74,34.579437,193.0,1075,0.266608896484375,True,REGULAR,USD,call,2025-06-13
CVX250613C00143000,2025-06-11 19:20:36+00:00,143.0,2.11,2.13,2.26,0.45999992,27.878784,374.0,0,0.242195078125,True,REGULAR,USD,call,2025-06-13
CVX250613C00144000,2025-06-11 19:27:37+00:00,144.0,1.57,1.51,1.59,0.5200001,49.523823,2410.0,0,0.23584748535156247,True,REGULAR,USD,call,2025-06-13
CVX250613C00145000,2025-06-11 19:26:26+00:00,145.0,1.1,1.06,1.12,0.43,64.1791,2552.0,1579,0.24488059814453128,False,REGULAR,USD,call,2025-06-13
CVX250613C00146000,2025-06-11 19:27:41+00:00,146.0,0.68,0.64,0.7,0.26000002,61.90477,668.0,0,0.23926541992187497,False,REGULAR,USD,call,2025-06-13
CVX250613C00147000,2025-06-11 19:19:28+00:00,147.0,0.37,0.4,0.47,0.050000012,15.625003,927.0,6892,0.25098405273437496,False,REGULAR,USD,call,2025-06-13
CVX250613C00148000,2025-06-11 19:25:03+00:00,148.0,0.24,0.23,0.29,0.08999999,59.999992,374.0,0,0.2553785400390626,False,REGULAR,USD,call,2025-06-13
CVX250613C00149000,2025-06-11 18:55:51+00:00,149.0,0.13,0.13,0.16,0.06999999,116.66665,601.0,203,0.25391371093750004,False,REGULAR,USD,call,2025-06-13
CVX250613C00150000,2025-06-11 19:27:38+00:00,150.0,0.09,0.08,0.09,0.07000001,350.00012,356.0,0,0.257819921875,False,REGULAR,USD,call,2025-06-13
CVX250613C00152500,2025-06-11 18:44:31+00:00,152.5,0.02,0.0,0.04,0.01,100.0,12.0,22,0.3007882421875,False,REGULAR,USD,call,2025-06-13
CVX250613C00155000,2025-06-11 13:41:27+00:00,155.0,0.01,0.0,0.02,0.0,0.0,6.0,69,0.3398503515625,False,REGULAR,USD,call,2025-06-13
CVX250613C00160000,2025-06-06 15:58:49+00:00,160.0,0.02,0.0,0.24,0.0,0.0,50.0,50,0.6152382226562501,False,REGULAR,USD,call,2025-06-13
CVX250613C00165000,2025-06-02 19:25:25+00:00,165.0,0.01,0.0,0.23,0.0,0.0,2.0,0,0.7597680273437502,False,REGULAR,USD,call,2025-06-13
CVX250613C00170000,2025-06-09 14:54:09+00:00,170.0,0.03,0.0,0.01,0.0,0.0,1.0,0,0.6250037500000001,False,REGULAR,USD,call,2025-06-13
CVX250613C00175000,2025-05-23 13:30:19+00:00,175.0,0.07,0.0,0.1,0.0,0.0,1.0,0,0.9179695703125,False,REGULAR,USD,call,2025-06-13
CVX250613P00090000,2025-05-14 13:34:59+00:00,90.0,0.01,0.0,0.23,0.0,0.0,1.0,1,2.3671915820312495,False,REGULAR,USD,put,2025-06-13
CVX250613P00105000,2025-06-09 19:57:33+00:00,105.0,0.03,0.0,0.23,0.0,0.0,1.0,0,1.671876640625,False,REGULAR,USD,put,2025-06-13
CVX250613P00110000,2025-06-09 19:57:33+00:00,110.0,0.1,0.0,0.23,0.0,0.0,1.0,0,1.4570339648437498,False,REGULAR,USD,put,2025-06-13
CVX250613P00115000,2025-06-02 15:10:40+00:00,115.0,0.03,0.0,0.23,0.0,0.0,2.0,305,1.2500037499999999,False,REGULAR,USD,put,2025-06-13
CVX250613P00120000,2025-06-10 14:34:54+00:00,120.0,0.01,0.0,0.0,0.0,0.0,10.0,529,0.500005,False,REGULAR,USD,put,2025-06-13
CVX250613P00123000,2025-06-02 16:59:58+00:00,123.0,0.04,0.0,2.13,0.0,0.0,,0,1.5141625854492187,False,REGULAR,USD,put,2025-06-13
CVX250613P00124000,2025-06-09 18:06:12+00:00,124.0,0.01,0.0,0.24,0.0,0.0,16.0,0,0.8945323046874999,False,REGULAR,USD,put,2025-06-13
CVX250613P00125000,2025-06-10 16:09:15+00:00,125.0,0.02,0.0,0.02,0.0,0.0,11.0,2908,0.6093789062500001,False,REGULAR,USD,put,2025-06-13
CVX250613P00126000,2025-06-06 17:57:34+00:00,126.0,0.03,0.0,0.01,0.0,0.0,3.0,0,0.5468795312500001,False,REGULAR,USD,put,2025-06-13
CVX250613P00127000,2025-06-06 16:06:25+00:00,127.0,0.04,0.0,0.24,0.0,0.0,4.0,1234,0.7773459765625,False,REGULAR,USD,put,2025-06-13
CVX250613P00128000,2025-06-09 16:23:42+00:00,128.0,0.03,0.0,0.25,0.0,0.0,6.0,57,0.7421900781249999,False,REGULAR,USD,put,2025-06-13
CVX250613P00129000,2025-06-09 19:08:42+00:00,129.0,0.01,0.0,0.25,0.0,0.0,8.0,0,0.70312796875,False,REGULAR,USD,put,2025-06-13
CVX250613P00130000,2025-06-10 16:33:29+00:00,130.0,0.02,0.0,0.25,0.0,0.0,15.0,3999,0.6640658593750002,False,REGULAR,USD,put,2025-06-13
CVX250613P00131000,2025-06-10 17:42:59+00:00,131.0,0.03,0.0,0.25,0.0,0.0,17.0,144,0.6250037500000001,False,REGULAR,USD,put,2025-06-13
CVX250613P00132000,2025-06-11 19:20:36+00:00,132.0,0.01,0.01,0.02,-0.03,-60.000004,14.0,529,0.437505625,False,REGULAR,USD,put,2025-06-13
CVX250613P00133000,2025-06-11 19:24:57+00:00,133.0,0.02,0.02,0.12,-0.01,-33.333336,8.0,0,0.5410202148437502,False,REGULAR,USD,put,2025-06-13
CVX250613P00134000,2025-06-11 14:51:04+00:00,134.0,0.05,0.03,0.04,-0.009999998,-16.666662,28.0,0,0.414068359375,False,REGULAR,USD,put,2025-06-13
CVX250613P00135000,2025-06-11 19:22:45+00:00,135.0,0.03,0.02,0.04,-0.020000001,-40.000004,38.0,641,0.3789124609375,False,REGULAR,USD,put,2025-06-13
CVX250613P00136000,2025-06-11 17:32:23+00:00,136.0,0.04,0.03,0.06,-0.02,-33.333336,115.0,0,0.36914693359375,False,REGULAR,USD,put,2025-06-13
CVX250613P00137000,2025-06-11 18:34:58+00:00,137.0,0.05,0.04,0.08,-0.009999998,-16.666662,119.0,0,0.35156898437499995,False,REGULAR,USD,put,2025-06-13
CVX250613P00138000,2025-06-11 17:55:19+00:00,138.0,0.07,0.05,0.09,-0.059999995,-46.153843,127.0,470,0.32031929687499994,False,REGULAR,USD,put,2025-06-13
CVX250613P00139000,2025-06-11 19:01:17+00:00,139.0,0.09,0.07,0.1,-0.09,-49.999996,57.0,498,0.28711650390624993,False,REGULAR,USD,put,2025-06-13
CVX250613P00140000,2025-06-11 19:22:45+00:00,140.0,0.14,0.1,0.14,-0.13000001,-48.14815,205.0,647,0.266608896484375,False,REGULAR,USD,put,2025-06-13
CVX250613P00141000,2025-06-11 19:06:59+00:00,141.0,0.23,0.19,0.23,-0.26999998,-53.999996,490.0,0,0.257819921875,False,REGULAR,USD,put,2025-06-13
CVX250613P00142000,2025-06-11 19:26:07+00:00,142.0,0.3,0.32,0.35,-0.40999997,-57.746475,555.0,401,0.242195078125,False,REGULAR,USD,put,2025-06-13
CVX250613P00143000,2025-06-11 19:23:52+00:00,143.0,0.55,0.55,0.59,-0.56,-50.45045,294.0,1230,0.2399978344726562,False,REGULAR,USD,put,2025-06-13
CVX250613P00144000,2025-06-11 19:18:42+00:00,144.0,1.03,0.89,0.95,-0.5400001,-34.39491,124.0,0,0.23975369628906246,False,REGULAR,USD,put,2025-06-13
CVX250613P00145000,2025-06-11 18:56:53+00:00,145.0,1.44,1.39,1.46,-0.55999994,-27.999996,72.0,0,0.24488059814453128,True,REGULAR,USD,put,2025-06-13
CVX250613P00146000,2025-06-11 17:30:49+00:00,146.0,2.05,1.98,2.09,0.099999905,5.1282,143.0,52,0.24976336181640624,True,REGULAR,USD,put,2025-06-13
CVX250613P00150000,2025-06-03 14:50:22+00:00,150.0,10.18,4.9,5.85,0.0,0.0,5.0,0,0.4194393994140625,True,REGULAR,USD,put,2025-06-13
CVX250613P00155000,2025-06-11 19:08:09+00:00,155.0,10.7,10.3,10.6,-6.3,-37.058823,650.0,0,0.5390671093750001,True,REGULAR,USD,put,2025-06-13
