contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
C250613C00045000,2025-05-05 19:45:43+00:00,45.0,25.7,29.65,33.6,0.0,0.0,,2,3.0859397851562496,True,REGULAR,USD,call,2025-06-13
C250613C00050000,2025-06-05 18:40:42+00:00,50.0,26.77,27.4,30.45,0.0,0.0,,1,3.2031269921874994,True,REGULAR,USD,call,2025-06-13
C250613C00062000,2025-06-11 15:37:50+00:00,62.0,16.25,16.3,16.6,-0.14999962,-0.91463184,2.0,1,1.47265888671875,True,REGULAR,USD,call,2025-06-13
C250613C00063000,2025-06-11 15:37:50+00:00,63.0,15.27,15.2,15.6,1.2700005,9.071432,2.0,4,1.3867218164062498,True,REGULAR,USD,call,2025-06-13
C250613C00064000,2025-05-28 14:12:33+00:00,64.0,11.48,14.25,14.6,0.0,0.0,2.0,2,1.3046909765624997,True,REGULAR,USD,call,2025-06-13
C250613C00065000,2025-06-10 15:57:27+00:00,65.0,12.9,13.3,13.6,0.0,0.0,19.0,30,1.22266013671875,True,REGULAR,USD,call,2025-06-13
C250613C00066000,2025-06-09 17:44:12+00:00,66.0,12.7,12.3,12.7,0.0,0.0,10.0,25,0.929688203125,True,REGULAR,USD,call,2025-06-13
C250613C00067000,2025-06-05 14:03:46+00:00,67.0,9.04,11.3,11.8,0.0,0.0,,3,0.9765627343750001,True,REGULAR,USD,call,2025-06-13
C250613C00068000,2025-06-10 19:54:40+00:00,68.0,10.05,10.35,10.95,0.0,0.0,2.0,7,1.0410204199218753,True,REGULAR,USD,call,2025-06-13
C250613C00069000,2025-06-06 14:04:54+00:00,69.0,9.0,9.3,9.65,0.0,0.0,1.0,20,0.64062859375,True,REGULAR,USD,call,2025-06-13
C250613C00070000,2025-06-11 17:29:34+00:00,70.0,8.9,8.35,8.5,1.0499997,13.3757925,2.0,125,0.6523472265625001,True,REGULAR,USD,call,2025-06-13
C250613C00071000,2025-06-10 18:00:13+00:00,71.0,6.85,7.4,7.5,0.0,0.0,5.0,101,0.5820354296875,True,REGULAR,USD,call,2025-06-13
C250613C00072000,2025-06-11 18:46:54+00:00,72.0,6.67,6.45,6.55,0.7000003,11.725299,15.0,185,0.51562984375,True,REGULAR,USD,call,2025-06-13
C250613C00073000,2025-06-11 16:30:45+00:00,73.0,5.42,5.1,5.55,0.36000013,7.114628,7.0,154,0.51562984375,True,REGULAR,USD,call,2025-06-13
C250613C00074000,2025-06-11 18:17:09+00:00,74.0,4.5,4.45,4.55,0.4499998,11.111106,15.0,299,0.437505625,True,REGULAR,USD,call,2025-06-13
C250613C00075000,2025-06-11 19:02:50+00:00,75.0,3.46,3.45,3.7,0.60000014,20.979027,82.0,302,0.47070841796875,True,REGULAR,USD,call,2025-06-13
C250613C00076000,2025-06-11 18:53:57+00:00,76.0,2.7,2.36,2.57,0.45000005,20.000002,382.0,1026,0.2929758203124999,True,REGULAR,USD,call,2025-06-13
C250613C00077000,2025-06-11 17:41:17+00:00,77.0,2.01,1.61,1.71,0.61,43.57143,49.0,826,0.27539787109374997,True,REGULAR,USD,call,2025-06-13
C250613C00078000,2025-06-11 19:05:11+00:00,78.0,0.87,0.9,0.93,0.060000002,7.4074073,688.0,3512,0.23975369628906246,True,REGULAR,USD,call,2025-06-13
C250613C00079000,2025-06-11 19:17:08+00:00,79.0,0.37,0.38,0.4,-0.030000001,-7.5,585.0,5118,0.22315229980468748,False,REGULAR,USD,call,2025-06-13
C250613C00080000,2025-06-11 18:42:30+00:00,80.0,0.14,0.12,0.14,-0.010000005,-6.6666694,1573.0,10569,0.22168747070312497,False,REGULAR,USD,call,2025-06-13
C250613C00081000,2025-06-11 18:38:22+00:00,81.0,0.04,0.03,0.05,-0.02,-33.333336,275.0,978,0.23438265625,False,REGULAR,USD,call,2025-06-13
C250613C00082000,2025-06-11 18:16:29+00:00,82.0,0.02,0.01,0.02,0.01,100.0,49.0,1318,0.25391371093750004,False,REGULAR,USD,call,2025-06-13
C250613C00083000,2025-06-10 14:06:59+00:00,83.0,0.01,0.0,0.01,0.0,0.0,1.0,1225,0.28125718749999995,False,REGULAR,USD,call,2025-06-13
C250613C00084000,2025-06-09 18:22:15+00:00,84.0,0.01,0.0,0.01,0.0,0.0,33.0,86,0.335944140625,False,REGULAR,USD,call,2025-06-13
C250613C00085000,2025-06-11 17:31:02+00:00,85.0,0.01,0.0,0.01,0.0,0.0,1.0,265,0.38281867187499996,False,REGULAR,USD,call,2025-06-13
C250613C00086000,2025-06-04 13:43:38+00:00,86.0,0.02,0.0,0.01,0.0,0.0,8.0,87,0.42969320312500003,False,REGULAR,USD,call,2025-06-13
C250613C00090000,2025-06-03 16:58:30+00:00,90.0,0.01,0.0,0.01,0.0,0.0,25.0,30,0.5625043750000001,False,REGULAR,USD,call,2025-06-13
C250613P00040000,2025-05-02 19:11:15+00:00,40.0,0.02,0.0,0.38,0.0,0.0,2.0,2,3.8281254296875,False,REGULAR,USD,put,2025-06-13
C250613P00050000,2025-05-20 16:17:14+00:00,50.0,0.01,0.0,0.01,0.0,0.0,1.0,607,1.6875015625,False,REGULAR,USD,put,2025-06-13
C250613P00055000,2025-06-05 19:53:15+00:00,55.0,0.01,0.0,0.01,0.0,0.0,25.0,29,1.3750031249999999,False,REGULAR,USD,put,2025-06-13
C250613P00056000,2025-06-02 19:47:15+00:00,56.0,0.01,0.0,0.01,0.0,0.0,1.0,2,1.3125034374999998,False,REGULAR,USD,put,2025-06-13
C250613P00058000,2025-05-16 13:36:17+00:00,58.0,0.06,0.0,0.01,0.0,0.0,50.0,50,1.1875040625,False,REGULAR,USD,put,2025-06-13
C250613P00059000,2025-05-29 19:44:21+00:00,59.0,0.02,0.0,0.01,0.0,0.0,10.0,21,1.125004375,False,REGULAR,USD,put,2025-06-13
C250613P00060000,2025-06-02 19:46:59+00:00,60.0,0.02,0.0,0.01,0.0,0.0,3.0,54,1.0625046875000002,False,REGULAR,USD,put,2025-06-13
C250613P00061000,2025-06-02 14:41:45+00:00,61.0,0.02,0.0,0.01,0.0,0.0,7.0,90,0.98437515625,False,REGULAR,USD,put,2025-06-13
C250613P00062000,2025-06-05 18:22:47+00:00,62.0,0.01,0.0,0.01,0.0,0.0,22.0,143,0.937500625,False,REGULAR,USD,put,2025-06-13
C250613P00063000,2025-05-21 13:42:26+00:00,63.0,0.1,0.0,0.01,0.0,0.0,20.0,23,0.87500125,False,REGULAR,USD,put,2025-06-13
C250613P00064000,2025-06-03 17:08:15+00:00,64.0,0.02,0.0,0.01,0.0,0.0,25.0,95,0.8125018749999999,False,REGULAR,USD,put,2025-06-13
C250613P00065000,2025-06-09 14:00:31+00:00,65.0,0.01,0.0,0.01,0.0,0.0,5.0,242,0.7500025,False,REGULAR,USD,put,2025-06-13
C250613P00066000,2025-06-09 15:45:27+00:00,66.0,0.01,0.0,0.01,0.0,0.0,100.0,137,0.7187528125,False,REGULAR,USD,put,2025-06-13
C250613P00067000,2025-06-06 19:37:46+00:00,67.0,0.01,0.0,0.01,0.0,0.0,11.0,210,0.6562534375000001,False,REGULAR,USD,put,2025-06-13
C250613P00068000,2025-06-10 14:42:39+00:00,68.0,0.01,0.0,0.01,0.0,0.0,40.0,202,0.5937540625000001,False,REGULAR,USD,put,2025-06-13
C250613P00069000,2025-06-11 13:37:08+00:00,69.0,0.01,0.0,0.01,0.0,0.0,1.0,590,0.5312546875,False,REGULAR,USD,put,2025-06-13
C250613P00070000,2025-06-09 16:49:39+00:00,70.0,0.01,0.0,0.01,0.0,0.0,58.0,329,0.5312546875,False,REGULAR,USD,put,2025-06-13
C250613P00071000,2025-06-10 16:01:20+00:00,71.0,0.02,0.0,0.01,0.0,0.0,18.0,2574,0.4687553125,False,REGULAR,USD,put,2025-06-13
C250613P00072000,2025-06-11 15:16:37+00:00,72.0,0.01,0.0,0.01,-0.02,-66.66667,36.0,1635,0.4062559375,False,REGULAR,USD,put,2025-06-13
C250613P00073000,2025-06-11 13:42:21+00:00,73.0,0.02,0.01,0.02,-0.02,-50.0,23.0,720,0.39063109375,False,REGULAR,USD,put,2025-06-13
C250613P00074000,2025-06-11 18:14:08+00:00,74.0,0.02,0.01,0.03,-0.030000001,-60.0,22.0,1292,0.34766277343749996,False,REGULAR,USD,put,2025-06-13
C250613P00075000,2025-06-11 19:21:48+00:00,75.0,0.03,0.03,0.04,-0.08,-72.72727,7165.0,5495,0.29688203124999996,False,REGULAR,USD,put,2025-06-13
C250613P00076000,2025-06-11 17:40:53+00:00,76.0,0.07,0.07,0.08,-0.1,-58.82353,4781.0,3679,0.264655791015625,False,REGULAR,USD,put,2025-06-13
C250613P00077000,2025-06-11 19:23:09+00:00,77.0,0.17,0.18,0.2,-0.17,-50.0,580.0,1817,0.249030947265625,False,REGULAR,USD,put,2025-06-13
C250613P00078000,2025-06-11 19:04:38+00:00,78.0,0.44,0.4,0.42,-0.26,-37.142857,2474.0,727,0.21973436523437498,False,REGULAR,USD,put,2025-06-13
C250613P00079000,2025-06-11 19:27:22+00:00,79.0,0.92,0.9,0.92,-0.42000002,-31.343283,109.0,423,0.213875048828125,True,REGULAR,USD,put,2025-06-13
C250613P00080000,2025-06-11 17:05:28+00:00,80.0,1.45,1.65,1.88,-0.8399999,-36.68122,46.0,217,0.31641308593749995,True,REGULAR,USD,put,2025-06-13
C250613P00081000,2025-06-09 15:07:01+00:00,81.0,2.73,2.5,2.84,0.0,0.0,1.0,39,0.39649041015625003,True,REGULAR,USD,put,2025-06-13
C250613P00083000,2025-05-15 16:00:06+00:00,83.0,7.98,4.5,4.95,0.0,0.0,,0,0.6357458300781251,True,REGULAR,USD,put,2025-06-13
