contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
DIS250613C00080000,2025-05-05 18:10:26+00:00,80.0,14.25,31.75,35.75,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00085000,2025-05-05 14:10:11+00:00,85.0,9.48,28.1,29.55,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00086000,2025-06-06 13:53:22+00:00,86.0,27.53,32.2,34.7,0.0,0.0,1.0,1,1.3125034374999998,True,REGULAR,USD,call,2025-06-13
DIS250613C00087000,2025-06-10 17:41:47+00:00,87.0,31.96,31.75,32.9,-0.24000168,-0.7453468,4.0,9,2.177738930664062,True,REGULAR,USD,call,2025-06-13
DIS250613C00088000,2025-05-07 17:51:48+00:00,88.0,14.45,24.2,27.7,0.0,0.0,2.0,6,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00089000,2025-06-11 13:35:12+00:00,89.0,29.35,29.8,30.85,-0.7099991,-2.3619397,4.0,8,1.9990234423828124,True,REGULAR,USD,call,2025-06-13
DIS250613C00090000,2025-06-10 18:05:58+00:00,90.0,28.46,28.85,29.8,0.0,0.0,2.0,42,1.8847662011718749,True,REGULAR,USD,call,2025-06-13
DIS250613C00091000,2025-06-06 16:10:59+00:00,91.0,28.01,27.9,28.55,4.960001,21.518442,1.0,15,1.48047134765625,True,REGULAR,USD,call,2025-06-13
DIS250613C00092000,2025-06-11 17:14:40+00:00,92.0,27.32,26.45,27.9,4.549999,19.98243,1.0,69,1.857422587890625,True,REGULAR,USD,call,2025-06-13
DIS250613C00093000,2025-06-11 14:38:23+00:00,93.0,26.24,26.15,27.75,0.94000053,3.7154171,7.0,61,1.8359383203124997,True,REGULAR,USD,call,2025-06-13
DIS250613C00094000,2025-06-11 18:42:04+00:00,94.0,25.33,25.1,25.4,3.9799995,18.641684,4.0,34,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00095000,2025-06-09 13:37:10+00:00,95.0,20.11,24.25,26.0,0.0,0.0,2.0,114,1.8359383203124997,True,REGULAR,USD,call,2025-06-13
DIS250613C00096000,2025-06-11 16:48:56+00:00,96.0,23.43,23.25,23.55,-0.10000038,-0.42499098,20.0,63,1.224613251953125,True,REGULAR,USD,call,2025-06-13
DIS250613C00097000,2025-06-11 16:48:56+00:00,97.0,22.3,22.1,22.4,0.7199993,3.3364193,20.0,33,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00098000,2025-06-11 16:50:24+00:00,98.0,21.09,21.05,21.4,4.4400005,26.666672,20.0,54,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00099000,2025-06-11 16:50:24+00:00,99.0,20.23,20.1,20.45,5.33,35.771812,20.0,20,0.7812521875,True,REGULAR,USD,call,2025-06-13
DIS250613C00100000,2025-06-11 16:51:28+00:00,100.0,19.29,19.0,19.4,0.87000084,4.7231317,21.0,43,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00101000,2025-06-11 16:52:38+00:00,101.0,18.19,18.1,18.45,0.6700001,3.8242013,20.0,92,0.70312796875,True,REGULAR,USD,call,2025-06-13
DIS250613C00102000,2025-06-11 16:51:28+00:00,102.0,17.31,17.15,18.1,0.8899994,5.4202156,20.0,151,1.021489267578125,True,REGULAR,USD,call,2025-06-13
DIS250613C00103000,2025-06-11 17:13:36+00:00,103.0,16.26,16.3,17.0,0.3600006,2.264155,1.0,124,0.9941406835937501,True,REGULAR,USD,call,2025-06-13
DIS250613C00104000,2025-06-11 16:52:38+00:00,104.0,15.17,15.1,15.4,3.87,34.247787,21.0,60,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00105000,2025-06-10 19:00:17+00:00,105.0,14.07,14.15,14.35,0.28999996,2.104499,8.0,164,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00106000,2025-06-11 19:08:13+00:00,106.0,13.09,13.2,14.2,0.6000004,4.8038464,11.0,97,0.875977802734375,True,REGULAR,USD,call,2025-06-13
DIS250613C00107000,2025-06-11 15:12:49+00:00,107.0,12.26,12.15,12.4,-0.09000015,-0.7287462,6.0,154,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00108000,2025-06-10 19:23:09+00:00,108.0,10.42,11.15,11.4,0.0,0.0,2.0,94,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00109000,2025-06-11 16:45:48+00:00,109.0,10.34,10.3,10.5,0.94000053,10.000006,1.0,132,0.5312546875,True,REGULAR,USD,call,2025-06-13
DIS250613C00110000,2025-06-11 17:30:47+00:00,110.0,8.83,9.15,9.55,0.3199997,3.7602782,11.0,274,0.5429733203125001,True,REGULAR,USD,call,2025-06-13
DIS250613C00111000,2025-06-11 18:16:59+00:00,111.0,7.97,8.2,8.5,-0.20000029,-2.447984,4.0,91,0.4414118359375,True,REGULAR,USD,call,2025-06-13
DIS250613C00112000,2025-06-11 19:09:56+00:00,112.0,7.1,7.2,7.45,0.099999905,1.42857,28.0,265,0.304694453125,True,REGULAR,USD,call,2025-06-13
DIS250613C00113000,2025-06-11 18:27:33+00:00,113.0,6.12,6.2,6.65,0.6199999,11.272725,54.0,501,0.46191944335937507,True,REGULAR,USD,call,2025-06-13
DIS250613C00114000,2025-06-11 18:17:44+00:00,114.0,5.15,5.05,6.2,0.3499999,7.2916646,84.0,2184,0.624027197265625,True,REGULAR,USD,call,2025-06-13
DIS250613C00115000,2025-06-11 19:17:25+00:00,115.0,4.15,4.3,4.4,0.5,13.698629,128.0,2693,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
DIS250613C00116000,2025-06-11 19:18:23+00:00,116.0,3.18,3.35,3.45,0.1400001,4.6052666,72.0,1223,0.15235222656250003,True,REGULAR,USD,call,2025-06-13
DIS250613C00117000,2025-06-11 19:20:26+00:00,117.0,2.3,2.23,2.61,0.32999992,16.751265,121.0,2743,0.21436332519531248,True,REGULAR,USD,call,2025-06-13
DIS250613C00118000,2025-06-11 18:57:22+00:00,118.0,1.59,1.63,1.73,0.13,8.904109,296.0,3649,0.18994950683593753,True,REGULAR,USD,call,2025-06-13
DIS250613C00119000,2025-06-11 19:27:28+00:00,119.0,1.01,0.97,1.03,0.099999964,10.989006,1369.0,2334,0.18311363769531247,True,REGULAR,USD,call,2025-06-13
DIS250613C00120000,2025-06-11 19:16:24+00:00,120.0,0.5,0.56,0.58,-0.01999998,-3.8461504,2019.0,4729,0.19190261230468753,False,REGULAR,USD,call,2025-06-13
DIS250613C00121000,2025-06-11 19:23:37+00:00,121.0,0.28,0.26,0.29,-0.030000001,-9.67742,791.0,1594,0.196297099609375,False,REGULAR,USD,call,2025-06-13
DIS250613C00122000,2025-06-11 18:58:37+00:00,122.0,0.13,0.12,0.16,-0.050000012,-27.777782,239.0,4130,0.21289849609375,False,REGULAR,USD,call,2025-06-13
DIS250613C00123000,2025-06-11 19:21:10+00:00,123.0,0.08,0.08,0.1,-0.04,-33.333336,1010.0,774,0.23535920898437498,False,REGULAR,USD,call,2025-06-13
DIS250613C00124000,2025-06-11 16:21:24+00:00,124.0,0.04,0.04,0.07,-0.050000004,-55.555557,38.0,294,0.2617261328125,False,REGULAR,USD,call,2025-06-13
DIS250613C00125000,2025-06-11 18:45:08+00:00,125.0,0.04,0.04,0.06,-0.030000001,-49.999996,101.0,434,0.29492892578124996,False,REGULAR,USD,call,2025-06-13
DIS250613C00126000,2025-06-11 14:38:28+00:00,126.0,0.09,0.02,0.09,0.040000003,80.00001,52.0,77,0.36426416992187505,False,REGULAR,USD,call,2025-06-13
DIS250613C00127000,2025-06-10 19:24:55+00:00,127.0,0.06,0.0,0.05,0.03,100.0,1.0,37,0.3632876171875,False,REGULAR,USD,call,2025-06-13
DIS250613C00128000,2025-06-11 17:21:12+00:00,128.0,0.03,0.01,0.08,-0.01,-25.0,29.0,51,0.437505625,False,REGULAR,USD,call,2025-06-13
DIS250613C00130000,2025-06-11 19:01:12+00:00,130.0,0.01,0.0,0.03,-0.02,-66.66667,77.0,130,0.4414118359375,False,REGULAR,USD,call,2025-06-13
DIS250613C00135000,2025-06-11 14:08:02+00:00,135.0,0.02,0.0,0.01,0.01,100.0,6.0,128,0.5312546875,False,REGULAR,USD,call,2025-06-13
DIS250613C00140000,2025-06-10 16:26:08+00:00,140.0,0.01,0.0,0.01,0.0,0.0,5.0,71,0.6250037500000001,False,REGULAR,USD,call,2025-06-13
DIS250613P00075000,2025-05-28 13:44:42+00:00,75.0,0.01,0.0,0.01,0.0,0.0,11.0,150,1.6875015625,False,REGULAR,USD,put,2025-06-13
DIS250613P00078000,2025-06-04 18:01:58+00:00,78.0,0.22,0.0,0.05,-0.09,-29.032257,5.0,9,1.8281258593749998,False,REGULAR,USD,put,2025-06-13
DIS250613P00079000,2025-05-09 13:44:24+00:00,79.0,0.1,0.0,0.08,0.0,0.0,2.0,4,1.875000625,False,REGULAR,USD,put,2025-06-13
DIS250613P00080000,2025-05-14 16:37:45+00:00,80.0,0.05,0.0,0.04,0.0,0.0,1.0,4,1.6875015625,False,REGULAR,USD,put,2025-06-13
DIS250613P00081000,2025-06-06 18:52:43+00:00,81.0,0.15,0.0,0.06,0.0,0.0,1.0,1,1.7109389453125,False,REGULAR,USD,put,2025-06-13
DIS250613P00082000,2025-06-06 18:52:43+00:00,82.0,0.37,0.0,0.04,0.0,0.0,1.0,2,1.5937520312499998,False,REGULAR,USD,put,2025-06-13
DIS250613P00083000,2025-05-07 16:58:21+00:00,83.0,1.11,0.0,0.46,0.0,0.0,1.0,0,2.144535888671875,False,REGULAR,USD,put,2025-06-13
DIS250613P00085000,2025-06-10 15:13:48+00:00,85.0,0.05,0.0,0.04,0.0,0.0,1.0,16,1.453127734375,False,REGULAR,USD,put,2025-06-13
