contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
GE250613C00140000,2025-05-23 17:55:39+00:00,140.0,93.65,104.35,106.9,0.0,0.0,1.0,1,2.9140652148437503,True,REGULAR,USD,call,2025-06-13
GE250613C00195000,2025-06-11 16:19:33+00:00,195.0,51.0,49.15,51.05,-2.5200005,-4.708521,10.0,14,1.5791036669921872,True,REGULAR,USD,call,2025-06-13
GE250613C00200000,2025-06-11 19:18:58+00:00,200.0,45.29,44.7,45.75,-11.899998,-20.807829,2.0,0,1.2890660546875,True,REGULAR,USD,call,2025-06-13
GE250613C00205000,2025-06-11 17:34:23+00:00,205.0,41.4,39.4,41.35,5.8500023,16.455704,1.0,10,0.8242205078124999,True,REGULAR,USD,call,2025-06-13
GE250613C00210000,2025-06-10 17:55:31+00:00,210.0,30.55,34.75,36.1,0.0,0.0,2.0,10,0.8007832421875,True,REGULAR,USD,call,2025-06-13
GE250613C00212500,2025-06-06 17:52:42+00:00,212.5,43.75,32.25,33.45,0.0,0.0,1.0,11,0.6171913281250001,True,REGULAR,USD,call,2025-06-13
GE250613C00215000,2025-06-10 16:44:49+00:00,215.0,26.75,29.75,31.1,0.0,0.0,7.0,0,0.6953155468750001,True,REGULAR,USD,call,2025-06-13
GE250613C00217500,2025-06-10 15:32:48+00:00,217.5,24.33,27.15,28.75,0.0,0.0,1.0,0,0.6660189648437502,True,REGULAR,USD,call,2025-06-13
GE250613C00220000,2025-06-10 16:43:50+00:00,220.0,21.1,24.8,25.75,0.0,0.0,243.0,365,0.772463212890625,True,REGULAR,USD,call,2025-06-13
GE250613C00222500,2025-06-03 18:27:55+00:00,222.5,25.5,22.35,23.2,0.0,0.0,1.0,3,0.6894562304687502,True,REGULAR,USD,call,2025-06-13
GE250613C00225000,2025-06-10 15:53:51+00:00,225.0,21.16,19.85,20.95,2.7600002,15.000002,2.0,62,0.708010732421875,True,REGULAR,USD,call,2025-06-13
GE250613C00227500,2025-06-06 19:40:07+00:00,227.5,27.7,17.35,18.4,0.0,0.0,1.0,1,0.6250037500000001,True,REGULAR,USD,call,2025-06-13
GE250613C00230000,2025-06-11 18:30:51+00:00,230.0,14.95,14.5,16.3,4.1499996,38.425922,107.0,1125,0.6499058447265625,True,REGULAR,USD,call,2025-06-13
GE250613C00232500,2025-06-10 15:23:33+00:00,232.5,10.77,12.7,13.2,0.0,0.0,1.0,17,0.4335994140625,True,REGULAR,USD,call,2025-06-13
GE250613C00235000,2025-06-10 19:23:18+00:00,235.0,7.75,9.75,10.85,0.0,0.0,17.0,64,0.40381455566406255,True,REGULAR,USD,call,2025-06-13
GE250613C00237500,2025-06-11 17:06:58+00:00,237.5,9.5,7.7,9.25,3.8000002,66.66667,6.0,82,0.4846242944335938,True,REGULAR,USD,call,2025-06-13
GE250613C00240000,2025-06-11 16:03:09+00:00,240.0,6.58,5.1,6.3,2.98,82.77778,67.0,0,0.3286199951171874,True,REGULAR,USD,call,2025-06-13
GE250613C00242500,2025-06-11 18:24:12+00:00,242.5,4.1,4.0,4.55,1.73,72.99578,345.0,466,0.33081723876953123,True,REGULAR,USD,call,2025-06-13
GE250613C00245000,2025-06-11 19:23:38+00:00,245.0,2.58,2.37,2.74,1.2299999,91.11111,547.0,498,0.29004616210937495,True,REGULAR,USD,call,2025-06-13
GE250613C00247500,2025-06-11 19:05:30+00:00,247.5,1.3,1.32,1.51,0.46999997,56.626503,315.0,329,0.27417718017578124,False,REGULAR,USD,call,2025-06-13
GE250613C00250000,2025-06-11 18:48:50+00:00,250.0,0.66,0.67,0.88,0.27000004,69.23078,876.0,845,0.2866282275390625,False,REGULAR,USD,call,2025-06-13
GE250613C00252500,2025-06-11 18:50:57+00:00,252.5,0.39,0.32,0.41,0.15999998,69.56521,158.0,582,0.28125718749999995,False,REGULAR,USD,call,2025-06-13
GE250613C00255000,2025-06-11 17:01:58+00:00,255.0,0.17,0.15,0.2,0.09,112.5,144.0,0,0.2880930566406249,False,REGULAR,USD,call,2025-06-13
GE250613C00257500,2025-06-11 19:07:20+00:00,257.5,0.09,0.08,0.14,-0.019999996,-18.181814,107.0,491,0.31836619140624994,False,REGULAR,USD,call,2025-06-13
GE250613C00260000,2025-06-11 17:52:09+00:00,260.0,0.08,0.03,0.1,0.0,0.0,55.0,769,0.34668622070312494,False,REGULAR,USD,call,2025-06-13
GE250613C00262500,2025-06-11 18:06:10+00:00,262.5,0.04,0.01,0.09,-0.030000001,-42.857143,24.0,355,0.3857483300781249,False,REGULAR,USD,call,2025-06-13
GE250613C00265000,2025-06-11 13:58:31+00:00,265.0,0.09,0.02,0.12,0.060000002,199.99998,2.0,628,0.45117736328125,False,REGULAR,USD,call,2025-06-13
GE250613C00267500,2025-06-11 15:43:17+00:00,267.5,0.04,0.0,0.32,-0.010000002,-20.000002,4.0,123,0.5214891601562499,False,REGULAR,USD,call,2025-06-13
GE250613C00270000,2025-06-11 17:52:17+00:00,270.0,0.02,0.02,0.51,-0.01,-33.333336,20.0,130,0.6215858154296876,False,REGULAR,USD,call,2025-06-13
GE250613C00272500,2025-06-10 15:23:46+00:00,272.5,0.04,0.0,1.48,0.0,0.0,1.0,38,0.8359391406249999,False,REGULAR,USD,call,2025-06-13
GE250613C00275000,2025-06-10 15:43:34+00:00,275.0,0.02,0.0,0.93,0.0,0.0,17.0,0,0.799806689453125,False,REGULAR,USD,call,2025-06-13
GE250613C00280000,2025-06-09 19:04:49+00:00,280.0,0.02,0.0,0.01,0.0,0.0,2.0,24,0.523442265625,False,REGULAR,USD,call,2025-06-13
GE250613C00285000,2025-05-20 19:49:34+00:00,285.0,0.02,0.0,1.26,0.0,0.0,,0,1.0537156689453124,False,REGULAR,USD,call,2025-06-13
GE250613C00290000,2025-06-10 17:34:19+00:00,290.0,0.38,0.0,0.95,0.0,0.0,1.0,6,1.0830123974609376,False,REGULAR,USD,call,2025-06-13
GE250613C00295000,2025-06-09 13:30:15+00:00,295.0,0.05,0.0,1.0,0.0,0.0,1.0,0,1.1816447167968749,False,REGULAR,USD,call,2025-06-13
GE250613C00300000,2025-06-10 13:30:22+00:00,300.0,0.03,0.0,1.4,0.0,0.0,1.0,2,1.3520540209960936,False,REGULAR,USD,call,2025-06-13
GE250613P00110000,2025-06-04 19:04:52+00:00,110.0,0.05,0.0,0.55,0.0,0.0,,1,3.9960937597656248,False,REGULAR,USD,put,2025-06-13
GE250613P00115000,2025-06-04 19:04:52+00:00,115.0,0.12,0.0,0.95,0.0,0.0,,1,4.105473618164062,False,REGULAR,USD,put,2025-06-13
GE250613P00130000,2025-05-07 18:33:43+00:00,130.0,0.04,0.0,0.12,0.0,0.0,,85,2.67969080078125,False,REGULAR,USD,put,2025-06-13
GE250613P00135000,2025-05-07 18:38:48+00:00,135.0,0.05,0.0,0.91,0.0,0.0,,33,3.291017397460937,False,REGULAR,USD,put,2025-06-13
