contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
GOOGL250613C00080000,2025-06-09 13:42:08+00:00,80.0,95.94,97.1,98.45,0.0,0.0,8.0,7,4.089848637695313,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00085000,2025-05-27 16:20:28+00:00,85.0,87.29,92.4,93.3,0.0,0.0,,0,3.957031357421875,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00090000,2025-06-10 19:32:30+00:00,90.0,88.26,86.4,88.9,0.0,0.0,4.0,2,3.2070332324218747,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00095000,2025-06-10 19:32:30+00:00,95.0,83.03,82.15,83.65,0.0,0.0,4.0,4,3.49218876953125,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00100000,2025-06-03 15:33:27+00:00,100.0,66.99,77.4,78.65,0.0,0.0,1.0,0,3.3984390039062498,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00105000,2025-06-05 14:24:14+00:00,105.0,64.23,71.35,73.0,0.0,0.0,4.0,0,3.1152365869140626,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00110000,2025-06-09 13:49:37+00:00,110.0,65.08,66.75,68.25,0.0,0.0,4.0,3,3.1113303466796873,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00115000,2025-06-06 19:01:22+00:00,115.0,58.7,62.35,63.45,0.0,0.0,2.0,0,2.5332067919921872,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00120000,2025-06-09 13:46:58+00:00,120.0,54.5,56.7,58.55,0.0,0.0,2.0,1,1.890625546875,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00125000,2025-06-06 18:50:01+00:00,125.0,48.71,52.2,53.55,0.0,0.0,29.0,13,2.0820360449218747,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00130000,2025-06-10 19:29:49+00:00,130.0,47.74,46.95,48.55,0.0,0.0,2.0,1,1.7441419042968749,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00135000,2025-06-11 13:45:11+00:00,135.0,43.81,41.95,43.0,0.59000015,1.3651091,4.0,4,1.7880869970703124,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00140000,2025-06-10 19:32:30+00:00,140.0,38.01,37.1,38.6,0.0,0.0,4.0,6,1.4755885595703124,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00145000,2025-06-11 13:47:20+00:00,145.0,33.5,31.65,33.25,2.8400002,9.262883,29.0,42,1.5332054589843749,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00146000,2025-06-04 15:33:21+00:00,146.0,20.95,31.1,32.8,0.0,0.0,,0,1.32422212890625,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00147000,2025-06-09 14:02:47+00:00,147.0,28.74,30.0,31.65,0.0,0.0,4.0,3,1.19922275390625,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00148000,2025-06-06 18:30:55+00:00,148.0,26.39,29.5,30.6,0.0,0.0,1.0,0,1.307620649414062,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00149000,2025-06-06 16:43:54+00:00,149.0,23.4,27.9,29.65,0.0,0.0,8.0,0,1.08984830078125,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00150000,2025-06-09 17:32:22+00:00,150.0,26.07,27.35,28.0,0.0,0.0,54.0,64,0.96289099609375,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00152500,2025-06-10 16:15:50+00:00,152.5,27.6,24.55,26.4,0.0,0.0,2.0,9,1.0947310888671877,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00155000,2025-06-11 17:55:06+00:00,155.0,22.51,22.35,23.5,-2.5100002,-10.031976,7.0,267,0.97460962890625,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00157500,2025-06-11 15:46:20+00:00,157.5,21.05,19.2,21.25,1.3499985,6.8527837,16.0,106,0.7617211328125001,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00160000,2025-06-11 18:17:00+00:00,160.0,16.95,17.7,18.05,0.55000114,3.3536656,25.0,1167,0.7656273437500001,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00162500,2025-06-11 18:07:35+00:00,162.5,15.35,14.9,15.35,1.8200006,13.451593,5.0,411,0.5214891601562499,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00165000,2025-06-11 18:04:25+00:00,165.0,11.96,12.75,13.25,-1.71,-12.509144,40.0,1263,0.632816171875,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00167500,2025-06-11 19:16:51+00:00,167.5,9.85,10.1,10.35,-1.3699999,-12.210337,118.0,1248,0.481450498046875,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00170000,2025-06-11 19:26:54+00:00,170.0,7.9,7.85,8.2,-0.9999995,-11.23595,422.0,4407,0.4892629199218751,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00172500,2025-06-11 19:22:14+00:00,172.5,5.3,5.55,5.7,-1.2999997,-19.696966,1862.0,5240,0.37744763183593744,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00175000,2025-06-11 19:26:54+00:00,175.0,3.5,3.45,3.55,-0.9299998,-20.993225,8290.0,19938,0.3200751586914062,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00177500,2025-06-11 19:26:56+00:00,177.5,1.87,1.83,1.87,-0.7900001,-29.69925,7425.0,16287,0.2890696093749999,True,REGULAR,USD,call,2025-06-13
GOOGL250613C00180000,2025-06-11 19:26:54+00:00,180.0,0.8,0.75,0.76,-0.59,-44.02985,23122.0,21003,0.2661206201171875,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00182500,2025-06-11 19:26:13+00:00,182.5,0.27,0.27,0.28,-0.4,-59.701492,9228.0,11861,0.26807372558593745,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00185000,2025-06-11 19:25:55+00:00,185.0,0.1,0.09,0.1,-0.19,-67.85714,8552.0,12938,0.27930408203124996,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00187500,2025-06-11 19:12:25+00:00,187.5,0.05,0.04,0.05,-0.08,-66.66667,1248.0,7049,0.3086006640625,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00190000,2025-06-11 19:16:48+00:00,190.0,0.02,0.02,0.03,-0.06,-75.0,1666.0,5152,0.3437565625,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00192500,2025-06-11 18:35:21+00:00,192.5,0.02,0.02,0.04,-0.030000001,-60.0,195.0,3134,0.41797457031249996,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00195000,2025-06-11 18:56:06+00:00,195.0,0.01,0.01,0.02,-0.02,-66.66667,124.0,2494,0.42969320312500003,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00197500,2025-06-11 18:08:09+00:00,197.5,0.01,0.01,0.03,-0.01,-50.0,209.0,1688,0.507817421875,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00200000,2025-06-11 18:44:20+00:00,200.0,0.02,0.01,0.03,0.0,0.0,308.0,2247,0.5312546875,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00205000,2025-06-11 15:32:26+00:00,205.0,0.01,0.0,0.02,-0.01,-50.0,41.0,2469,0.57812921875,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00210000,2025-06-10 16:30:51+00:00,210.0,0.01,0.0,0.01,0.0,0.0,95.0,733,0.6250037500000001,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00215000,2025-06-10 18:09:56+00:00,215.0,0.01,0.0,0.01,0.0,0.0,449.0,897,0.70312796875,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00220000,2025-06-10 18:39:16+00:00,220.0,0.01,0.0,0.06,0.0,0.0,1799.0,1915,0.929688203125,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00225000,2025-06-10 18:39:36+00:00,225.0,0.01,0.0,0.02,0.0,0.0,1839.0,2094,0.9062509375,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00230000,2025-06-10 14:48:26+00:00,230.0,0.01,0.0,0.01,0.0,0.0,23.0,41,0.937500625,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00235000,2025-05-27 19:20:14+00:00,235.0,0.03,0.0,0.01,0.0,0.0,2.0,8,0.98437515625,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00240000,2025-05-27 17:04:12+00:00,240.0,0.04,0.0,0.01,0.0,0.0,2.0,16,1.0625046875000002,False,REGULAR,USD,call,2025-06-13
GOOGL250613C00245000,2025-06-10 18:44:17+00:00,245.0,0.01,0.0,0.01,0.0,0.0,1.0,68,1.125004375,False,REGULAR,USD,call,2025-06-13
GOOGL250613P00080000,2025-06-02 18:39:36+00:00,80.0,0.01,0.0,0.01,0.0,0.0,3.0,12,2.750003125,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00090000,2025-06-04 19:59:25+00:00,90.0,0.01,0.0,0.01,0.0,0.0,30.0,42,2.3750040624999995,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00095000,2025-06-04 19:59:20+00:00,95.0,0.01,0.0,0.01,0.0,0.0,97.0,216,2.1875045312499997,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00100000,2025-06-05 13:56:17+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1.0,18,1.96875015625,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00105000,2025-06-02 14:49:48+00:00,105.0,0.01,0.0,0.05,0.0,0.0,2.0,39,2.1250046874999997,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00110000,2025-06-04 19:59:17+00:00,110.0,0.01,0.0,0.01,0.0,0.0,14.0,575,1.6875015625,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00115000,2025-06-05 17:11:14+00:00,115.0,0.01,0.0,0.01,0.0,0.0,24.0,427,1.5312523437499999,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00120000,2025-06-10 13:37:23+00:00,120.0,0.01,0.0,0.05,0.0,0.0,3.0,480,1.6171894140625,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00125000,2025-06-10 13:39:57+00:00,125.0,0.01,0.0,0.01,0.0,0.0,5.0,622,1.2500037499999999,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00130000,2025-06-10 16:48:37+00:00,130.0,0.01,0.0,0.01,0.0,0.0,2.0,6489,1.125004375,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00135000,2025-06-10 16:16:23+00:00,135.0,0.01,0.0,0.01,0.0,0.0,109.0,1006,1.000005,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00140000,2025-06-11 16:39:59+00:00,140.0,0.01,0.0,0.01,0.0,0.0,170.0,2844,0.87500125,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00144000,2025-06-10 19:26:49+00:00,144.0,0.01,0.0,0.07,0.0,0.0,49.0,111,0.9531254687499999,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00145000,2025-06-11 18:54:05+00:00,145.0,0.02,0.0,0.01,0.01,100.0,116.0,3485,0.7500025,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00146000,2025-06-11 18:54:05+00:00,146.0,0.03,0.01,0.04,0.02,200.0,401.0,489,0.85937640625,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00147000,2025-06-11 15:23:32+00:00,147.0,0.02,0.01,0.02,0.0,0.0,3.0,39,0.789064609375,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00148000,2025-06-10 14:28:27+00:00,148.0,0.02,0.0,0.07,0.0,0.0,56.0,107,0.8437515624999999,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00149000,2025-06-11 16:17:41+00:00,149.0,0.03,0.01,0.05,0.01,50.0,10.0,1380,0.79687703125,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00150000,2025-06-11 18:35:40+00:00,150.0,0.01,0.01,0.02,-0.01,-50.0,45.0,1946,0.710940390625,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00152500,2025-06-11 17:07:44+00:00,152.5,0.02,0.01,0.02,0.0,0.0,2.0,775,0.648441015625,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00155000,2025-06-11 19:16:28+00:00,155.0,0.01,0.01,0.02,-0.02,-66.66667,193.0,2255,0.585941640625,False,REGULAR,USD,put,2025-06-13
GOOGL250613P00157500,2025-06-11 19:04:03+00:00,157.5,0.04,0.02,0.03,0.0,0.0,33.0,7787,0.5546919531250001,False,REGULAR,USD,put,2025-06-13
