contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
HD250613C00300000,2025-06-04 13:42:34+00:00,300.0,71.88,59.55,62.05,0.0,0.0,,0,1.1044966650390626,True,REGULAR,USD,call,2025-06-13
HD250613C00325000,2025-06-09 16:53:43+00:00,325.0,41.45,34.8,37.55,0.0,0.0,2.0,2,0.788088056640625,True,REGULAR,USD,call,2025-06-13
HD250613C00330000,2025-05-20 14:12:05+00:00,330.0,56.3,29.85,32.45,0.0,0.0,,0,0.6914093359375001,True,REGULAR,USD,call,2025-06-13
HD250613C00335000,2025-05-20 14:12:03+00:00,335.0,51.4,24.85,27.55,0.0,0.0,,0,0.6093789062500001,True,REGULAR,USD,call,2025-06-13
HD250613C00340000,2025-06-04 17:32:19+00:00,340.0,35.9,19.6,22.6,0.0,0.0,5.0,0,0.7084990087890625,True,REGULAR,USD,call,2025-06-13
HD250613C00345000,2025-06-04 17:32:19+00:00,345.0,30.25,15.2,17.65,0.0,0.0,5.0,0,0.5982706188964844,True,REGULAR,USD,call,2025-06-13
HD250613C00350000,2025-06-11 15:26:40+00:00,350.0,16.35,10.65,12.95,-1.3599987,-7.6792707,1.0,2,0.5056201782226561,True,REGULAR,USD,call,2025-06-13
HD250613C00355000,2025-06-11 14:27:53+00:00,355.0,10.5,6.4,6.95,-2.1599998,-17.061611,2.0,3,0.2827220166015625,True,REGULAR,USD,call,2025-06-13
HD250613C00357500,2025-06-11 19:17:53+00:00,357.5,4.85,4.55,5.2,-5.81,-54.502815,128.0,17,0.27637442382812494,True,REGULAR,USD,call,2025-06-13
HD250613C00360000,2025-06-11 18:42:54+00:00,360.0,3.3,2.83,3.55,-5.7,-63.333332,318.0,55,0.25830819824218754,True,REGULAR,USD,call,2025-06-13
HD250613C00362500,2025-06-11 19:21:00+00:00,362.5,2.0,1.85,2.26,-5.3,-72.60274,239.0,47,0.24597921997070313,False,REGULAR,USD,call,2025-06-13
HD250613C00365000,2025-06-11 19:24:30+00:00,365.0,1.2,1.16,1.24,-3.9599998,-76.74418,794.0,219,0.22925575439453127,False,REGULAR,USD,call,2025-06-13
HD250613C00367500,2025-06-11 19:19:14+00:00,367.5,0.57,0.64,0.7,-3.05,-84.25414,421.0,584,0.22901161621093752,False,REGULAR,USD,call,2025-06-13
HD250613C00370000,2025-06-11 19:05:10+00:00,370.0,0.3,0.24,0.32,-2.25,-88.2353,177.0,422,0.22071091796874998,False,REGULAR,USD,call,2025-06-13
HD250613C00372500,2025-06-11 19:19:14+00:00,372.5,0.15,0.12,0.37,-1.4300001,-90.506325,157.0,882,0.2710033837890625,False,REGULAR,USD,call,2025-06-13
HD250613C00375000,2025-06-11 19:26:13+00:00,375.0,0.09,0.14,0.13,-0.88,-92.63158,189.0,792,0.249030947265625,False,REGULAR,USD,call,2025-06-13
