contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
HON250613C00200000,2025-06-09 15:52:33+00:00,200.0,27.55,24.4,27.3,0.0,0.0,1.0,1,0.648441015625,True,REGULAR,USD,call,2025-06-13
HON250613C00205000,2025-05-15 19:44:16+00:00,205.0,18.25,19.9,21.7,0.0,0.0,1.0,3,0.8789074609374999,True,REGULAR,USD,call,2025-06-13
HON250613C00207500,2025-06-05 13:43:07+00:00,207.5,21.8,17.1,19.8,0.0,0.0,,2,0.543949873046875,True,REGULAR,USD,call,2025-06-13
HON250613C00210000,2025-06-09 15:39:35+00:00,210.0,17.55,15.0,16.5,0.0,0.0,1.0,4,0.6660189648437502,True,REGULAR,USD,call,2025-06-13
HON250613C00215000,2025-06-09 14:58:29+00:00,215.0,12.8,10.4,11.6,0.0,0.0,2.0,30,0.5268602001953125,True,REGULAR,USD,call,2025-06-13
HON250613C00217500,2025-05-28 14:44:31+00:00,217.5,10.5,7.9,9.0,0.0,0.0,1.0,1,0.42163664306640625,True,REGULAR,USD,call,2025-06-13
HON250613C00220000,2025-06-10 19:27:42+00:00,220.0,6.31,6.0,6.2,-0.32999992,-4.9698787,2.0,171,0.27686270019531245,True,REGULAR,USD,call,2025-06-13
HON250613C00222500,2025-06-11 17:03:59+00:00,222.5,4.33,3.0,3.9,-0.01999998,-0.4597697,3.0,14,0.22510540527343748,True,REGULAR,USD,call,2025-06-13
HON250613C00225000,2025-06-11 18:19:06+00:00,225.0,1.45,1.7,2.15,-0.64999986,-30.952375,24.0,154,0.213875048828125,True,REGULAR,USD,call,2025-06-13
HON250613C00227500,2025-06-11 19:21:24+00:00,227.5,0.61,0.6,0.75,-0.64,-53.78151,77.0,64,0.17774259765625,False,REGULAR,USD,call,2025-06-13
HON250613C00230000,2025-06-11 18:50:47+00:00,230.0,0.2,0.1,0.25,-0.049999997,-19.999998,40.0,316,0.18311363769531247,False,REGULAR,USD,call,2025-06-13
HON250613C00232500,2025-06-10 19:55:50+00:00,232.5,0.08,0.0,0.15,-0.020000003,-20.000002,1.0,160,0.22266402343749997,False,REGULAR,USD,call,2025-06-13
HON250613C00235000,2025-06-11 19:12:35+00:00,235.0,0.02,0.0,0.05,-0.08,-44.444443,2.0,61,0.2304764453125,False,REGULAR,USD,call,2025-06-13
HON250613C00237500,2025-06-09 15:12:16+00:00,237.5,0.01,0.0,0.15,0.0,0.0,17.0,39,0.340826904296875,False,REGULAR,USD,call,2025-06-13
HON250613C00240000,2025-05-28 19:51:33+00:00,240.0,0.25,0.0,0.05,0.0,0.0,3.0,408,0.32813171874999997,False,REGULAR,USD,call,2025-06-13
HON250613C00245000,2025-05-19 17:19:24+00:00,245.0,0.24,0.0,0.5,0.0,0.0,,1,0.5507857421875001,False,REGULAR,USD,call,2025-06-13
HON250613P00150000,2025-05-16 14:18:32+00:00,150.0,0.21,0.0,0.3,0.0,0.0,2.0,0,2.019536201171875,False,REGULAR,USD,put,2025-06-13
HON250613P00155000,2025-05-16 14:18:32+00:00,155.0,0.25,0.0,0.3,0.0,0.0,2.0,0,1.875000625,False,REGULAR,USD,put,2025-06-13
HON250613P00180000,2025-06-11 18:45:29+00:00,180.0,0.04,0.0,0.5,-0.19,-82.608696,2.0,2,1.3027378613281246,False,REGULAR,USD,put,2025-06-13
HON250613P00190000,2025-05-06 14:42:00+00:00,190.0,0.86,0.0,2.1,0.0,0.0,5.0,6,1.3989287866210938,False,REGULAR,USD,put,2025-06-13
HON250613P00195000,2025-05-30 14:32:35+00:00,195.0,0.11,0.0,0.1,0.0,0.0,10.0,17,0.70312796875,False,REGULAR,USD,put,2025-06-13
HON250613P00200000,2025-06-11 18:14:04+00:00,200.0,0.2,0.0,0.1,0.15,300.00003,2.0,10,0.5976602734375001,False,REGULAR,USD,put,2025-06-13
HON250613P00202500,2025-06-02 16:18:28+00:00,202.5,0.1,0.0,0.15,0.0,0.0,9.0,18,0.5742230078125,False,REGULAR,USD,put,2025-06-13
HON250613P00205000,2025-06-11 17:20:31+00:00,205.0,0.05,0.0,0.1,-0.02,-28.571428,30.0,33,0.5429733203125001,False,REGULAR,USD,put,2025-06-13
HON250613P00207500,2025-06-02 13:52:19+00:00,207.5,0.26,0.0,0.15,0.0,0.0,,3,0.5205126074218749,False,REGULAR,USD,put,2025-06-13
HON250613P00210000,2025-06-06 17:59:09+00:00,210.0,0.05,0.0,0.5,0.0,0.0,1.0,66,0.5083056982421875,False,REGULAR,USD,put,2025-06-13
HON250613P00212500,2025-06-05 15:47:49+00:00,212.5,0.2,0.0,0.15,0.0,0.0,2.0,14,0.39649041015625003,False,REGULAR,USD,put,2025-06-13
HON250613P00215000,2025-06-05 15:47:49+00:00,215.0,0.26,0.0,0.15,0.0,0.0,2.0,87,0.33399103515625,False,REGULAR,USD,put,2025-06-13
HON250613P00217500,2025-06-06 18:27:53+00:00,217.5,0.12,0.0,0.15,0.0,0.0,2.0,12,0.2695385546875,False,REGULAR,USD,put,2025-06-13
HON250613P00220000,2025-06-11 14:23:09+00:00,220.0,0.09,0.0,0.2,-0.060000002,-40.0,2.0,236,0.21875781249999998,False,REGULAR,USD,put,2025-06-13
HON250613P00222500,2025-06-11 16:09:35+00:00,222.5,0.25,0.3,0.45,-0.099999994,-28.571426,64.0,168,0.19385571777343752,False,REGULAR,USD,put,2025-06-13
HON250613P00225000,2025-06-11 16:10:49+00:00,225.0,0.75,0.95,1.1,-0.19999999,-21.05263,59.0,104,0.17774259765625,False,REGULAR,USD,put,2025-06-13
HON250613P00227500,2025-06-11 17:03:21+00:00,227.5,1.7,2.2,2.7,-0.56999993,-25.110128,252.0,313,0.20606262695312497,True,REGULAR,USD,put,2025-06-13
HON250613P00230000,2025-06-09 19:33:09+00:00,230.0,3.0,3.9,4.9,0.0,0.0,3.0,18,0.2602613037109375,True,REGULAR,USD,put,2025-06-13
HON250613P00232500,2025-06-05 14:41:52+00:00,232.5,5.7,6.5,7.4,0.0,0.0,3.0,3,0.3437565625,True,REGULAR,USD,put,2025-06-13
HON250613P00235000,2025-05-15 18:20:12+00:00,235.0,14.0,8.6,9.9,0.0,0.0,,0,0.42017181396484377,True,REGULAR,USD,put,2025-06-13
HON250613P00255000,2025-05-29 19:35:55+00:00,255.0,32.0,27.9,30.7,1.6200008,5.3324585,1.0,1,0.6054726953125001,True,REGULAR,USD,put,2025-06-13
HON250613P00260000,2025-05-29 19:35:55+00:00,260.0,35.38,32.7,36.3,0.0,0.0,,0,0.85937640625,True,REGULAR,USD,put,2025-06-13
HON250620C00100000,2025-06-11 14:48:02+00:00,100.0,126.04,124.5,127.1,0.9000015,0.7191957,2.0,4,1.7890635546875,True,REGULAR,USD,call,2025-06-20
HON250620C00105000,2025-05-15 17:44:40+00:00,105.0,117.68,119.3,122.6,0.0,0.0,,0,2.0156299609375,True,REGULAR,USD,call,2025-06-20
HON250620C00110000,2025-05-15 18:10:50+00:00,110.0,113.1,114.3,117.2,0.0,0.0,30.0,0,2.6503939990234375,True,REGULAR,USD,call,2025-06-20
HON250620C00115000,2025-04-07 15:14:35+00:00,115.0,74.6,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
HON250620C00120000,2025-05-02 17:39:10+00:00,120.0,95.3,105.6,108.5,0.0,0.0,4.0,0,2.3164104589843744,True,REGULAR,USD,call,2025-06-20
HON250620C00130000,2025-06-06 13:58:48+00:00,130.0,100.0,94.3,97.4,0.0,0.0,1.0,2,1.359378203125,True,REGULAR,USD,call,2025-06-20
HON250620C00140000,2025-05-21 18:51:30+00:00,140.0,82.92,84.3,87.4,0.0,0.0,20.0,20,1.193363408203125,True,REGULAR,USD,call,2025-06-20
HON250620C00145000,2025-05-22 16:32:55+00:00,145.0,78.7,79.3,82.3,0.0,0.0,1.0,1,1.015629921875,True,REGULAR,USD,call,2025-06-20
HON250620C00150000,2025-05-22 18:37:34+00:00,150.0,75.15,74.3,77.4,0.0,0.0,1.0,6,1.0351610742187503,True,REGULAR,USD,call,2025-06-20
HON250620C00155000,2025-05-15 18:10:50+00:00,155.0,66.7,69.3,72.4,0.0,0.0,35.0,0,0.9609378906249999,True,REGULAR,USD,call,2025-06-20
HON250620C00160000,2025-05-21 14:52:05+00:00,160.0,64.73,64.9,67.4,0.0,0.0,5.0,5,1.0996138769531252,True,REGULAR,USD,call,2025-06-20
HON250620C00165000,2025-05-15 18:10:50+00:00,165.0,57.5,59.4,62.4,0.0,0.0,5.0,0,0.8652357226562499,True,REGULAR,USD,call,2025-06-20
HON250620C00170000,2025-06-04 17:58:10+00:00,170.0,58.94,54.5,57.2,0.0,0.0,4.0,15,0.7460962890625,True,REGULAR,USD,call,2025-06-20
HON250620C00175000,2025-04-07 15:49:08+00:00,175.0,22.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
HON250620C00180000,2025-05-09 15:27:01+00:00,180.0,33.2,47.3,51.3,0.0,0.0,2.0,20,1.3371615173339841,True,REGULAR,USD,call,2025-06-20
HON250620C00185000,2025-05-12 14:56:59+00:00,185.0,32.27,39.4,41.1,0.0,0.0,4.0,77,0.6748079394531252,True,REGULAR,USD,call,2025-06-20
HON250620C00190000,2025-06-03 13:44:02+00:00,190.0,36.58,35.6,36.3,0.0,0.0,10.0,241,0.5400436621093752,True,REGULAR,USD,call,2025-06-20
HON250620C00195000,2025-06-05 17:28:16+00:00,195.0,32.75,30.2,31.7,0.0,0.0,2.0,784,0.657229990234375,True,REGULAR,USD,call,2025-06-20
HON250620C00200000,2025-06-09 15:52:33+00:00,200.0,28.0,25.6,26.4,0.0,0.0,1.0,844,0.5161181201171875,True,REGULAR,USD,call,2025-06-20
