contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
IBM250613C00170000,2025-06-09 13:34:01+00:00,170.0,99.0,110.15,111.15,0.0,0.0,22.0,23,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00175000,2025-05-28 13:43:58+00:00,175.0,90.17,105.0,105.95,0.0,0.0,5.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00195000,2025-05-28 13:43:58+00:00,195.0,70.02,85.15,86.8,0.0,0.0,5.0,5,1.9082035839843752,True,REGULAR,USD,call,2025-06-13
IBM250613C00225000,2025-06-04 17:08:27+00:00,225.0,40.32,54.85,56.7,0.0,0.0,2.0,1,1.1464886425781249,True,REGULAR,USD,call,2025-06-13
IBM250613C00230000,2025-06-06 19:58:55+00:00,230.0,39.15,50.15,52.5,0.0,0.0,9.0,9,1.466799541015625,True,REGULAR,USD,call,2025-06-13
IBM250613C00235000,2025-06-05 18:07:39+00:00,235.0,31.65,45.05,46.1,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00237500,2025-06-09 13:34:29+00:00,237.5,31.9,42.2,43.8,0.0,0.0,8.0,8,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00240000,2025-06-02 14:55:52+00:00,240.0,20.3,40.05,41.1,0.0,0.0,9.0,8,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00245000,2025-06-11 16:14:56+00:00,245.0,35.17,35.1,36.9,3.829998,12.2207985,5.0,16,0.8798840136718749,True,REGULAR,USD,call,2025-06-13
IBM250613C00247500,2025-06-04 17:11:20+00:00,247.5,18.05,32.45,34.55,0.0,0.0,2.0,2,0.8886729882812499,True,REGULAR,USD,call,2025-06-13
IBM250613C00250000,2025-06-10 13:37:38+00:00,250.0,31.0,29.5,31.15,4.3999996,16.541351,1.0,48,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00252500,2025-06-10 15:56:31+00:00,252.5,23.15,27.65,29.2,0.0,0.0,4.0,10,0.6162147753906251,True,REGULAR,USD,call,2025-06-13
IBM250613C00255000,2025-06-09 16:32:15+00:00,255.0,17.79,24.85,26.05,0.0,0.0,1.0,49,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00257500,2025-06-10 18:22:20+00:00,257.5,19.75,22.2,23.75,1.7199993,9.539653,2.0,10,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00260000,2025-06-11 15:03:22+00:00,260.0,19.94,20.05,20.8,3.4400005,20.848488,12.0,323,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00262500,2025-06-11 19:10:08+00:00,262.5,18.25,17.7,18.3,4.25,30.357143,10.0,275,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00265000,2025-06-11 18:04:11+00:00,265.0,15.11,15.2,16.15,3.9099998,34.910713,14.0,234,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00267500,2025-06-11 19:06:23+00:00,267.5,13.02,12.45,13.25,3.5200005,37.05264,7.0,658,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00270000,2025-06-11 19:25:46+00:00,270.0,11.0,10.05,10.95,4.25,62.962963,74.0,469,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00272500,2025-06-11 19:26:54+00:00,272.5,8.4,8.3,8.6,3.5299997,72.4846,142.0,677,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00275000,2025-06-11 19:07:18+00:00,275.0,6.0,6.2,6.5,2.9,93.54839,295.0,532,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
IBM250613C00277500,2025-06-11 19:26:10+00:00,277.5,4.2,3.9,4.25,2.2399998,114.2857,580.0,639,0.13428600097656251,True,REGULAR,USD,call,2025-06-13
IBM250613C00280000,2025-06-11 19:11:13+00:00,280.0,2.6,2.32,2.68,1.54,145.28302,2264.0,1247,0.17688811401367188,True,REGULAR,USD,call,2025-06-13
IBM250613C00282500,2025-06-11 19:06:25+00:00,282.5,1.29,1.33,1.49,0.78999996,158.0,434.0,455,0.18872881591796875,False,REGULAR,USD,call,2025-06-13
IBM250613C00285000,2025-06-11 19:25:46+00:00,285.0,0.72,0.63,0.74,0.49,213.04346,530.0,172,0.196297099609375,False,REGULAR,USD,call,2025-06-13
IBM250613C00287500,2025-06-11 19:02:55+00:00,287.5,0.31,0.29,0.39,0.19,158.33333,114.0,40,0.21289849609375,False,REGULAR,USD,call,2025-06-13
IBM250613C00290000,2025-06-11 19:25:46+00:00,290.0,0.17,0.14,0.19,0.11,183.33333,392.0,55,0.22461712890624996,False,REGULAR,USD,call,2025-06-13
IBM250613C00295000,2025-06-11 19:21:36+00:00,295.0,0.03,0.02,0.06,0.01,50.0,31.0,56,0.25977302734375,False,REGULAR,USD,call,2025-06-13
IBM250613C00300000,2025-06-11 19:11:33+00:00,300.0,0.01,0.0,0.05,0.0,0.0,78.0,5,0.327155166015625,False,REGULAR,USD,call,2025-06-13
IBM250613C00305000,2025-06-03 15:24:15+00:00,305.0,0.06,0.0,0.75,0.0,0.0,1.0,10,0.5629926513671876,False,REGULAR,USD,call,2025-06-13
IBM250613C00310000,2025-06-09 14:29:10+00:00,310.0,0.01,0.0,1.27,0.0,0.0,1.0,1,0.7299831689453125,False,REGULAR,USD,call,2025-06-13
IBM250613C00315000,2025-06-11 14:47:32+00:00,315.0,0.28,0.0,0.11,0.16,133.33333,4.0,3,0.5410202148437502,False,REGULAR,USD,call,2025-06-13
IBM250613P00135000,2025-05-28 13:43:58+00:00,135.0,0.2,0.0,0.23,0.0,0.0,5.0,5,3.2500018749999997,False,REGULAR,USD,put,2025-06-13
IBM250613P00140000,2025-06-09 19:22:03+00:00,140.0,0.1,0.0,0.75,0.0,0.0,1.0,2,3.605469736328125,False,REGULAR,USD,put,2025-06-13
IBM250613P00145000,2025-06-06 19:51:26+00:00,145.0,0.26,0.0,0.23,0.0,0.0,1.0,1,2.9531276171874996,False,REGULAR,USD,put,2025-06-13
IBM250613P00150000,2025-06-10 15:28:06+00:00,150.0,0.09,0.0,0.01,0.0,0.0,2.0,6,2.1250046874999997,False,REGULAR,USD,put,2025-06-13
IBM250613P00155000,2025-06-10 15:28:06+00:00,155.0,0.11,0.0,0.23,0.0,0.0,2.0,1,2.67969080078125,False,REGULAR,USD,put,2025-06-13
IBM250613P00160000,2025-06-09 16:13:30+00:00,160.0,0.32,0.0,0.45,0.0,0.0,1.0,1,2.771487446289063,False,REGULAR,USD,put,2025-06-13
IBM250613P00170000,2025-06-09 16:17:55+00:00,170.0,0.05,0.0,0.2,0.0,0.0,1.0,1,2.2578168554687497,False,REGULAR,USD,put,2025-06-13
IBM250613P00175000,2025-06-09 16:17:55+00:00,175.0,0.25,0.0,1.02,0.0,0.0,1.0,1,2.67969080078125,False,REGULAR,USD,put,2025-06-13
IBM250613P00180000,2025-05-09 16:46:15+00:00,180.0,0.09,0.0,1.04,0.0,0.0,,2,2.5488317529296873,False,REGULAR,USD,put,2025-06-13
IBM250613P00190000,2025-05-21 17:03:00+00:00,190.0,0.4,0.0,1.73,0.0,0.0,1.0,1,2.4941443896484374,False,REGULAR,USD,put,2025-06-13
IBM250613P00210000,2025-06-06 14:14:44+00:00,210.0,0.5,0.0,1.47,0.0,0.0,1.0,9,1.8876958740234375,False,REGULAR,USD,put,2025-06-13
IBM250613P00215000,2025-06-06 14:14:44+00:00,215.0,0.57,0.0,1.07,0.0,0.0,1.0,11,1.6582048339843751,False,REGULAR,USD,put,2025-06-13
IBM250613P00220000,2025-05-16 14:20:00+00:00,220.0,0.73,0.0,0.73,0.0,0.0,1.0,12,1.4375028125,False,REGULAR,USD,put,2025-06-13
IBM250613P00225000,2025-06-03 19:17:55+00:00,225.0,0.06,0.0,1.27,0.0,0.0,1.0,20,1.4677760986328123,False,REGULAR,USD,put,2025-06-13
IBM250613P00230000,2025-06-06 15:36:22+00:00,230.0,0.55,0.0,1.27,0.0,0.0,10.0,25,1.3486360693359374,False,REGULAR,USD,put,2025-06-13
IBM250613P00235000,2025-06-09 14:27:41+00:00,235.0,0.01,0.0,1.27,0.0,0.0,1.0,53,1.23047259765625,False,REGULAR,USD,put,2025-06-13
IBM250613P00237500,2025-06-09 14:27:30+00:00,237.5,0.01,0.0,1.27,0.0,0.0,1.0,11,1.171879140625,False,REGULAR,USD,put,2025-06-13
IBM250613P00240000,2025-06-10 19:58:37+00:00,240.0,0.03,0.0,0.02,0.0,0.0,6.0,63,0.6250037500000001,False,REGULAR,USD,put,2025-06-13
IBM250613P00242500,2025-06-09 14:27:04+00:00,242.5,0.01,0.0,1.99,0.0,0.0,1.0,13,1.1689494677734376,False,REGULAR,USD,put,2025-06-13
IBM250613P00245000,2025-06-10 17:45:40+00:00,245.0,0.03,0.0,0.03,0.0,0.0,26.0,71,0.570316796875,False,REGULAR,USD,put,2025-06-13
IBM250613P00247500,2025-06-09 19:08:25+00:00,247.5,0.11,0.0,1.47,0.0,0.0,5.0,74,0.9702151416015624,False,REGULAR,USD,put,2025-06-13
IBM250613P00250000,2025-06-10 18:42:40+00:00,250.0,0.05,0.0,0.01,0.0,0.0,20.0,126,0.476567734375,False,REGULAR,USD,put,2025-06-13
IBM250613P00252500,2025-06-10 17:46:05+00:00,252.5,0.05,0.0,0.12,0.0,0.0,22.0,63,0.5410202148437502,False,REGULAR,USD,put,2025-06-13
IBM250613P00255000,2025-06-11 18:52:10+00:00,255.0,0.01,0.01,0.03,-0.07,-87.5,2.0,161,0.45508357421875,False,REGULAR,USD,put,2025-06-13
IBM250613P00257500,2025-06-11 18:49:12+00:00,257.5,0.04,0.03,0.05,-0.030000001,-42.857143,17.0,551,0.44336494140625,False,REGULAR,USD,put,2025-06-13
IBM250613P00260000,2025-06-11 19:24:25+00:00,260.0,0.04,0.03,0.06,-0.1,-62.5,10.0,944,0.41211525390625,False,REGULAR,USD,put,2025-06-13
IBM250613P00262500,2025-06-11 17:48:02+00:00,262.5,0.08,0.03,0.12,-0.09,-52.941177,15.0,632,0.41211525390625,False,REGULAR,USD,put,2025-06-13
IBM250613P00265000,2025-06-11 18:15:03+00:00,265.0,0.07,0.05,0.14,-0.16,-69.56522,37.0,1080,0.375982802734375,False,REGULAR,USD,put,2025-06-13
IBM250613P00267500,2025-06-11 18:46:59+00:00,267.5,0.2,0.1,0.21,-0.21,-51.219513,59.0,599,0.35547519531249994,False,REGULAR,USD,put,2025-06-13
IBM250613P00270000,2025-06-11 17:14:22+00:00,270.0,0.17,0.14,0.18,-0.5,-74.62686,87.0,252,0.2929758203124999,False,REGULAR,USD,put,2025-06-13
IBM250613P00272500,2025-06-11 18:04:10+00:00,272.5,0.29,0.27,0.32,-0.97,-76.98413,232.0,608,0.2778392529296875,False,REGULAR,USD,put,2025-06-13
IBM250613P00275000,2025-06-11 19:24:47+00:00,275.0,0.52,0.5,0.59,-1.37,-72.48677,863.0,1412,0.26709717285156254,False,REGULAR,USD,put,2025-06-13
IBM250613P00280000,2025-06-11 19:12:54+00:00,280.0,1.91,1.8,2.08,-2.94,-60.618557,530.0,63,0.27466545654296876,False,REGULAR,USD,put,2025-06-13
IBM250613P00285000,2025-06-11 19:25:52+00:00,285.0,4.88,5.05,5.35,-7.7200003,-61.26984,25.0,1,0.32691102783203124,True,REGULAR,USD,put,2025-06-13
IBM250620C00080000,2025-02-07 20:41:32+00:00,80.0,172.5,176.1,178.9,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00090000,2024-12-16 05:11:33+00:00,90.0,125.1,139.95,143.15,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00100000,2025-05-16 17:01:38+00:00,100.0,166.28,180.0,181.1,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00110000,2024-12-16 05:11:32+00:00,110.0,75.25,85.1,89.95,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00115000,2024-12-16 05:11:32+00:00,115.0,72.67,86.35,89.15,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00120000,2025-05-08 19:53:30+00:00,120.0,134.3,147.65,150.2,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00125000,2024-12-16 05:11:32+00:00,125.0,89.7,105.55,108.3,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00130000,2024-12-30 19:41:04+00:00,130.0,92.02,125.15,127.7,0.0,0.0,15.0,117,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00135000,2025-02-06 17:35:46+00:00,135.0,120.53,126.95,129.6,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00140000,2025-04-23 19:57:34+00:00,140.0,106.2,118.15,120.5,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00145000,2025-05-19 19:40:32+00:00,145.0,123.77,134.95,136.2,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00150000,2025-06-06 19:21:23+00:00,150.0,118.65,129.7,132.0,0.0,0.0,3.0,4,1.8437507812499998,True,REGULAR,USD,call,2025-06-20
IBM250620C00155000,2025-05-08 18:36:22+00:00,155.0,100.7,112.95,115.05,0.0,0.0,1400.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00160000,2025-06-03 13:58:55+00:00,160.0,104.0,120.1,121.95,0.0,0.0,8.0,39,1.6435564697265623,True,REGULAR,USD,call,2025-06-20
IBM250620C00165000,2025-05-08 19:14:48+00:00,165.0,91.15,102.2,105.15,0.0,0.0,505.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
IBM250620C00170000,2025-05-22 15:11:27+00:00,170.0,90.69,109.8,111.8,0.0,0.0,2.0,22,1.3867218164062498,True,REGULAR,USD,call,2025-06-20
IBM250620C00175000,2025-05-12 14:42:43+00:00,175.0,76.95,101.8,104.05,0.0,0.0,9.0,9,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-20
