contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
INTC250613C00014000,2025-06-11 13:32:49+00:00,14.0,7.56,6.5,6.8,-0.73,-8.80579,1.0,7,2.8359404101562498,True,REGULAR,USD,call,2025-06-13
INTC250613C00015000,2025-06-10 19:18:12+00:00,15.0,7.3,5.15,5.65,0.0,0.0,13.0,8,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
INTC250613C00015500,2025-06-10 17:00:39+00:00,15.5,5.64,4.9,5.15,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
INTC250613C00016000,2025-06-11 19:12:22+00:00,16.0,4.47,4.15,4.65,-0.69000006,-13.372095,6.0,158,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
INTC250613C00016500,2025-06-10 17:40:06+00:00,16.5,5.45,2.4,4.65,0.0,0.0,12.0,19,2.7890655273437504,True,REGULAR,USD,call,2025-06-13
INTC250613C00017000,2025-06-10 17:40:06+00:00,17.0,3.41,3.5,3.65,-1.5399997,-31.111107,3.0,108,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
INTC250613C00017500,2025-06-10 19:29:15+00:00,17.5,4.75,3.05,3.15,0.0,0.0,15.0,33,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
INTC250613C00018000,2025-06-11 18:21:54+00:00,18.0,2.56,2.52,2.61,-1.5100002,-37.100742,48.0,195,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
INTC250613C00018500,2025-06-11 18:38:46+00:00,18.5,2.09,2.01,2.24,-1.6500001,-44.117653,372.0,115,0.8984385156249999,True,REGULAR,USD,call,2025-06-13
INTC250613C00019000,2025-06-11 19:22:16+00:00,19.0,1.6,1.52,1.63,-1.4999999,-48.387093,837.0,688,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
INTC250613C00019500,2025-06-11 19:22:20+00:00,19.5,1.13,1.09,1.18,-1.4699999,-56.538456,539.0,1417,0.31250687499999996,True,REGULAR,USD,call,2025-06-13
