contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
IWM250611C00170000,2025-06-02 14:00:00+00:00,170.0,33.4,43.84,43.96,0.0,0.0,,3.0,2.44531638671875,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00185000,2025-06-05 15:09:25+00:00,185.0,30.24,28.77,28.9,6.199999,25.790344,9.0,1.0,1.60547072265625,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00186000,2025-06-11 15:10:04+00:00,186.0,29.29,27.76,27.89,2.040001,7.486242,1.0,1.0,1.5449241503906248,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00188000,2025-06-11 15:55:35+00:00,188.0,27.17,25.77,25.88,1.7800007,7.010637,2.0,2.0,1.4472683886718751,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00190000,2025-06-10 19:32:37+00:00,190.0,24.89,23.77,23.9,0.5100002,2.0918796,19.0,19.0,1.3574250878906249,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00191000,2025-06-09 13:45:21+00:00,191.0,22.07,22.65,22.77,0.0,0.0,1.0,1.0,1.1796916015624999,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00192000,2025-06-11 18:13:43+00:00,192.0,21.41,21.65,21.77,0.62999916,3.031757,13.0,15.0,1.1328168359375002,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00194000,2025-06-11 16:07:46+00:00,194.0,20.37,19.84,19.94,0.07999992,0.3942825,3.0,2.0,1.203128984375,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00195000,2025-06-11 15:22:09+00:00,195.0,20.47,18.7,18.81,1.1799984,6.117151,4.0,21.0,1.0410204199218753,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00196000,2025-06-11 18:23:12+00:00,196.0,17.71,17.92,18.03,-1.5500011,-8.047773,2.0,2.0,1.1572307763671876,1.0,REGULAR,USD,call,2025-06-11
IWM250611C00197000,2025-06-11 19:02:26+00:00,197.0,16.59,16.7,16.82,-1.1499996,-6.4825234,8.0,16.0,0.9492192578124999,1.0,REGULAR,USD,call,2025-06-11
