contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
JNJ250613C00135000,2025-06-06 16:09:56+00:00,135.0,19.77,19.95,20.45,0.0,0.0,1.0,0,0.929688203125,True,REGULAR,USD,call,2025-06-13
JNJ250613C00140000,2025-06-06 17:18:04+00:00,140.0,14.57,14.9,15.45,0.0,0.0,4.0,4,0.729494892578125,True,REGULAR,USD,call,2025-06-13
JNJ250613C00145000,2025-06-11 15:59:04+00:00,145.0,10.96,9.95,10.5,1.3900003,14.52456,1.0,3,0.5512740185546876,True,REGULAR,USD,call,2025-06-13
JNJ250613C00148000,2025-06-03 14:02:11+00:00,148.0,7.3,6.55,7.95,0.0,0.0,,10,0.567387138671875,True,REGULAR,USD,call,2025-06-13
JNJ250613C00149000,2025-06-09 14:14:30+00:00,149.0,6.25,6.0,7.15,0.0,0.0,20.0,10,0.5668988623046876,True,REGULAR,USD,call,2025-06-13
JNJ250613C00150000,2025-06-11 17:25:50+00:00,150.0,5.9,4.9,5.25,-0.38999987,-6.2003155,20.0,244,0.21680470703125,True,REGULAR,USD,call,2025-06-13
JNJ250613C00152500,2025-06-11 19:00:39+00:00,152.5,2.79,2.71,2.91,-1.8600001,-40.000004,72.0,331,0.1889729541015625,True,REGULAR,USD,call,2025-06-13
JNJ250613C00155000,2025-06-11 19:14:06+00:00,155.0,1.12,1.02,1.11,-0.93999994,-45.631065,402.0,985,0.17945156494140624,True,REGULAR,USD,call,2025-06-13
JNJ250613C00157500,2025-06-11 19:24:57+00:00,157.5,0.24,0.23,0.27,-0.53999996,-69.23077,1385.0,3842,0.18360191406249998,False,REGULAR,USD,call,2025-06-13
JNJ250613C00160000,2025-06-11 19:09:00+00:00,160.0,0.07,0.05,0.08,-0.16,-69.56522,407.0,5138,0.21680470703125,False,REGULAR,USD,call,2025-06-13
JNJ250613C00162500,2025-06-11 14:29:06+00:00,162.5,0.05,0.03,0.08,-0.02,-28.571428,11.0,587,0.29883513671874995,False,REGULAR,USD,call,2025-06-13
JNJ250613C00165000,2025-06-09 19:15:05+00:00,165.0,0.01,0.0,0.08,0.0,0.0,7.0,1667,0.37695935546875,False,REGULAR,USD,call,2025-06-13
JNJ250613C00170000,2025-06-09 16:59:45+00:00,170.0,0.01,0.0,0.02,0.0,0.0,2.0,15,0.42969320312500003,False,REGULAR,USD,call,2025-06-13
JNJ250613C00175000,2025-06-02 19:00:37+00:00,175.0,0.01,0.0,0.01,0.0,0.0,,1,0.500005,False,REGULAR,USD,call,2025-06-13
JNJ250613P00085000,2025-05-28 15:15:03+00:00,85.0,0.05,0.0,0.01,0.0,0.0,1.0,1,2.1250046874999997,False,REGULAR,USD,put,2025-06-13
JNJ250613P00100000,2025-06-04 18:11:21+00:00,100.0,0.24,0.0,0.2,0.0,0.0,,1,2.14844212890625,False,REGULAR,USD,put,2025-06-13
JNJ250613P00105000,2025-06-06 14:57:18+00:00,105.0,0.5,0.0,0.53,0.0,0.0,1.0,1,2.236332534179687,False,REGULAR,USD,put,2025-06-13
JNJ250613P00110000,2025-06-06 14:57:18+00:00,110.0,0.57,0.0,0.53,0.0,0.0,1.0,1,2.003911240234375,False,REGULAR,USD,put,2025-06-13
JNJ250613P00115000,2025-06-06 19:13:08+00:00,115.0,0.01,0.0,0.53,0.0,0.0,1.0,1,1.7792979785156249,False,REGULAR,USD,put,2025-06-13
JNJ250613P00120000,2025-05-23 14:23:46+00:00,120.0,0.18,0.0,0.25,0.13000001,260.00003,2.0,7,1.3808624707031247,False,REGULAR,USD,put,2025-06-13
JNJ250613P00125000,2025-06-04 13:43:14+00:00,125.0,0.2,0.0,0.27,0.19,1899.999,2.0,1,1.203128984375,False,REGULAR,USD,put,2025-06-13
JNJ250613P00130000,2025-06-05 16:48:02+00:00,130.0,0.05,0.0,1.27,0.0,0.0,2.0,51,1.3837921435546874,False,REGULAR,USD,put,2025-06-13
JNJ250613P00135000,2025-06-10 15:59:15+00:00,135.0,0.01,0.0,0.05,0.0,0.0,32.0,184,0.648441015625,False,REGULAR,USD,put,2025-06-13
JNJ250613P00138000,2025-06-11 15:57:43+00:00,138.0,0.01,0.0,0.23,-0.02,-66.66667,610.0,144,0.6992217578125001,False,REGULAR,USD,put,2025-06-13
JNJ250613P00139000,2025-06-06 17:57:09+00:00,139.0,0.04,0.0,0.23,0.0,0.0,2.0,80,0.6621127539062501,False,REGULAR,USD,put,2025-06-13
JNJ250613P00140000,2025-06-11 16:43:24+00:00,140.0,0.03,0.01,0.08,0.01,50.0,4.0,461,0.5390671093750001,False,REGULAR,USD,put,2025-06-13
JNJ250613P00141000,2025-06-04 14:57:14+00:00,141.0,0.12,0.01,0.17,0.0,0.0,,9,0.5644574804687501,False,REGULAR,USD,put,2025-06-13
JNJ250613P00142000,2025-06-11 16:01:47+00:00,142.0,0.01,0.01,2.15,-0.03,-75.0,66.0,44,0.97460962890625,False,REGULAR,USD,put,2025-06-13
JNJ250613P00143000,2025-06-11 16:01:58+00:00,143.0,0.05,0.0,0.74,-0.09,-64.28571,19.0,19,0.6689486230468751,False,REGULAR,USD,put,2025-06-13
JNJ250613P00144000,2025-06-11 13:49:33+00:00,144.0,0.03,0.03,2.16,-0.01,-25.0,11.0,63,0.8745129736328124,False,REGULAR,USD,put,2025-06-13
JNJ250613P00145000,2025-06-11 16:02:45+00:00,145.0,0.04,0.03,0.07,-0.030000001,-42.857143,8.0,294,0.4062559375,False,REGULAR,USD,put,2025-06-13
JNJ250613P00146000,2025-06-11 14:22:15+00:00,146.0,0.07,0.0,0.34,0.02,40.0,10.0,79,0.526371923828125,False,REGULAR,USD,put,2025-06-13
JNJ250613P00147000,2025-06-11 17:04:39+00:00,147.0,0.05,0.04,0.21,-0.24,-82.75862,10.0,179,0.42578699218750005,False,REGULAR,USD,put,2025-06-13
JNJ250613P00148000,2025-06-11 18:29:21+00:00,148.0,0.26,0.06,1.84,0.17999999,225.0,24.0,244,0.6210975390625001,False,REGULAR,USD,put,2025-06-13
JNJ250613P00149000,2025-06-11 18:29:38+00:00,149.0,0.11,0.08,0.14,-0.009999998,-8.333331,18.0,178,0.309577216796875,False,REGULAR,USD,put,2025-06-13
JNJ250613P00150000,2025-06-11 19:05:15+00:00,150.0,0.15,0.1,0.15,-0.03999999,-21.052628,184.0,1246,0.27539787109374997,False,REGULAR,USD,put,2025-06-13
JNJ250613P00152500,2025-06-11 19:15:21+00:00,152.5,0.29,0.27,0.33,-0.060000002,-17.142857,265.0,1537,0.22266402343749997,False,REGULAR,USD,put,2025-06-13
JNJ250613P00155000,2025-06-11 19:00:23+00:00,155.0,1.02,1.03,1.09,0.26999998,35.999996,391.0,1821,0.21167780517578122,False,REGULAR,USD,put,2025-06-13
JNJ250613P00157500,2025-06-11 15:53:16+00:00,157.5,2.43,2.64,2.83,0.5300001,27.894741,64.0,246,0.245124736328125,True,REGULAR,USD,put,2025-06-13
JNJ250613P00160000,2025-06-11 18:06:21+00:00,160.0,4.6,4.8,5.35,-0.5500002,-10.679615,1.0,7,0.37695935546875,True,REGULAR,USD,put,2025-06-13
JNJ250613P00162500,2025-06-10 13:51:09+00:00,162.5,7.15,7.25,7.8,0.0,0.0,1.0,3,0.47510290527343746,True,REGULAR,USD,put,2025-06-13
JNJ250613P00165000,2025-06-10 13:38:11+00:00,165.0,9.0,9.75,10.2,0.0,0.0,2.0,2,0.5419967675781252,True,REGULAR,USD,put,2025-06-13
JNJ250620C00075000,2024-12-16 05:09:52+00:00,75.0,70.75,77.0,82.0,0.0,0.0,,1,3.0600609436035158,True,REGULAR,USD,call,2025-06-20
JNJ250620C00080000,2025-05-23 18:57:16+00:00,80.0,73.03,74.65,75.4,0.0,0.0,4.0,2,1.88671931640625,True,REGULAR,USD,call,2025-06-20
JNJ250620C00085000,2025-05-23 19:55:10+00:00,85.0,67.8,69.4,71.0,0.0,0.0,2.0,0,1.21875390625,True,REGULAR,USD,call,2025-06-20
JNJ250620C00090000,2024-12-16 05:09:52+00:00,90.0,76.0,68.0,73.0,0.0,0.0,15.0,0,3.307130638427734,True,REGULAR,USD,call,2025-06-20
JNJ250620C00095000,2025-05-23 19:48:14+00:00,95.0,58.24,59.5,60.9,0.0,0.0,110.0,0,1.015629921875,True,REGULAR,USD,call,2025-06-20
JNJ250620C00100000,2025-05-23 19:59:53+00:00,100.0,52.95,54.55,55.9,0.0,0.0,214.0,0,1.0351610742187503,True,REGULAR,USD,call,2025-06-20
JNJ250620C00105000,2025-06-05 17:04:04+00:00,105.0,48.77,49.55,50.45,0.0,0.0,1.0,1,1.220707021484375,True,REGULAR,USD,call,2025-06-20
