contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
JPM250613C00150000,2025-05-15 14:14:35+00:00,150.0,116.13,117.65,119.45,0.0,0.0,,1,3.3125017187499997,True,REGULAR,USD,call,2025-06-13
JPM250613C00175000,2025-06-05 19:30:02+00:00,175.0,86.54,92.8,94.8,0.0,0.0,,1,2.690432961425781,True,REGULAR,USD,call,2025-06-13
JPM250613C00220000,2025-06-10 15:49:24+00:00,220.0,47.34,47.8,49.6,0.0,0.0,1.0,0,1.3842804223632812,True,REGULAR,USD,call,2025-06-13
JPM250613C00225000,2025-06-09 14:11:02+00:00,225.0,40.05,42.7,43.95,0.0,0.0,1.0,10,1.09375453125,True,REGULAR,USD,call,2025-06-13
JPM250613C00230000,2025-06-06 13:53:02+00:00,230.0,35.99,37.85,39.95,0.0,0.0,2.0,2,1.1928751293945314,True,REGULAR,USD,call,2025-06-13
JPM250613C00235000,2025-06-06 19:16:25+00:00,235.0,31.38,32.8,34.55,0.0,0.0,2.0,4,0.9941406835937501,True,REGULAR,USD,call,2025-06-13
JPM250613C00240000,2025-06-10 16:37:28+00:00,240.0,28.55,27.85,29.35,0.0,0.0,1.0,9,0.8457046679687499,True,REGULAR,USD,call,2025-06-13
JPM250613C00242500,2025-06-06 15:29:41+00:00,242.5,23.55,25.45,26.65,0.0,0.0,1.0,0,0.7685570019531252,True,REGULAR,USD,call,2025-06-13
JPM250613C00245000,2025-06-06 19:50:53+00:00,245.0,21.26,22.5,24.9,0.0,0.0,12.0,28,0.7480493945312501,True,REGULAR,USD,call,2025-06-13
JPM250613C00247500,2025-06-06 19:12:31+00:00,247.5,18.97,20.3,21.0,0.0,0.0,2.0,3,0.508793974609375,True,REGULAR,USD,call,2025-06-13
JPM250613C00250000,2025-06-11 17:23:10+00:00,250.0,19.42,18.05,19.5,1.2999992,7.1743884,1.0,106,0.6357458300781251,True,REGULAR,USD,call,2025-06-13
JPM250613C00252500,2025-06-11 15:29:47+00:00,252.5,16.01,15.5,16.3,3.08,23.820572,1.0,103,0.5742230078125,True,REGULAR,USD,call,2025-06-13
JPM250613C00255000,2025-06-11 19:06:39+00:00,255.0,12.96,12.9,13.25,-0.5600004,-4.142015,5.0,195,0.38086556640624997,True,REGULAR,USD,call,2025-06-13
JPM250613C00257500,2025-06-11 14:47:55+00:00,257.5,11.23,10.5,11.3,-0.5,-4.2625747,1.0,114,0.43628493408203123,True,REGULAR,USD,call,2025-06-13
JPM250613C00260000,2025-06-11 17:12:30+00:00,260.0,8.85,8.35,8.65,0.020000458,0.22650576,96.0,405,0.3398503515625,True,REGULAR,USD,call,2025-06-13
JPM250613C00262500,2025-06-11 19:26:30+00:00,262.5,5.9,5.55,6.3,-0.78999996,-11.808669,93.0,303,0.2885813330078124,True,REGULAR,USD,call,2025-06-13
JPM250613C00265000,2025-06-11 17:46:32+00:00,265.0,4.5,3.85,4.05,-0.07999992,-1.7467233,112.0,1211,0.2368240380859375,True,REGULAR,USD,call,2025-06-13
JPM250613C00267500,2025-06-11 19:19:41+00:00,267.5,2.16,2.1,2.22,-0.5899999,-21.454542,1509.0,2957,0.20557435058593748,True,REGULAR,USD,call,2025-06-13
JPM250613C00270000,2025-06-11 19:22:10+00:00,270.0,1.03,0.99,1.08,-0.44000006,-29.931978,2634.0,3478,0.1992267578125,False,REGULAR,USD,call,2025-06-13
JPM250613C00272500,2025-06-11 19:26:58+00:00,272.5,0.37,0.36,0.42,-0.29000002,-43.939396,1075.0,1746,0.19263502685546874,False,REGULAR,USD,call,2025-06-13
JPM250613C00275000,2025-06-11 19:18:46+00:00,275.0,0.11,0.11,0.14,-0.16000001,-59.259262,1093.0,3459,0.19190261230468753,False,REGULAR,USD,call,2025-06-13
JPM250613C00277500,2025-06-11 18:27:06+00:00,277.5,0.05,0.04,0.05,-0.040000003,-44.444447,454.0,1203,0.20020331054687499,False,REGULAR,USD,call,2025-06-13
JPM250613C00280000,2025-06-11 17:09:50+00:00,280.0,0.02,0.01,0.03,-0.01,-33.333336,198.0,1325,0.22461712890624996,False,REGULAR,USD,call,2025-06-13
JPM250613C00282500,2025-06-11 14:43:46+00:00,282.5,0.02,0.0,0.02,0.0,0.0,265.0,282,0.2500075,False,REGULAR,USD,call,2025-06-13
JPM250613C00285000,2025-06-11 13:43:39+00:00,285.0,0.02,0.0,0.01,0.01,100.0,1.0,276,0.26563234375,False,REGULAR,USD,call,2025-06-13
JPM250613C00287500,2025-06-10 17:41:26+00:00,287.5,0.01,0.0,0.01,0.0,0.0,5.0,7,0.29688203124999996,False,REGULAR,USD,call,2025-06-13
JPM250613C00290000,2025-05-29 19:26:52+00:00,290.0,0.03,0.0,0.02,0.0,0.0,2.0,39,0.35547519531249994,False,REGULAR,USD,call,2025-06-13
JPM250613C00295000,2025-05-29 19:15:50+00:00,295.0,0.01,0.0,0.04,0.0,0.0,3.0,57,0.45703667968750006,False,REGULAR,USD,call,2025-06-13
JPM250613C00300000,2025-05-22 15:23:38+00:00,300.0,0.03,0.0,0.01,0.0,0.0,16.0,429,0.45313046875,False,REGULAR,USD,call,2025-06-13
JPM250613C00305000,2025-06-05 17:51:56+00:00,305.0,0.01,0.0,0.01,0.0,0.0,,4,0.507817421875,False,REGULAR,USD,call,2025-06-13
