contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
KO250613C00045000,2025-05-08 15:05:17+00:00,45.0,27.03,25.1,27.65,0.0,0.0,,0,3.6250009375000003,True,REGULAR,USD,call,2025-06-13
KO250613C00050000,2025-06-06 18:02:38+00:00,50.0,21.18,21.7,22.5,0.0,0.0,3.0,2,1.984375078125,True,REGULAR,USD,call,2025-06-13
KO250613C00055000,2025-05-29 14:05:39+00:00,55.0,16.03,16.7,17.5,0.0,0.0,,10,1.5273461132812498,True,REGULAR,USD,call,2025-06-13
KO250613C00057000,2025-06-09 13:32:40+00:00,57.0,14.4,14.7,15.5,0.0,0.0,6.0,4,1.3515657421874998,True,REGULAR,USD,call,2025-06-13
KO250613C00059000,2025-06-03 17:13:12+00:00,59.0,12.2,12.7,13.5,0.0,0.0,,5,1.1796916015624999,True,REGULAR,USD,call,2025-06-13
KO250613C00061000,2025-06-06 14:47:02+00:00,61.0,10.29,10.75,11.4,0.0,0.0,1.0,1,0.9531254687499999,True,REGULAR,USD,call,2025-06-13
KO250613C00063000,2025-06-09 13:32:40+00:00,63.0,8.4,8.95,9.1,0.0,0.0,5.0,6,0.6093789062500001,True,REGULAR,USD,call,2025-06-13
KO250613C00064000,2025-05-14 15:58:29+00:00,64.0,5.45,8.0,8.4,0.0,0.0,,5,0.9023447265625,True,REGULAR,USD,call,2025-06-13
KO250613C00065000,2025-06-10 17:55:18+00:00,65.0,7.63,6.8,7.1,0.0,0.0,71.0,15,0.6796907031250001,True,REGULAR,USD,call,2025-06-13
KO250613C00066000,2025-06-11 13:41:18+00:00,66.0,5.95,5.95,6.05,-0.3000002,-4.800003,4.0,27,0.507817421875,True,REGULAR,USD,call,2025-06-13
KO250613C00067000,2025-06-11 19:23:56+00:00,67.0,5.07,4.95,5.05,-0.029999733,-0.5882301,4.0,18,0.4335994140625,True,REGULAR,USD,call,2025-06-13
KO250613C00068000,2025-06-11 15:21:45+00:00,68.0,3.9,3.95,4.05,0.0,0.0,4.0,103,0.35938140625,True,REGULAR,USD,call,2025-06-13
KO250613C00069000,2025-06-11 15:41:42+00:00,69.0,2.89,2.82,3.1,-0.47999978,-14.243318,10.0,250,0.3437565625,True,REGULAR,USD,call,2025-06-13
KO250613C00070000,2025-06-11 19:21:17+00:00,70.0,2.05,1.97,2.05,-0.37000012,-15.289261,18.0,615,0.20313296874999998,True,REGULAR,USD,call,2025-06-13
KO250613C00071000,2025-06-11 19:21:45+00:00,71.0,1.1,1.01,1.09,-0.32999992,-23.076918,1336.0,2152,0.15039912109375003,True,REGULAR,USD,call,2025-06-13
KO250613C00072000,2025-06-11 19:23:04+00:00,72.0,0.36,0.32,0.34,-0.26,-41.935482,2706.0,2545,0.127938408203125,True,REGULAR,USD,call,2025-06-13
KO250613C00073000,2025-06-11 19:16:03+00:00,73.0,0.07,0.06,0.09,-0.12,-63.157894,2099.0,2793,0.15430533203125002,False,REGULAR,USD,call,2025-06-13
KO250613C00074000,2025-06-11 19:27:27+00:00,74.0,0.02,0.02,0.03,-0.030000001,-60.0,545.0,1701,0.18946123046875002,False,REGULAR,USD,call,2025-06-13
