contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
LLY250613C00500000,2025-06-09 19:48:32+00:00,500.0,273.91,305.65,311.9,0.0,0.0,1.0,1,2.4531288671875,True,REGULAR,USD,call,2025-06-13
LLY250613C00515000,2025-06-09 19:36:56+00:00,515.0,259.02,291.35,297.15,0.0,0.0,3.0,0,2.491214709472656,True,REGULAR,USD,call,2025-06-13
LLY250613C00520000,2025-06-09 19:47:27+00:00,520.0,253.99,285.7,292.35,0.0,0.0,2.0,1,2.3701212622070305,True,REGULAR,USD,call,2025-06-13
LLY250613C00550000,2025-05-16 13:30:56+00:00,550.0,192.05,256.15,262.25,0.0,0.0,2.0,2,2.155766329345703,True,REGULAR,USD,call,2025-06-13
LLY250613C00570000,2025-05-12 16:33:52+00:00,570.0,183.2,236.25,241.45,0.0,0.0,,0,1.8759771826171874,True,REGULAR,USD,call,2025-06-13
LLY250613C00600000,2025-06-10 18:16:19+00:00,600.0,201.05,205.05,211.8,0.0,0.0,2.0,1,1.4765651171875,True,REGULAR,USD,call,2025-06-13
LLY250613C00610000,2025-05-14 16:38:43+00:00,610.0,115.75,195.15,201.9,0.0,0.0,,1,1.4453152734375,True,REGULAR,USD,call,2025-06-13
LLY250613C00650000,2025-06-10 16:00:03+00:00,650.0,145.35,156.05,162.4,0.0,0.0,1.0,2,1.3286166381835933,True,REGULAR,USD,call,2025-06-13
LLY250613C00655000,2025-06-04 14:19:40+00:00,655.0,114.0,150.5,156.8,0.0,0.0,1.0,2,1.158207333984375,True,REGULAR,USD,call,2025-06-13
LLY250613C00660000,2025-05-14 16:39:00+00:00,660.0,72.55,145.5,151.95,0.0,0.0,,1,1.1420941333007812,True,REGULAR,USD,call,2025-06-13
LLY250613C00670000,2025-06-03 18:58:30+00:00,670.0,87.45,135.5,142.25,0.0,0.0,3.0,3,1.1035201074218752,True,REGULAR,USD,call,2025-06-13
