contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
MCD250613C00250000,2025-06-05 14:32:05+00:00,250.0,60.5,51.25,53.85,0.0,0.0,,1,1.2470740771484374,True,REGULAR,USD,call,2025-06-13
MCD250613C00290000,2025-06-10 15:58:48+00:00,290.0,10.0,11.9,12.8,0.0,0.0,2.0,11,0.42383388671875,True,REGULAR,USD,call,2025-06-13
MCD250613C00292500,2025-06-11 18:32:04+00:00,292.5,10.5,9.65,10.1,2.6100001,33.07985,17.0,14,0.3303289624023437,True,REGULAR,USD,call,2025-06-13
MCD250613C00295000,2025-06-11 19:25:29+00:00,295.0,7.6,7.2,7.7,1.9000001,33.333336,60.0,15,0.2829661547851562,True,REGULAR,USD,call,2025-06-13
MCD250613C00297500,2025-06-11 17:52:36+00:00,297.5,4.8,5.1,5.45,0.75,18.518518,57.0,79,0.24549094360351562,True,REGULAR,USD,call,2025-06-13
MCD250613C00300000,2025-06-11 19:26:06+00:00,300.0,3.25,3.05,3.35,0.97,42.54386,452.0,291,0.20655090332031245,True,REGULAR,USD,call,2025-06-13
MCD250613C00302500,2025-06-11 19:17:27+00:00,302.5,1.83,1.6,1.72,0.61,50.0,743.0,490,0.18189294677734374,False,REGULAR,USD,call,2025-06-13
MCD250613C00305000,2025-06-11 19:16:41+00:00,305.0,0.8,0.7,0.88,0.24000001,42.857143,1017.0,1199,0.187508125,False,REGULAR,USD,call,2025-06-13
MCD250613C00307500,2025-06-11 19:02:06+00:00,307.5,0.35,0.25,0.35,0.09,34.615387,550.0,670,0.18360191406249998,False,REGULAR,USD,call,2025-06-13
MCD250613C00310000,2025-06-11 19:01:21+00:00,310.0,0.15,0.13,0.18,0.030000009,25.000008,530.0,857,0.1997150341796875,False,REGULAR,USD,call,2025-06-13
MCD250613C00312500,2025-06-11 18:46:05+00:00,312.5,0.1,0.08,0.11,0.009999998,11.111108,299.0,943,0.22168747070312497,False,REGULAR,USD,call,2025-06-13
MCD250613C00315000,2025-06-11 18:46:05+00:00,315.0,0.07,0.04,0.06,0.0,0.0,162.0,654,0.23633576171874998,False,REGULAR,USD,call,2025-06-13
MCD250613C00317500,2025-06-11 18:16:14+00:00,317.5,0.05,0.03,0.08,0.020000001,66.66668,1547.0,2522,0.28613995117187496,False,REGULAR,USD,call,2025-06-13
MCD250613C00320000,2025-06-11 18:07:30+00:00,320.0,0.03,0.0,0.03,-0.01,-25.0,107.0,698,0.28125718749999995,False,REGULAR,USD,call,2025-06-13
MCD250613C00322500,2025-06-10 17:51:55+00:00,322.5,0.05,0.0,0.25,0.0,0.0,90.0,329,0.4379939013671875,False,REGULAR,USD,call,2025-06-13
MCD250613C00325000,2025-06-11 16:17:39+00:00,325.0,0.08,0.01,0.09,0.009999998,536870784.0,24.0,289,0.40039662109375,False,REGULAR,USD,call,2025-06-13
MCD250613C00327500,2025-06-09 15:53:18+00:00,327.5,0.01,0.0,0.45,0.0,0.0,3.0,171,0.507817421875,False,REGULAR,USD,call,2025-06-13
MCD250613C00330000,2025-06-11 19:11:41+00:00,330.0,0.02,0.0,0.1,0.01,100.0,2.0,270,0.476567734375,False,REGULAR,USD,call,2025-06-13
MCD250613C00332500,2025-06-02 16:56:38+00:00,332.5,0.58,0.0,0.72,0.0,0.0,2.0,6,0.6367223828125,False,REGULAR,USD,call,2025-06-13
MCD250613C00335000,2025-06-10 15:10:13+00:00,335.0,0.02,0.0,0.56,0.0,0.0,12.0,51,0.6445348046875,False,REGULAR,USD,call,2025-06-13
MCD250613C00337500,2025-06-09 16:57:03+00:00,337.5,0.01,0.0,0.84,0.0,0.0,1.0,1,0.7358424853515625,False,REGULAR,USD,call,2025-06-13
MCD250613C00340000,2025-06-09 17:48:21+00:00,340.0,0.01,0.0,0.56,0.0,0.0,4.0,121,0.717776259765625,False,REGULAR,USD,call,2025-06-13
MCD250613C00345000,2025-06-09 16:54:05+00:00,345.0,0.01,0.0,0.75,0.0,0.0,1.0,1,0.831056376953125,False,REGULAR,USD,call,2025-06-13
MCD250613P00160000,2025-05-19 18:41:01+00:00,160.0,0.15,0.0,0.01,0.0,0.0,,6,2.1250046874999997,False,REGULAR,USD,put,2025-06-13
MCD250613P00180000,2025-06-02 17:35:46+00:00,180.0,0.11,0.0,0.3,0.0,0.0,,1,2.4062539843749997,False,REGULAR,USD,put,2025-06-13
MCD250613P00190000,2025-06-02 17:35:46+00:00,190.0,0.28,0.0,0.14,0.0,0.0,,1,1.9921875390625,False,REGULAR,USD,put,2025-06-13
MCD250613P00195000,2025-06-03 13:33:16+00:00,195.0,0.27,0.0,0.19,0.0,0.0,,1,1.953125234375,False,REGULAR,USD,put,2025-06-13
MCD250613P00200000,2025-06-05 13:45:36+00:00,200.0,0.28,0.0,0.31,0.0,0.0,,0,1.96484392578125,False,REGULAR,USD,put,2025-06-13
