contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
META250613C00300000,2025-06-11 19:18:06+00:00,300.0,395.16,394.25,395.7,-6.139984,-1.5300235,74.0,98.0,4.326176467285156,True,REGULAR,USD,call,2025-06-13
META250613C00310000,2025-06-06 15:47:42+00:00,310.0,386.45,384.5,386.15,0.0,0.0,40.0,20.0,4.356449866943358,True,REGULAR,USD,call,2025-06-13
META250613C00320000,2025-06-09 18:16:16+00:00,320.0,379.8,374.35,376.6,0.0,0.0,4.0,12.0,4.2685593518066405,True,REGULAR,USD,call,2025-06-13
META250613C00335000,2025-06-05 13:58:13+00:00,335.0,352.35,359.25,361.5,0.0,0.0,,4.0,3.9960937597656248,True,REGULAR,USD,call,2025-06-13
META250613C00340000,2025-06-05 19:50:00+00:00,340.0,347.8,354.15,356.45,0.0,0.0,1.0,2.0,3.8896487133789064,True,REGULAR,USD,call,2025-06-13
META250613C00345000,2025-05-30 19:50:00+00:00,345.0,301.8,349.5,351.5,0.0,0.0,1.0,1.0,3.902343994140625,True,REGULAR,USD,call,2025-06-13
META250613C00360000,2025-05-16 14:54:13+00:00,360.0,269.96,334.3,336.5,0.0,0.0,1.0,1.0,3.6484383789062504,True,REGULAR,USD,call,2025-06-13
META250613C00375000,2025-06-05 14:22:58+00:00,375.0,314.42,319.55,321.6,0.0,0.0,2.0,2.0,3.5097668505859376,True,REGULAR,USD,call,2025-06-13
META250613C00385000,2025-06-09 18:24:31+00:00,385.0,314.68,309.55,311.55,0.0,0.0,4.0,4.0,3.3676773620605465,True,REGULAR,USD,call,2025-06-13
META250613C00400000,2025-06-05 14:23:34+00:00,400.0,289.8,294.5,296.45,0.0,0.0,4.0,3.0,3.14843962890625,True,REGULAR,USD,call,2025-06-13
META250613C00405000,2025-05-30 19:50:00+00:00,405.0,241.85,288.2,292.0,0.0,0.0,1.0,1.0,2.948733096923828,True,REGULAR,USD,call,2025-06-13
META250613C00425000,2025-06-05 14:21:46+00:00,425.0,263.95,268.95,271.15,0.0,0.0,3.0,3.0,2.6948274816894533,True,REGULAR,USD,call,2025-06-13
META250613C00430000,2025-06-03 14:00:00+00:00,430.0,272.24,264.45,266.55,33.98999,14.266522,2.0,3.0,2.7900420874023437,True,REGULAR,USD,call,2025-06-13
META250613C00435000,2025-06-02 19:46:30+00:00,435.0,236.59,258.55,261.1,0.0,0.0,1.0,1.0,2.49219126953125,True,REGULAR,USD,call,2025-06-13
META250613C00450000,2025-06-05 17:37:06+00:00,450.0,239.91,244.65,245.95,0.0,0.0,,1.0,2.4990271899414065,True,REGULAR,USD,call,2025-06-13
META250613C00460000,2025-05-13 13:44:03+00:00,460.0,190.89,234.5,236.5,0.0,0.0,1.0,0.0,2.44531638671875,True,REGULAR,USD,call,2025-06-13
META250613C00465000,2025-06-02 16:49:16+00:00,465.0,199.05,228.15,231.2,0.0,0.0,1.0,1.0,2.1142625268554687,True,REGULAR,USD,call,2025-06-13
META250613C00470000,2025-06-03 14:00:00+00:00,470.0,198.5,224.45,226.55,0.0,0.0,1.0,6.0,2.334965100097656,True,REGULAR,USD,call,2025-06-13
META250613C00475000,2025-06-06 14:29:17+00:00,475.0,221.85,219.6,221.15,0.0,0.0,4.0,4.0,2.247074694824218,True,REGULAR,USD,call,2025-06-13
META250613C00480000,2025-06-09 13:47:18+00:00,480.0,222.0,214.5,216.55,0.0,0.0,2.0,1.0,2.232426293945312,True,REGULAR,USD,call,2025-06-13
META250613C00485000,2025-06-10 19:54:50+00:00,485.0,216.55,209.75,211.35,0.0,0.0,3.0,194.0,2.1850631311035156,True,REGULAR,USD,call,2025-06-13
META250613C00490000,2025-05-30 14:19:26+00:00,490.0,156.35,204.55,206.65,0.0,0.0,22.0,22.0,2.1435593286132812,True,REGULAR,USD,call,2025-06-13
META250613C00495000,2025-06-04 16:44:36+00:00,495.0,186.6,199.65,201.25,0.0,0.0,2.0,13.0,2.054204083251953,True,REGULAR,USD,call,2025-06-13
META250613C00500000,2025-06-09 18:31:11+00:00,500.0,200.13,194.15,195.9,0.0,0.0,4.0,37.0,1.8896489892578123,True,REGULAR,USD,call,2025-06-13
META250613C00505000,2025-06-05 16:51:40+00:00,505.0,183.45,189.55,191.55,0.0,0.0,2.0,5.0,1.9736329443359377,True,REGULAR,USD,call,2025-06-13
META250613C00510000,2025-06-11 14:41:02+00:00,510.0,193.29,184.25,186.6,5.7599945,3.0715055,6.0,19.0,1.8933110803222655,True,REGULAR,USD,call,2025-06-13
META250613C00515000,2025-05-30 19:50:00+00:00,515.0,131.9,179.6,181.55,0.0,0.0,1.0,45.0,1.8757330432128905,True,REGULAR,USD,call,2025-06-13
META250613C00520000,2025-06-10 19:55:37+00:00,520.0,184.7,174.55,176.55,2.199997,1.2054778,1.0,35.0,1.8193368408203123,True,REGULAR,USD,call,2025-06-13
META250613C00525000,2025-06-06 14:42:33+00:00,525.0,173.07,169.6,171.05,0.0,0.0,2.0,8.0,1.7192396850585938,True,REGULAR,USD,call,2025-06-13
META250613C00530000,2025-06-09 18:28:50+00:00,530.0,170.23,164.55,166.25,0.0,0.0,2.0,12.0,1.6865250048828124,True,REGULAR,USD,call,2025-06-13
META250613C00535000,2025-06-11 13:30:08+00:00,535.0,172.59,158.75,160.5,6.9799957,4.214719,2.0,15.0,1.435549697265625,True,REGULAR,USD,call,2025-06-13
