contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
MRK250613C00060000,2025-05-12 18:37:27+00:00,60.0,21.16,19.95,20.35,0.0,0.0,,2,1.6796891015625,True,REGULAR,USD,call,2025-06-13
MRK250613C00063000,2025-06-05 15:07:38+00:00,63.0,15.2,17.0,17.3,0.0,0.0,,2,1.3125034374999998,True,REGULAR,USD,call,2025-06-13
MRK250613C00065000,2025-05-14 15:40:01+00:00,65.0,10.91,14.4,15.3,0.0,0.0,,1,1.1640666796875,True,REGULAR,USD,call,2025-06-13
MRK250613C00066000,2025-05-16 19:46:01+00:00,66.0,10.57,13.8,14.4,0.0,0.0,1.0,1,1.2851598242187499,True,REGULAR,USD,call,2025-06-13
MRK250613C00067000,2025-05-20 14:10:01+00:00,67.0,12.38,12.9,13.35,0.0,0.0,2.0,1,1.125004375,True,REGULAR,USD,call,2025-06-13
MRK250613C00068000,2025-05-30 15:39:30+00:00,68.0,9.43,11.9,12.6,0.0,0.0,1.0,2,0.7656273437500001,True,REGULAR,USD,call,2025-06-13
MRK250613C00069000,2025-06-10 14:26:23+00:00,69.0,11.65,11.05,11.35,0.0,0.0,6.0,6,0.9687503125,True,REGULAR,USD,call,2025-06-13
MRK250613C00070000,2025-06-11 16:00:38+00:00,70.0,10.62,9.95,10.35,1.3000002,13.9485,1.0,23,0.8945323046874999,True,REGULAR,USD,call,2025-06-13
MRK250613C00071000,2025-06-11 14:23:09+00:00,71.0,10.1,8.85,9.3,2.3100004,29.653408,1.0,212,0.73437765625,True,REGULAR,USD,call,2025-06-13
MRK250613C00072000,2025-06-03 13:41:02+00:00,72.0,4.6,8.1,8.35,0.0,0.0,2.0,9,0.7402369726562499,True,REGULAR,USD,call,2025-06-13
MRK250613C00073000,2025-06-10 17:29:09+00:00,73.0,8.8,7.2,7.45,0.0,0.0,10.0,98,0.63086306640625,True,REGULAR,USD,call,2025-06-13
MRK250613C00074000,2025-06-10 17:11:22+00:00,74.0,7.8,6.2,6.45,0.0,0.0,1.0,46,0.5566450585937501,True,REGULAR,USD,call,2025-06-13
MRK250613C00075000,2025-06-10 18:53:16+00:00,75.0,5.8,5.2,5.95,-0.6999998,-10.769228,10.0,201,0.68555001953125,True,REGULAR,USD,call,2025-06-13
