contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
MSFT250613C00230000,2025-06-10 17:29:05+00:00,230.0,243.92,241.45,243.4,4.25,1.7732716,1.0,0,3.60156349609375,True,REGULAR,USD,call,2025-06-13
MSFT250613C00240000,2025-06-09 14:00:35+00:00,240.0,229.93,231.25,233.65,0.0,0.0,3.0,0,3.6093759765625,True,REGULAR,USD,call,2025-06-13
MSFT250613C00255000,2025-06-11 18:23:24+00:00,255.0,216.76,216.3,218.5,34.259995,18.7726,5.0,1,3.2109394726562495,True,REGULAR,USD,call,2025-06-13
MSFT250613C00320000,2025-06-06 15:30:49+00:00,320.0,150.39,151.4,153.5,0.0,0.0,1.0,0,2.1367234082031246,True,REGULAR,USD,call,2025-06-13
MSFT250613C00325000,2025-06-02 15:03:53+00:00,325.0,136.15,146.2,148.5,0.0,0.0,,1,2.0615282836914064,True,REGULAR,USD,call,2025-06-13
MSFT250613C00340000,2025-05-23 18:44:30+00:00,340.0,132.81,131.25,133.45,19.579994,17.29223,10.0,0,1.8193368408203123,True,REGULAR,USD,call,2025-06-13
MSFT250613C00355000,2025-05-19 15:28:26+00:00,355.0,103.24,116.45,118.55,0.0,0.0,2.0,2,1.6552751611328125,True,REGULAR,USD,call,2025-06-13
MSFT250613C00360000,2025-06-03 15:59:23+00:00,360.0,103.02,111.05,113.15,0.0,0.0,1.0,0,1.3750031249999999,True,REGULAR,USD,call,2025-06-13
MSFT250613C00370000,2025-06-06 14:05:23+00:00,370.0,105.29,100.85,103.2,2.290001,2.223302,2.0,0,1.2851598242187499,True,REGULAR,USD,call,2025-06-13
MSFT250613C00375000,2025-06-09 14:23:43+00:00,375.0,97.5,96.45,98.3,1.7699966,1.8489466,2.0,15,1.2773473632812498,True,REGULAR,USD,call,2025-06-13
MSFT250613C00380000,2025-06-06 19:45:12+00:00,380.0,91.1,91.3,93.75,0.0,0.0,8.0,0,1.3798859130859373,True,REGULAR,USD,call,2025-06-13
MSFT250613C00385000,2025-06-10 13:45:28+00:00,385.0,85.53,86.25,88.55,0.0,0.0,2.0,13,1.2480506347656248,True,REGULAR,USD,call,2025-06-13
MSFT250613C00390000,2025-06-11 18:27:19+00:00,390.0,82.15,81.4,83.5,1.300003,1.6079197,7.0,207,1.1655315161132815,True,REGULAR,USD,call,2025-06-13
MSFT250613C00395000,2025-06-11 17:54:42+00:00,395.0,78.6,76.1,78.5,0.049995422,0.063647896,10.0,0,1.1005904345703126,True,REGULAR,USD,call,2025-06-13
MSFT250613C00400000,2025-06-11 17:43:27+00:00,400.0,73.8,71.9,73.4,1.1200027,1.5410054,17.0,0,1.003422951660156,True,REGULAR,USD,call,2025-06-13
MSFT250613C00405000,2025-06-10 18:26:08+00:00,405.0,68.02,66.15,68.3,4.199997,6.581004,1.0,60,0.905274384765625,True,REGULAR,USD,call,2025-06-13
MSFT250613C00410000,2025-06-11 16:05:31+00:00,410.0,65.11,61.35,63.6,6.3899994,10.882152,3.0,0,0.9350592431640624,True,REGULAR,USD,call,2025-06-13
