contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
NEE250613C00059000,2025-06-05 14:07:18+00:00,59.0,11.4,13.85,14.1,0.0,0.0,10.0,10,1.140629296875,True,REGULAR,USD,call,2025-06-13
NEE250613C00060000,2025-05-12 18:04:01+00:00,60.0,10.36,12.85,13.1,0.0,0.0,,0,1.0625046875000002,True,REGULAR,USD,call,2025-06-13
NEE250613C00062000,2025-06-02 14:56:16+00:00,62.0,8.3,10.85,11.1,0.0,0.0,1.0,1,0.9062509375,True,REGULAR,USD,call,2025-06-13
NEE250613C00063000,2025-06-02 14:47:35+00:00,63.0,7.0,9.85,10.1,0.0,0.0,30.0,29,0.8281267187499999,True,REGULAR,USD,call,2025-06-13
NEE250613C00064000,2025-05-30 18:28:27+00:00,64.0,6.15,8.9,9.15,0.0,0.0,275.0,0,0.8554701953125,True,REGULAR,USD,call,2025-06-13
NEE250613C00065000,2025-06-05 19:23:03+00:00,65.0,6.65,7.9,8.15,0.0,0.0,5.0,3,0.7695335546875001,True,REGULAR,USD,call,2025-06-13
NEE250613C00066000,2025-05-30 16:36:58+00:00,66.0,4.0,6.9,7.1,0.0,0.0,2.0,1,0.648441015625,True,REGULAR,USD,call,2025-06-13
NEE250613C00067000,2025-06-04 18:15:22+00:00,67.0,4.21,5.3,6.85,0.0,0.0,19.0,78,0.6621127539062501,True,REGULAR,USD,call,2025-06-13
NEE250613C00068000,2025-06-06 18:18:38+00:00,68.0,4.35,5.0,5.15,0.0,0.0,4.0,156,0.5722699023437501,True,REGULAR,USD,call,2025-06-13
NEE250613C00069000,2025-06-10 16:23:05+00:00,69.0,4.17,4.0,4.15,0.0,0.0,1.0,191,0.5410202148437502,True,REGULAR,USD,call,2025-06-13
NEE250613C00070000,2025-06-11 14:55:46+00:00,70.0,3.6,3.05,3.3,0.8399999,30.43478,6.0,354,0.5293015820312501,True,REGULAR,USD,call,2025-06-13
NEE250613C00071000,2025-06-11 17:50:57+00:00,71.0,2.57,2.16,2.48,0.47000003,22.380955,31.0,563,0.49805189453125004,True,REGULAR,USD,call,2025-06-13
NEE250613C00072000,2025-06-11 15:18:32+00:00,72.0,1.58,1.44,1.64,0.20000005,14.492757,25.0,985,0.42627526855468756,True,REGULAR,USD,call,2025-06-13
