contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
NFLX250613C00450000,2025-06-10 16:11:35+00:00,450.0,742.26,765.2,771.85,0.0,0.0,10.0,5,5.2695346630859365,True,REGULAR,USD,call,2025-06-13
NFLX250613C00480000,2025-06-11 17:32:16+00:00,480.0,744.97,735.6,741.95,7.73999,1.0498745,3.0,3,4.9834022082519525,True,REGULAR,USD,call,2025-06-13
NFLX250613C00500000,2025-06-11 16:49:02+00:00,500.0,726.2,715.05,722.0,34.549988,4.9952993,2.0,3,4.796390723266601,True,REGULAR,USD,call,2025-06-13
NFLX250613C00620000,2025-06-06 19:38:20+00:00,620.0,628.5,595.3,602.0,0.0,0.0,1.0,0,3.7309577038574218,True,REGULAR,USD,call,2025-06-13
NFLX250613C00665000,2025-05-16 16:31:14+00:00,665.0,528.9,549.55,556.7,0.0,0.0,1.0,1,3.314454838867187,True,REGULAR,USD,call,2025-06-13
NFLX250613C00670000,2025-06-03 13:41:50+00:00,670.0,547.24,545.0,551.65,0.0,0.0,,1,3.2661151159667967,True,REGULAR,USD,call,2025-06-13
NFLX250613C00680000,2025-06-09 14:38:30+00:00,680.0,552.77,534.3,539.7,0.0,0.0,1.0,1,2.3378947802734364,True,REGULAR,USD,call,2025-06-13
NFLX250613C00700000,2025-06-11 14:11:39+00:00,700.0,509.0,515.55,521.1,17.839996,3.632217,2.0,3,2.9160183349609374,True,REGULAR,USD,call,2025-06-13
NFLX250613C00705000,2025-06-09 19:48:31+00:00,705.0,518.46,510.3,517.0,0.0,0.0,1.0,1,3.092287425537109,True,REGULAR,USD,call,2025-06-13
NFLX250613C00725000,2025-05-23 17:18:08+00:00,725.0,466.5,489.6,496.8,0.0,0.0,1.0,1,2.912112094726563,True,REGULAR,USD,call,2025-06-13
NFLX250613C00740000,2025-05-23 15:42:53+00:00,740.0,451.0,475.3,481.05,0.0,0.0,1.0,1,2.641116678466797,True,REGULAR,USD,call,2025-06-13
NFLX250613C00745000,2025-06-04 14:48:37+00:00,745.0,488.6,470.65,477.0,0.0,0.0,1.0,0,2.815920928955078,True,REGULAR,USD,call,2025-06-13
NFLX250613C00750000,2025-06-04 14:48:37+00:00,750.0,483.57,465.65,472.0,0.0,0.0,1.0,6,2.782717886962891,True,REGULAR,USD,call,2025-06-13
NFLX250613C00770000,2025-06-10 13:57:51+00:00,770.0,442.54,445.0,452.1,0.0,0.0,1.0,1,2.6679720800781253,True,REGULAR,USD,call,2025-06-13
NFLX250613C00790000,2025-06-06 13:50:35+00:00,790.0,463.3,425.0,432.0,0.0,0.0,5.0,5,2.5209997912597655,True,REGULAR,USD,call,2025-06-13
NFLX250613C00800000,2025-06-10 16:13:59+00:00,800.0,415.5,415.5,422.0,24.290009,6.2089443,2.0,2,2.457523387451172,True,REGULAR,USD,call,2025-06-13
NFLX250613C00810000,2025-06-05 19:44:55+00:00,810.0,444.53,405.7,411.8,0.0,0.0,1.0,2,2.3605998016357415,True,REGULAR,USD,call,2025-06-13
NFLX250613C00830000,2025-05-29 19:57:50+00:00,830.0,356.42,385.6,392.4,0.0,0.0,,1,2.331302999877929,True,REGULAR,USD,call,2025-06-13
