contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
NVDA250613C00010000,2025-06-10 19:31:06+00:00,10.0,133.6,132.2,132.65,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00015000,2025-06-11 14:28:34+00:00,15.0,129.15,127.3,127.7,1.0599976,0.82754123,2.0,6.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00020000,2025-06-10 16:43:55+00:00,20.0,123.11,122.15,122.5,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00025000,2025-06-10 19:00:27+00:00,25.0,119.2,117.3,117.65,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00030000,2025-06-10 18:08:24+00:00,30.0,112.41,112.1,112.55,0.0,0.0,5.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00035000,2025-06-09 19:03:25+00:00,35.0,107.88,107.2,107.6,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00040000,2025-06-10 16:40:35+00:00,40.0,103.07,102.2,102.6,0.0,0.0,4.0,42.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00045000,2025-06-10 16:40:35+00:00,45.0,98.07,97.15,97.65,0.0,0.0,4.0,6.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00050000,2025-06-09 18:14:28+00:00,50.0,92.44,92.25,92.65,0.0,0.0,1.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00055000,2025-06-10 19:01:32+00:00,55.0,88.83,87.3,87.8,0.0,0.0,100.0,2.0,3.8593753515625,True,REGULAR,USD,call,2025-06-13
NVDA250613C00060000,2025-06-11 15:08:51+00:00,60.0,84.16,82.15,82.8,0.010002136,0.01188608,6.0,43.0,3.5312511718749997,True,REGULAR,USD,call,2025-06-13
NVDA250613C00065000,2025-06-09 17:55:38+00:00,65.0,77.0,77.3,77.8,0.0,0.0,16.0,13.0,3.2187519531249995,True,REGULAR,USD,call,2025-06-13
NVDA250613C00070000,2025-06-11 18:16:38+00:00,70.0,72.28,72.4,72.7,-0.8199997,-1.1217506,77.0,26.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00075000,2025-06-10 16:34:16+00:00,75.0,68.1,67.4,67.7,0.0,0.0,6.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00080000,2025-06-11 19:16:41+00:00,80.0,62.4,62.2,62.55,-1.75,-2.7279813,56.0,208.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00085000,2025-06-11 19:10:14+00:00,85.0,57.38,57.25,57.55,-1.8699989,-3.1561162,53.0,174.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00090000,2025-06-11 18:54:49+00:00,90.0,52.55,52.35,52.85,-0.11999893,-0.22783166,4.0,63.0,2.2031294921874993,True,REGULAR,USD,call,2025-06-13
NVDA250613C00093000,2025-06-11 14:19:42+00:00,93.0,51.25,49.25,49.7,1.7799988,3.5981376,1.0,28.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00094000,2025-06-11 14:20:48+00:00,94.0,50.1,48.25,48.8,1.6299973,3.362899,2.0,4.0,1.7968760156249999,True,REGULAR,USD,call,2025-06-13
NVDA250613C00095000,2025-06-10 19:23:11+00:00,95.0,47.96,47.25,47.75,-1.0600014,-2.1623855,2.0,41.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00096000,2025-06-09 13:40:27+00:00,96.0,47.23,46.3,46.8,0.0,0.0,1.0,11.0,1.703126484375,True,REGULAR,USD,call,2025-06-13
NVDA250613C00097000,2025-06-06 18:44:24+00:00,97.0,45.5,45.25,45.7,0.0,0.0,7.0,21.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00098000,2025-06-10 18:08:24+00:00,98.0,44.47,44.2,44.65,0.0,0.0,4.0,19.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00099000,2025-06-11 14:21:43+00:00,99.0,43.6,43.3,43.75,-0.3500023,-0.79636467,6.0,14.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00100000,2025-06-11 18:12:03+00:00,100.0,42.36,42.2,42.55,-1.5599976,-3.551907,102.0,546.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00101000,2025-06-11 14:43:11+00:00,101.0,43.15,41.15,41.65,0.6100006,1.4339459,6.0,13.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00102000,2025-06-11 17:12:37+00:00,102.0,41.8,40.25,40.7,0.66999817,1.6289768,3.0,109.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00103000,2025-06-11 18:24:41+00:00,103.0,39.6,39.25,39.7,0.049999237,0.12642032,4.0,134.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00104000,2025-06-11 17:12:51+00:00,104.0,39.7,38.25,38.85,0.61999893,1.5864865,2.0,62.0,1.57422087890625,True,REGULAR,USD,call,2025-06-13
NVDA250613C00105000,2025-06-11 18:58:25+00:00,105.0,37.39,37.35,37.75,-0.33000183,-0.87487227,3.0,532.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00106000,2025-06-11 14:43:11+00:00,106.0,38.55,36.3,36.65,1.0299988,2.7451992,11.0,540.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00107000,2025-06-11 19:14:47+00:00,107.0,35.5,35.3,35.75,-1.2400017,-3.3750725,12.0,210.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00108000,2025-06-11 18:37:49+00:00,108.0,34.8,34.45,34.8,0.38000107,1.1040125,25.0,694.0,1.2421912890624998,True,REGULAR,USD,call,2025-06-13
NVDA250613C00109000,2025-06-11 18:04:16+00:00,109.0,33.37,33.35,33.65,-1.3300018,-3.8328583,46.0,164.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00110000,2025-06-11 18:09:44+00:00,110.0,32.87,32.4,32.55,-0.920002,-2.722705,106.0,15787.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00111000,2025-06-11 19:08:17+00:00,111.0,31.1,31.35,31.8,-1.5699978,-4.805626,72.0,379.0,1.1328168359375002,True,REGULAR,USD,call,2025-06-13
NVDA250613C00112000,2025-06-11 18:01:35+00:00,112.0,31.03,30.15,30.55,-0.9699993,-3.0312479,18.0,955.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00113000,2025-06-11 18:27:03+00:00,113.0,29.57,29.45,29.75,-1.1800003,-3.8373995,121.0,685.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00114000,2025-06-11 18:40:06+00:00,114.0,28.85,28.1,28.55,-0.049999237,-0.17300774,12.0,487.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00115000,2025-06-11 19:26:11+00:00,115.0,27.5,27.45,27.65,-1.3799992,-4.7783904,42.0,960.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00116000,2025-06-11 18:01:38+00:00,116.0,26.79,26.35,26.8,-1.0599995,-3.8061023,16.0,432.0,0.9531254687499999,True,REGULAR,USD,call,2025-06-13
NVDA250613C00117000,2025-06-11 18:42:11+00:00,117.0,25.95,25.2,25.5,0.15000153,0.5814013,23.0,405.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00118000,2025-06-11 19:14:05+00:00,118.0,24.48,24.35,24.65,-1.3100014,-5.0794935,31.0,557.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00119000,2025-06-11 19:21:07+00:00,119.0,23.54,23.25,23.6,-1.1199989,-4.541764,34.0,650.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00120000,2025-06-11 19:19:57+00:00,120.0,22.31,22.6,22.7,-1.3400002,-5.6659627,186.0,23618.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00121000,2025-06-11 17:14:08+00:00,121.0,21.88,21.35,21.75,-1.0700016,-4.6623163,18.0,415.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00122000,2025-06-11 18:27:44+00:00,122.0,20.5,20.5,20.7,-1.2999992,-5.9632993,35.0,670.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00123000,2025-06-11 19:15:14+00:00,123.0,19.6,19.5,19.65,-1.3699989,-6.533138,35.0,1347.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00124000,2025-06-11 18:14:03+00:00,124.0,18.56,18.4,18.6,-1.4800014,-7.3852367,15.0,577.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00125000,2025-06-11 19:20:28+00:00,125.0,17.35,17.5,17.6,-1.6999989,-8.923879,99.0,3165.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00126000,2025-06-11 19:19:40+00:00,126.0,16.4,16.35,16.5,-1.3500004,-7.6056356,26.0,899.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00127000,2025-06-11 17:29:51+00:00,127.0,15.45,15.5,15.65,-1.29,-7.7060933,530.0,804.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00128000,2025-06-11 19:04:47+00:00,128.0,14.18,14.55,14.7,-1.5999994,-10.139413,531.0,777.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00129000,2025-06-11 19:02:59+00:00,129.0,13.51,13.5,13.7,-1.2600002,-8.530807,16.0,1425.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00130000,2025-06-11 19:07:03+00:00,130.0,12.02,12.6,12.7,-2.08,-14.751773,996.0,15939.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00131000,2025-06-11 19:22:04+00:00,131.0,11.41,11.65,11.75,-1.6999998,-12.967199,50.0,2671.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00132000,2025-06-11 19:08:53+00:00,132.0,10.33,10.65,10.75,-1.4700003,-12.457629,125.0,1648.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00133000,2025-06-11 19:13:15+00:00,133.0,9.6,9.55,9.7,-1.4899998,-13.435525,151.0,4156.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00134000,2025-06-11 19:10:24+00:00,134.0,8.53,8.65,8.75,-1.4200001,-14.271357,207.0,6513.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00135000,2025-06-11 19:25:11+00:00,135.0,7.77,7.65,7.8,-1.4299998,-15.543477,1226.0,5622.0,0.304694453125,True,REGULAR,USD,call,2025-06-13
NVDA250613C00136000,2025-06-11 19:20:30+00:00,136.0,6.59,6.6,6.75,-1.6499996,-20.02427,455.0,5444.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
NVDA250613C00137000,2025-06-11 19:14:27+00:00,137.0,5.8,5.7,5.8,-1.48,-20.32967,558.0,3259.0,0.23438265625,True,REGULAR,USD,call,2025-06-13
NVDA250613C00138000,2025-06-11 19:25:32+00:00,138.0,5.0,4.9,5.0,-1.4000001,-21.875002,1027.0,5209.0,0.3154365332031249,True,REGULAR,USD,call,2025-06-13
NVDA250613C00139000,2025-06-11 19:26:12+00:00,139.0,4.05,4.05,4.15,-1.4499998,-26.363634,1199.0,8133.0,0.31592480957031244,True,REGULAR,USD,call,2025-06-13
NVDA250613C00140000,2025-06-11 19:25:27+00:00,140.0,3.35,3.3,3.4,-1.3499999,-28.723402,9564.0,17546.0,0.32471378417968744,True,REGULAR,USD,call,2025-06-13
NVDA250613C00141000,2025-06-11 19:26:05+00:00,141.0,2.59,2.59,2.62,-1.3100002,-33.58975,3949.0,6122.0,0.3078682495117187,True,REGULAR,USD,call,2025-06-13
NVDA250613C00142000,2025-06-11 19:26:20+00:00,142.0,1.93,1.84,1.86,-1.2700001,-39.6875,18194.0,25068.0,0.2802806347656249,True,REGULAR,USD,call,2025-06-13
NVDA250613C00143000,2025-06-11 19:27:01+00:00,143.0,1.4,1.41,1.42,-1.15,-44.74708,54886.0,31449.0,0.2963937548828125,False,REGULAR,USD,call,2025-06-13
NVDA250613C00144000,2025-06-11 19:26:54+00:00,144.0,0.99,0.98,0.99,-1.0,-50.251255,90951.0,28818.0,0.29444064941406245,False,REGULAR,USD,call,2025-06-13
NVDA250613C00145000,2025-06-11 19:26:54+00:00,145.0,0.65,0.63,0.65,-0.87,-57.236843,132992.0,75009.0,0.29004616210937495,False,REGULAR,USD,call,2025-06-13
NVDA250613C00146000,2025-06-11 19:26:51+00:00,146.0,0.4,0.39,0.4,-0.73,-64.60177,56054.0,69874.0,0.28516339843749994,False,REGULAR,USD,call,2025-06-13
NVDA250613C00147000,2025-06-11 19:24:14+00:00,147.0,0.24,0.26,0.27,-0.59,-71.084335,26939.0,51306.0,0.29492892578124996,False,REGULAR,USD,call,2025-06-13
