contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
ORCL250613C00120000,2025-06-11 19:22:12+00:00,120.0,57.05,56.75,57.5,2.619999,4.8135195,1.0,11,2.4824256689453126,True,REGULAR,USD,call,2025-06-13
ORCL250613C00125000,2025-06-06 19:49:27+00:00,125.0,49.25,51.0,53.4,0.0,0.0,9.0,4,2.3164104589843744,True,REGULAR,USD,call,2025-06-13
ORCL250613C00126000,2025-06-02 17:35:38+00:00,126.0,40.1,50.6,51.7,0.0,0.0,1.0,2,2.2343794140624995,True,REGULAR,USD,call,2025-06-13
ORCL250613C00127000,2025-06-04 19:45:50+00:00,127.0,41.61,49.1,51.15,0.0,0.0,1.0,1,2.1718795703125,True,REGULAR,USD,call,2025-06-13
ORCL250613C00128000,2025-05-29 16:22:55+00:00,128.0,35.35,48.0,50.45,0.0,0.0,10.0,11,2.200199812011718,True,REGULAR,USD,call,2025-06-13
ORCL250613C00129000,2025-06-04 19:19:42+00:00,129.0,39.66,47.45,48.7,0.0,0.0,3.0,2,2.0488330029296877,True,REGULAR,USD,call,2025-06-13
ORCL250613C00130000,2025-06-06 19:46:16+00:00,130.0,47.2,46.1,48.3,2.290001,5.099089,1.0,13,2.095707885742187,True,REGULAR,USD,call,2025-06-13
ORCL250613C00131000,2025-06-10 13:54:24+00:00,131.0,44.0,44.85,47.3,0.0,0.0,4.0,24,1.96484392578125,True,REGULAR,USD,call,2025-06-13
ORCL250613C00133000,2025-06-06 19:58:24+00:00,133.0,46.23,42.95,45.3,4.7599983,11.478172,1.0,32,1.9160160449218753,True,REGULAR,USD,call,2025-06-13
ORCL250613C00134000,2025-06-06 19:27:21+00:00,134.0,40.9,42.8,44.7,0.0,0.0,2.0,14,2.216801333007812,True,REGULAR,USD,call,2025-06-13
ORCL250613C00135000,2025-06-06 17:35:57+00:00,135.0,43.08,40.95,43.3,4.630001,12.0416155,21.0,34,1.8330086474609373,True,REGULAR,USD,call,2025-06-13
ORCL250613C00136000,2025-06-11 17:08:37+00:00,136.0,43.32,40.05,41.5,4.1399994,10.566614,1.0,4,1.50390873046875,True,REGULAR,USD,call,2025-06-13
ORCL250613C00137000,2025-06-10 15:44:16+00:00,137.0,38.35,39.65,41.15,0.0,0.0,1.0,3,1.9082035839843752,True,REGULAR,USD,call,2025-06-13
ORCL250613C00138000,2025-06-10 15:45:19+00:00,138.0,37.35,38.75,40.65,0.0,0.0,5.0,7,2.00781748046875,True,REGULAR,USD,call,2025-06-13
ORCL250613C00139000,2025-06-11 15:38:02+00:00,139.0,40.5,37.8,38.6,4.200001,11.57025,3.0,25,1.712892060546875,True,REGULAR,USD,call,2025-06-13
ORCL250613C00140000,2025-06-11 15:25:33+00:00,140.0,37.3,36.55,38.4,0.16999817,0.45784584,63.0,26,1.8144540527343749,True,REGULAR,USD,call,2025-06-13
ORCL250613C00141000,2025-06-10 15:19:08+00:00,141.0,36.15,35.6,36.95,0.0,0.0,5.0,7,1.6709000830078127,True,REGULAR,USD,call,2025-06-13
ORCL250613C00142000,2025-06-10 15:44:16+00:00,142.0,35.97,34.0,35.45,2.6000023,7.791437,1.0,25,1.236331943359375,True,REGULAR,USD,call,2025-06-13
ORCL250613C00143000,2025-06-11 17:12:37+00:00,143.0,36.14,33.85,35.45,0.8499985,2.4086099,37.0,125,1.7587902685546877,True,REGULAR,USD,call,2025-06-13
ORCL250613C00144000,2025-06-09 16:11:29+00:00,144.0,34.27,33.05,33.4,0.0,0.0,2.0,171,1.5205102099609373,True,REGULAR,USD,call,2025-06-13
ORCL250613C00145000,2025-06-11 18:38:29+00:00,145.0,32.8,30.95,32.3,2.33,7.646866,6.0,164,0.9960937890625,True,REGULAR,USD,call,2025-06-13
ORCL250613C00146000,2025-06-10 15:29:31+00:00,146.0,31.4,29.75,32.7,0.0,0.0,1.0,5,1.4384793701171876,True,REGULAR,USD,call,2025-06-13
ORCL250613C00147000,2025-06-10 15:17:00+00:00,147.0,30.72,28.3,32.2,2.3199997,8.169013,1.0,42,1.4091826416015625,True,REGULAR,USD,call,2025-06-13
ORCL250613C00148000,2025-06-11 15:47:51+00:00,148.0,32.05,28.2,31.05,5.199999,19.366848,10.0,22,1.5273461132812498,True,REGULAR,USD,call,2025-06-13
ORCL250613C00149000,2025-06-11 18:21:54+00:00,149.0,28.8,27.2,29.35,-1.4500008,-4.7933908,52.0,27,1.338870493164062,True,REGULAR,USD,call,2025-06-13
ORCL250613C00150000,2025-06-11 19:00:57+00:00,150.0,27.2,26.55,27.9,-1.3199997,-4.6283298,85.0,101,1.2753942480468747,True,REGULAR,USD,call,2025-06-13
ORCL250613C00152500,2025-06-11 18:03:50+00:00,152.5,25.2,24.65,25.9,1.1599998,4.82529,66.0,110,1.3808624707031247,True,REGULAR,USD,call,2025-06-13
ORCL250613C00155000,2025-06-11 19:22:39+00:00,155.0,22.52,21.15,24.3,0.7200012,3.302758,170.0,148,1.2529334228515623,True,REGULAR,USD,call,2025-06-13
ORCL250613C00157500,2025-06-10 14:14:28+00:00,157.5,20.5,20.15,21.1,0.79999924,4.0609097,11.0,216,1.2568396533203123,True,REGULAR,USD,call,2025-06-13
ORCL250613C00160000,2025-06-11 19:22:39+00:00,160.0,18.0,18.0,18.35,-0.87000084,-4.610497,176.0,525,1.1508831518554685,True,REGULAR,USD,call,2025-06-13
ORCL250613C00162500,2025-06-11 18:26:41+00:00,162.5,16.4,15.7,16.1,0.54999924,3.4700267,61.0,517,1.083988955078125,True,REGULAR,USD,call,2025-06-13
ORCL250613C00165000,2025-06-11 18:55:03+00:00,165.0,13.82,13.9,14.15,-1.0200005,-6.873318,43.0,1453,1.0908248583984377,True,REGULAR,USD,call,2025-06-13
ORCL250613C00167500,2025-06-11 19:17:52+00:00,167.5,12.24,11.45,12.25,-0.6999998,-5.4095817,144.0,557,1.0166064794921876,True,REGULAR,USD,call,2025-06-13
ORCL250613C00170000,2025-06-11 19:16:09+00:00,170.0,10.42,10.35,10.55,-0.84000015,-7.4600368,550.0,1154,1.0647019421386719,True,REGULAR,USD,call,2025-06-13
ORCL250613C00172500,2025-06-11 19:07:19+00:00,172.5,8.86,8.8,8.95,-0.8299999,-8.565531,471.0,617,1.0546922265625,True,REGULAR,USD,call,2025-06-13
ORCL250613C00175000,2025-06-11 19:26:46+00:00,175.0,7.34,7.4,7.6,-0.96000004,-11.566265,1310.0,1773,1.0537156689453124,True,REGULAR,USD,call,2025-06-13
ORCL250613C00177500,2025-06-11 19:27:19+00:00,177.5,6.25,6.05,6.2,-0.6999998,-10.263927,3222.0,2067,1.0295458679199219,False,REGULAR,USD,call,2025-06-13
ORCL250613C00180000,2025-06-11 19:25:49+00:00,180.0,5.15,4.95,5.1,-0.63999987,-11.053538,4207.0,2790,1.0251513586425784,False,REGULAR,USD,call,2025-06-13
ORCL250613C00182500,2025-06-11 19:26:27+00:00,182.5,4.05,4.0,4.15,-0.77,-15.975103,1637.0,998,1.021489267578125,False,REGULAR,USD,call,2025-06-13
ORCL250613C00185000,2025-06-11 19:26:03+00:00,185.0,3.24,3.2,3.3,-0.6600001,-16.879797,3798.0,1933,1.015629921875,False,REGULAR,USD,call,2025-06-13
ORCL250613C00187500,2025-06-11 19:26:27+00:00,187.5,2.51,2.37,2.51,-0.69000006,-21.562502,940.0,437,0.9877930908203125,False,REGULAR,USD,call,2025-06-13
ORCL250613C00190000,2025-06-11 19:26:53+00:00,190.0,1.92,1.9,2.0,-0.58000004,-23.2,5492.0,2185,0.9978027563476561,False,REGULAR,USD,call,2025-06-13
ORCL250613C00192500,2025-06-11 19:26:16+00:00,192.5,1.45,1.45,1.5,-0.56999993,-28.21782,2415.0,2698,0.9897461962890625,False,REGULAR,USD,call,2025-06-13
ORCL250613C00195000,2025-06-11 19:26:28+00:00,195.0,1.07,1.07,1.13,-0.4899999,-31.41025,3009.0,2746,0.9829103271484375,False,REGULAR,USD,call,2025-06-13
ORCL250613C00200000,2025-06-11 19:26:16+00:00,200.0,0.61,0.57,0.61,-0.33999997,-35.78947,5245.0,2530,0.973633076171875,False,REGULAR,USD,call,2025-06-13
ORCL250613C00205000,2025-06-11 19:16:36+00:00,205.0,0.33,0.32,0.33,-0.18999997,-36.538456,1499.0,982,0.981445498046875,False,REGULAR,USD,call,2025-06-13
