contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
PEP250613C00075000,2025-06-05 17:50:46+00:00,75.0,56.0,54.15,56.4,0.0,0.0,5.0,0,3.28906427734375,True,REGULAR,USD,call,2025-06-13
PEP250613C00080000,2025-06-05 17:50:46+00:00,80.0,51.05,49.05,51.85,0.0,0.0,5.0,0,3.1718770703125,True,REGULAR,USD,call,2025-06-13
PEP250613C00085000,2025-06-05 17:50:46+00:00,85.0,46.0,44.55,45.55,0.0,0.0,,0,2.2578168554687497,True,REGULAR,USD,call,2025-06-13
PEP250613C00090000,2025-06-05 17:50:46+00:00,90.0,41.1,38.95,41.4,0.0,0.0,,0,2.1972701318359373,True,REGULAR,USD,call,2025-06-13
PEP250613C00095000,2025-06-03 14:04:36+00:00,95.0,35.3,34.6,35.4,0.0,0.0,,0,1.6289081054687498,True,REGULAR,USD,call,2025-06-13
PEP250613C00110000,2025-06-10 14:33:08+00:00,110.0,20.5,20.0,20.4,0.0,0.0,1.0,6,1.15625421875,True,REGULAR,USD,call,2025-06-13
PEP250613C00115000,2025-06-06 13:56:02+00:00,115.0,15.6,14.8,15.65,0.0,0.0,12.0,12,0.918946123046875,True,REGULAR,USD,call,2025-06-13
PEP250613C00117000,2025-06-05 18:19:35+00:00,117.0,13.75,12.9,13.3,0.0,0.0,105.0,0,0.7304714453125,True,REGULAR,USD,call,2025-06-13
PEP250613C00118000,2025-06-06 13:35:41+00:00,118.0,12.4,11.95,12.7,0.0,0.0,11.0,11,0.8193377441406249,True,REGULAR,USD,call,2025-06-13
PEP250613C00119000,2025-06-11 15:46:47+00:00,119.0,10.95,10.9,11.25,-1.1500006,-9.504137,1.0,0,0.6171913281250001,True,REGULAR,USD,call,2025-06-13
PEP250613C00120000,2025-06-09 15:22:52+00:00,120.0,9.9,9.9,10.85,0.0,0.0,3.0,1,0.73437765625,True,REGULAR,USD,call,2025-06-13
PEP250613C00121000,2025-06-10 15:04:02+00:00,121.0,9.63,8.65,9.2,0.0,0.0,3.0,5,0.59570716796875,True,REGULAR,USD,call,2025-06-13
PEP250613C00122000,2025-06-10 15:20:27+00:00,122.0,8.89,7.85,8.25,0.0,0.0,3.0,3,0.56836369140625,True,REGULAR,USD,call,2025-06-13
PEP250613C00123000,2025-06-11 14:19:56+00:00,123.0,7.5,6.4,7.25,0.3499999,4.895104,1.0,1,0.5136767382812499,True,REGULAR,USD,call,2025-06-13
PEP250613C00124000,2025-06-05 18:19:30+00:00,124.0,6.55,6.05,6.25,0.0,0.0,70.0,0,0.45898978515625005,True,REGULAR,USD,call,2025-06-13
PEP250613C00125000,2025-06-11 17:09:48+00:00,125.0,5.28,4.6,5.2,-1.2199998,-18.769228,9.0,37,0.3833069482421875,True,REGULAR,USD,call,2025-06-13
PEP250613C00126000,2025-06-11 15:54:45+00:00,126.0,4.1,3.55,4.8,-1.8499999,-31.092436,28.0,87,0.508793974609375,True,REGULAR,USD,call,2025-06-13
PEP250613C00127000,2025-06-11 16:49:33+00:00,127.0,3.45,2.93,3.25,-0.85000014,-19.767445,33.0,80,0.28516339843749994,True,REGULAR,USD,call,2025-06-13
PEP250613C00128000,2025-06-11 17:56:48+00:00,128.0,2.68,2.26,2.44,-1.6200001,-37.67442,32.0,126,0.27246821289062495,True,REGULAR,USD,call,2025-06-13
PEP250613C00129000,2025-06-11 19:16:49+00:00,129.0,1.57,1.52,1.64,-1.15,-42.27941,83.0,336,0.242195078125,True,REGULAR,USD,call,2025-06-13
PEP250613C00130000,2025-06-11 19:27:32+00:00,130.0,1.03,0.92,1.03,-1.3199999,-56.170216,1450.0,1305,0.229499892578125,False,REGULAR,USD,call,2025-06-13
PEP250613C00131000,2025-06-11 19:17:03+00:00,131.0,0.54,0.52,0.58,-1.1199999,-67.46988,1441.0,1903,0.22022264160156246,False,REGULAR,USD,call,2025-06-13
PEP250613C00132000,2025-06-11 19:19:40+00:00,132.0,0.3,0.28,0.31,-0.84,-73.68421,789.0,1609,0.21973436523437498,False,REGULAR,USD,call,2025-06-13
PEP250613C00133000,2025-06-11 19:14:41+00:00,133.0,0.16,0.14,0.19,-0.54999995,-77.46479,627.0,1367,0.23535920898437498,False,REGULAR,USD,call,2025-06-13
PEP250613C00134000,2025-06-11 19:25:18+00:00,134.0,0.1,0.1,0.12,-0.37,-78.723404,318.0,1422,0.25196060546875,False,REGULAR,USD,call,2025-06-13
PEP250613C00135000,2025-06-11 19:16:34+00:00,135.0,0.07,0.06,0.08,-0.23000002,-76.66667,1314.0,1986,0.2695385546875,False,REGULAR,USD,call,2025-06-13
