contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
PG250613C00100000,2025-05-13 14:27:25+00:00,100.0,59.83,61.1,63.95,0.0,0.0,,2,2.792971767578125,True,REGULAR,USD,call,2025-06-13
PG250613C00140000,2025-06-09 15:45:21+00:00,140.0,22.95,21.75,22.2,0.0,0.0,1.0,1,0.6562534375000001,True,REGULAR,USD,call,2025-06-13
PG250613C00150000,2025-06-05 13:40:15+00:00,150.0,12.6,11.8,12.2,-1.3999996,-9.999998,14.0,16,0.37500625,True,REGULAR,USD,call,2025-06-13
PG250613C00155000,2025-06-11 16:17:02+00:00,155.0,7.45,6.95,7.25,-0.12000036,-1.5852095,3.0,70,0.2880930566406249,True,REGULAR,USD,call,2025-06-13
PG250613C00157500,2025-06-11 19:05:48+00:00,157.5,4.55,4.45,4.6,-1.5,-24.793388,5.0,105,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
PG250613C00160000,2025-06-11 18:15:29+00:00,160.0,2.35,1.99,2.33,-1.0500002,-30.882357,11.0,304,0.1401453173828125,True,REGULAR,USD,call,2025-06-13
PG250613C00162500,2025-06-11 18:53:28+00:00,162.5,0.77,0.61,0.78,-0.58000004,-42.962967,101.0,267,0.15869981933593752,False,REGULAR,USD,call,2025-06-13
PG250613C00165000,2025-06-11 19:16:49+00:00,165.0,0.16,0.12,0.15,-0.18,-52.941177,679.0,576,0.1645591357421875,False,REGULAR,USD,call,2025-06-13
PG250613C00167500,2025-06-11 18:46:08+00:00,167.5,0.05,0.04,0.05,-0.05,-50.0,226.0,1008,0.20410952148437497,False,REGULAR,USD,call,2025-06-13
PG250613C00170000,2025-06-11 19:15:00+00:00,170.0,0.02,0.01,0.03,-0.030000001,-60.0,32.0,2519,0.25586681640625003,False,REGULAR,USD,call,2025-06-13
PG250613C00172500,2025-06-10 19:43:13+00:00,172.5,0.03,0.0,0.5,0.0,0.0,17.0,150,0.5732464550781251,False,REGULAR,USD,call,2025-06-13
PG250613C00175000,2025-06-11 13:31:07+00:00,175.0,0.01,0.0,0.01,0.0,0.0,8.0,889,0.335944140625,False,REGULAR,USD,call,2025-06-13
PG250613C00177500,2025-06-09 17:49:16+00:00,177.5,0.01,0.0,0.5,0.0,0.0,1.0,288,0.637698935546875,False,REGULAR,USD,call,2025-06-13
PG250613C00180000,2025-06-09 13:46:54+00:00,180.0,0.01,0.0,0.53,0.0,0.0,1.0,70,0.7226590234375,False,REGULAR,USD,call,2025-06-13
PG250613C00185000,2025-05-22 19:56:08+00:00,185.0,0.04,0.0,0.5,0.0,0.0,,1,0.85742330078125,False,REGULAR,USD,call,2025-06-13
PG250613P00090000,2025-06-04 15:09:44+00:00,90.0,0.29,0.0,0.01,0.0,0.0,,1,2.0625048437499998,False,REGULAR,USD,put,2025-06-13
PG250613P00100000,2025-06-09 17:20:25+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1.0,2,1.6875015625,False,REGULAR,USD,put,2025-06-13
PG250613P00105000,2025-06-10 16:41:16+00:00,105.0,0.15,0.0,0.06,0.0,0.0,2.0,2,1.8281258593749998,False,REGULAR,USD,put,2025-06-13
PG250613P00110000,2025-06-10 16:41:16+00:00,110.0,0.17,0.0,0.06,0.0,0.0,2.0,1,1.65625171875,False,REGULAR,USD,put,2025-06-13
PG250613P00115000,2025-06-03 16:38:03+00:00,115.0,0.16,0.0,0.06,0.0,0.0,,1,1.4765651171875,False,REGULAR,USD,put,2025-06-13
PG250613P00120000,2025-05-20 14:08:12+00:00,120.0,0.09,0.0,0.07,0.0,0.0,,3,1.3359408203124996,False,REGULAR,USD,put,2025-06-13
