contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
PYPL250613C00045000,2025-06-11 15:59:40+00:00,45.0,30.24,28.6,31.05,0.69000053,2.3350272,2.0,3,3.13281466796875,True,REGULAR,USD,call,2025-06-13
PYPL250613C00050000,2025-06-11 16:02:33+00:00,50.0,25.35,23.25,26.1,3.4700012,15.859239,2.0,1,2.1796920507812496,True,REGULAR,USD,call,2025-06-13
PYPL250613C00056000,2025-06-05 13:45:53+00:00,56.0,16.6,18.35,18.8,0.0,0.0,,15,1.8984380078125,True,REGULAR,USD,call,2025-06-13
PYPL250613C00057000,2025-06-05 13:31:58+00:00,57.0,16.0,17.3,17.6,0.0,0.0,,1,1.2343788281249999,True,REGULAR,USD,call,2025-06-13
PYPL250613C00060000,2025-06-10 15:51:04+00:00,60.0,14.65,14.5,14.65,0.0,0.0,3.0,16,1.2265663671875,True,REGULAR,USD,call,2025-06-13
PYPL250613C00061000,2025-06-05 13:55:37+00:00,61.0,11.76,13.45,13.65,0.0,0.0,1.0,5,1.1445355273437499,True,REGULAR,USD,call,2025-06-13
PYPL250613C00062000,2025-06-10 19:04:31+00:00,62.0,12.65,12.05,12.95,0.0,0.0,3.0,2,1.5000025,True,REGULAR,USD,call,2025-06-13
PYPL250613C00063000,2025-06-10 18:38:54+00:00,63.0,11.4,11.4,11.9,0.0,0.0,2.0,21,0.98437515625,True,REGULAR,USD,call,2025-06-13
PYPL250613C00064000,2025-06-10 18:24:29+00:00,64.0,10.37,10.45,10.8,0.0,0.0,3.0,6,0.8437515624999999,True,REGULAR,USD,call,2025-06-13
PYPL250613C00065000,2025-06-11 13:37:14+00:00,65.0,9.7,9.25,9.65,-0.05000019,-0.51282245,1.0,25,0.8320329296874999,True,REGULAR,USD,call,2025-06-13
PYPL250613C00066000,2025-06-10 16:01:09+00:00,66.0,8.7,8.5,9.0,0.0,0.0,3.0,23,0.9023447265625,True,REGULAR,USD,call,2025-06-13
PYPL250613C00067000,2025-06-11 17:43:55+00:00,67.0,7.75,7.55,7.9,0.1500001,1.9736855,6.0,21,0.7851583984375,True,REGULAR,USD,call,2025-06-13
PYPL250613C00068000,2025-06-11 18:03:36+00:00,68.0,6.2,6.55,6.75,-0.6000004,-8.823535,11.0,146,0.5976602734375001,True,REGULAR,USD,call,2025-06-13
PYPL250613C00069000,2025-06-11 18:03:32+00:00,69.0,5.3,5.5,5.65,0.14000034,2.713185,11.0,107,0.5195360546875,True,REGULAR,USD,call,2025-06-13
PYPL250613C00070000,2025-06-11 17:36:23+00:00,70.0,4.84,4.55,4.7,0.09000015,1.8947401,32.0,457,0.500005,True,REGULAR,USD,call,2025-06-13
PYPL250613C00071000,2025-06-10 19:35:19+00:00,71.0,3.6,3.6,4.0,-0.1400001,-3.7433183,4.0,399,0.614261669921875,True,REGULAR,USD,call,2025-06-13
PYPL250613C00072000,2025-06-11 18:02:18+00:00,72.0,2.49,2.48,2.69,-0.32999992,-11.702126,42.0,5481,0.31445998046874996,True,REGULAR,USD,call,2025-06-13
