contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
QCOM250613C00110000,2025-05-07 19:41:35+00:00,110.0,33.25,38.2,40.95,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00120000,2025-06-10 16:37:28+00:00,120.0,38.95,38.25,39.3,0.0,0.0,2.0,12,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00125000,2025-06-04 17:32:11+00:00,125.0,24.65,33.2,34.35,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00130000,2025-06-03 13:41:01+00:00,130.0,16.48,28.2,29.15,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00134000,2025-06-09 13:30:34+00:00,134.0,17.77,24.4,25.4,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00135000,2025-06-10 16:41:25+00:00,135.0,24.8,23.05,24.45,0.6399994,2.6490042,1.0,5,0.8125018749999999,True,REGULAR,USD,call,2025-06-13
QCOM250613C00136000,2025-06-04 16:17:13+00:00,136.0,13.2,22.45,23.65,0.0,0.0,,0,1.0253954980468751,True,REGULAR,USD,call,2025-06-13
QCOM250613C00137000,2025-06-02 18:56:10+00:00,137.0,10.27,21.5,22.15,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00138000,2025-06-04 17:57:32+00:00,138.0,11.7,20.35,21.75,0.0,0.0,50.0,0,1.0166064794921876,True,REGULAR,USD,call,2025-06-13
QCOM250613C00139000,2025-06-09 16:10:42+00:00,139.0,15.35,19.45,20.5,0.0,0.0,1.0,1,0.7656273437500001,True,REGULAR,USD,call,2025-06-13
QCOM250613C00140000,2025-06-10 18:12:26+00:00,140.0,18.5,17.9,19.2,0.0,0.0,6.0,33,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00141000,2025-06-05 15:20:42+00:00,141.0,9.16,17.65,18.6,0.0,0.0,1.0,19,0.7939473730468749,True,REGULAR,USD,call,2025-06-13
QCOM250613C00142000,2025-06-04 17:02:30+00:00,142.0,7.79,16.55,17.3,0.0,0.0,8.0,22,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00143000,2025-06-06 16:39:33+00:00,143.0,7.45,15.45,16.05,0.0,0.0,3.0,30,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00144000,2025-06-09 19:13:57+00:00,144.0,12.19,14.55,15.15,0.0,0.0,1.0,101,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00145000,2025-06-11 19:19:07+00:00,145.0,13.75,13.8,14.05,-0.5,-3.508772,16.0,9169,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
QCOM250613C00146000,2025-06-09 19:26:26+00:00,146.0,10.02,12.5,13.95,0.0,0.0,5.0,63,0.7763694238281251,True,REGULAR,USD,call,2025-06-13
QCOM250613C00147000,2025-06-10 16:25:21+00:00,147.0,12.63,11.7,12.25,0.6999998,5.8675594,2.0,140,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
