contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
QQQ250611C00400000,2025-06-11 19:24:07+00:00,400.0,131.73,130.06,133.49,0.48999023,0.37335432,30.0,5.0,3.1162131469726564,True,REGULAR,USD,call,2025-06-11
QQQ250611C00410000,2025-06-11 13:30:02+00:00,410.0,125.49,120.23,123.47,5.919998,4.951073,1.0,1.0,2.879885612792969,True,REGULAR,USD,call,2025-06-11
QQQ250611C00435000,2025-06-10 19:55:11+00:00,435.0,98.89,95.41,98.47,0.0,0.0,7.0,7.0,2.328129179687499,True,REGULAR,USD,call,2025-06-11
QQQ250611C00440000,2025-06-06 18:36:56+00:00,440.0,91.55,90.14,92.68,0.0,0.0,1.0,1.0,1.8251961865234374,True,REGULAR,USD,call,2025-06-11
QQQ250611C00445000,2025-06-11 15:49:53+00:00,445.0,87.66,85.29,88.2,1.3600006,1.5758986,3.0,4.0,2.0058643603515627,True,REGULAR,USD,call,2025-06-11
QQQ250611C00450000,2025-06-11 18:14:36+00:00,450.0,81.63,80.18,83.14,-2.540001,-3.0177035,2.0,12.0,1.876953740234375,True,REGULAR,USD,call,2025-06-11
QQQ250611C00455000,2025-06-09 18:02:16+00:00,455.0,76.8,74.93,78.52,0.0,0.0,5.0,5.0,1.9140629296875002,True,REGULAR,USD,call,2025-06-11
QQQ250611C00460000,2025-06-11 15:31:42+00:00,460.0,75.65,70.23,72.59,5.6900024,8.133223,1.0,29.0,1.396487392578125,True,REGULAR,USD,call,2025-06-11
QQQ250611C00465000,2025-06-11 15:01:32+00:00,465.0,71.42,65.35,67.53,3.9199982,5.8074045,25.0,119.0,1.2646521142578124,True,REGULAR,USD,call,2025-06-11
QQQ250611C00470000,2025-06-10 19:25:22+00:00,470.0,63.0,61.41,62.24,-1.1900024,-1.853875,1.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
QQQ250611C00480000,2025-06-11 16:58:49+00:00,480.0,54.58,51.71,53.17,-0.08999634,-0.16461742,16.0,23.0,0.93945373046875,True,REGULAR,USD,call,2025-06-11
QQQ250611C00481000,2025-06-11 16:21:18+00:00,481.0,49.25,49.29,51.03,-4.41,-8.218412,64.0,62.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
QQQ250611C00483000,2025-06-11 18:24:03+00:00,483.0,48.35,48.32,49.89,0.8499985,1.7894704,10.0,3.0,1.1225629809570314,True,REGULAR,USD,call,2025-06-11
QQQ250611C00485000,2025-06-11 15:39:34+00:00,485.0,50.59,45.39,48.2,3.5800018,7.615405,3.0,27.0,1.18359783203125,True,REGULAR,USD,call,2025-06-11
QQQ250611C00486000,2025-06-09 16:39:00+00:00,486.0,49.81,45.46,47.02,4.510002,9.955854,4.0,4.0,1.1084028955078127,True,REGULAR,USD,call,2025-06-11
QQQ250611C00487000,2025-06-06 19:46:00+00:00,487.0,43.44,44.39,45.98,0.0,0.0,8.0,4.0,1.0756882153320313,True,REGULAR,USD,call,2025-06-11
QQQ250611C00490000,2025-06-11 16:21:18+00:00,490.0,41.45,40.71,42.46,-2.6899986,-6.094243,22.0,44.0,0.79101771484375,True,REGULAR,USD,call,2025-06-11
QQQ250611C00491000,2025-06-11 18:05:29+00:00,491.0,40.99,39.2,42.19,-2.1799965,-5.049795,31.0,33.0,1.0571336206054687,True,REGULAR,USD,call,2025-06-11
QQQ250611C00492000,2025-06-11 17:59:11+00:00,492.0,39.65,38.72,40.48,-2.1599998,-5.166228,7.0,129.0,0.770510107421875,True,REGULAR,USD,call,2025-06-11
QQQ250611C00493000,2025-06-04 19:49:42+00:00,493.0,36.65,38.28,40.11,0.0,0.0,,1.0,0.9941406835937501,True,REGULAR,USD,call,2025-06-11
QQQ250611C00495000,2025-06-10 19:43:42+00:00,495.0,38.88,36.19,38.13,0.0,0.0,1.0,1.0,0.9584965087890623,True,REGULAR,USD,call,2025-06-11
QQQ250611C00496000,2025-06-11 19:01:23+00:00,496.0,35.74,35.11,37.14,-2.1299973,-5.624498,2.0,2.0,0.940430283203125,True,REGULAR,USD,call,2025-06-11
