contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
SPG250620C00080000,2025-06-06 16:33:45+00:00,80.0,81.2,79.5,82.0,0.0,0.0,95.0,0,2.5742223144531247,True,REGULAR,USD,call,2025-06-20
SPG250620C00095000,2025-06-06 19:47:10+00:00,95.0,67.0,64.0,66.8,0.0,0.0,2.0,0,1.8525397998046875,True,REGULAR,USD,call,2025-06-20
SPG250620C00100000,2025-06-06 19:47:49+00:00,100.0,62.0,59.5,62.0,0.0,0.0,2.0,0,1.8466804541015622,True,REGULAR,USD,call,2025-06-20
SPG250620C00105000,2025-06-06 19:48:00+00:00,105.0,57.0,54.0,57.0,0.0,0.0,2.0,0,1.5878926855468747,True,REGULAR,USD,call,2025-06-20
SPG250620C00110000,2024-12-27 16:52:25+00:00,110.0,63.4,62.8,66.4,0.0,0.0,1.0,0,3.9479981768798833,True,REGULAR,USD,call,2025-06-20
SPG250620C00115000,2025-04-08 18:30:04+00:00,115.0,31.0,46.6,50.6,0.0,0.0,1.0,0,2.0244190014648433,True,REGULAR,USD,call,2025-06-20
SPG250620C00120000,2025-06-06 19:50:28+00:00,120.0,42.0,39.1,42.0,0.0,0.0,2.0,0,1.1757853710937498,True,REGULAR,USD,call,2025-06-20
SPG250620C00125000,2025-06-06 15:12:23+00:00,125.0,36.1,34.1,36.7,0.0,0.0,5.0,0,0.993164130859375,True,REGULAR,USD,call,2025-06-20
SPG250620C00130000,2025-06-06 16:33:45+00:00,130.0,31.1,29.3,31.2,0.0,0.0,115.0,0,0.8178729150390623,True,REGULAR,USD,call,2025-06-20
SPG250620C00135000,2025-06-06 19:50:43+00:00,135.0,25.8,24.1,25.1,0.0,0.0,760.0,0,0.647464462890625,True,REGULAR,USD,call,2025-06-20
SPG250620C00140000,2025-06-06 19:56:50+00:00,140.0,22.2,19.0,20.4,0.0,0.0,1363.0,0,0.6132851171875001,True,REGULAR,USD,call,2025-06-20
SPG250620C00145000,2025-06-06 19:50:43+00:00,145.0,15.7,14.7,15.3,0.0,0.0,1520.0,2,0.46680220703125,True,REGULAR,USD,call,2025-06-20
SPG250620C00150000,2025-06-09 14:11:30+00:00,150.0,11.21,10.0,10.4,0.0,0.0,7.0,9,0.35986968261718744,True,REGULAR,USD,call,2025-06-20
SPG250620C00155000,2025-06-10 15:04:01+00:00,155.0,6.2,4.9,5.8,0.0,0.0,5.0,20,0.274421318359375,True,REGULAR,USD,call,2025-06-20
SPG250620C00160000,2025-06-11 16:51:40+00:00,160.0,2.64,1.7,2.4,-0.47999978,-15.384608,2.0,932,0.24109645629882812,False,REGULAR,USD,call,2025-06-20
SPG250620C00165000,2025-06-11 15:43:18+00:00,165.0,0.75,0.5,0.65,-0.050000012,-6.250001,672.0,526,0.22705851074218747,False,REGULAR,USD,call,2025-06-20
SPG250620C00170000,2025-06-11 19:05:16+00:00,170.0,0.1,0.05,0.2,-0.050000004,-33.333336,78.0,1103,0.2514723291015625,False,REGULAR,USD,call,2025-06-20
SPG250620C00175000,2025-06-11 18:51:28+00:00,175.0,0.1,0.0,0.1,0.0,0.0,2.0,724,0.29688203124999996,False,REGULAR,USD,call,2025-06-20
SPG250620C00180000,2025-06-10 19:29:22+00:00,180.0,0.08,0.0,0.15,0.0,0.0,1.0,684,0.39649041015625003,False,REGULAR,USD,call,2025-06-20
SPG250620C00185000,2025-06-09 17:20:30+00:00,185.0,0.03,0.0,0.05,0.0,0.0,4.0,783,0.398443515625,False,REGULAR,USD,call,2025-06-20
SPG250620C00190000,2025-06-09 18:24:03+00:00,190.0,0.05,0.0,0.05,0.0,0.0,1.0,462,0.45898978515625005,False,REGULAR,USD,call,2025-06-20
SPG250620C00195000,2025-05-19 13:49:01+00:00,195.0,0.08,0.0,0.15,0.0,0.0,1.0,189,0.5449264257812501,False,REGULAR,USD,call,2025-06-20
