contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
SPY250611C00400000,2025-06-11 13:30:08+00:00,400.0,202.28,199.89,201.38,2.4100037,1.2057856,1.0,1,3.175783310546875,True,REGULAR,USD,call,2025-06-11
SPY250611C00500000,2025-06-09 14:30:20+00:00,500.0,99.89,100.03,101.45,0.0,0.0,1.0,1,1.6337908935546874,True,REGULAR,USD,call,2025-06-11
SPY250611C00520000,2025-06-10 19:58:13+00:00,520.0,82.9,80.04,81.28,0.0,0.0,37.0,37,1.15234798828125,True,REGULAR,USD,call,2025-06-11
SPY250611C00525000,2025-06-10 19:54:30+00:00,525.0,79.04,74.89,76.35,1.6800003,2.1716654,1.0,3,1.1679729101562502,True,REGULAR,USD,call,2025-06-11
SPY250611C00530000,2025-06-10 19:55:05+00:00,530.0,74.38,70.49,72.11,2.149994,2.976594,1.0,5,1.0429735351562504,True,REGULAR,USD,call,2025-06-11
SPY250611C00540000,2025-06-10 19:56:15+00:00,540.0,62.81,60.4,60.62,0.0,0.0,8.0,12,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
SPY250611C00545000,2025-06-09 19:41:59+00:00,545.0,55.43,55.42,56.37,0.08000183,0.14453809,1.0,2,0.8984385156249999,True,REGULAR,USD,call,2025-06-11
SPY250611C00550000,2025-06-11 17:08:31+00:00,550.0,53.04,50.74,50.88,3.5699997,7.216494,10.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
SPY250611C00551000,2025-06-06 16:58:10+00:00,551.0,49.28,49.89,50.02,2.75,5.910166,8.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
SPY250611C00552000,2025-06-11 19:16:59+00:00,552.0,48.32,48.27,48.38,-2.1599998,-4.278922,10.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
SPY250611C00553000,2025-06-11 17:47:40+00:00,553.0,50.18,47.71,47.84,11.720001,30.473223,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
SPY250611C00555000,2025-06-11 16:00:39+00:00,555.0,47.53,46.05,46.13,2.8600006,6.4025087,9.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
SPY250611C00557000,2025-06-11 15:06:54+00:00,557.0,47.86,43.39,43.48,4.6000023,10.633386,5.0,6,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
SPY250611C00558000,2025-06-06 18:45:10+00:00,558.0,45.33,42.84,42.94,3.3500023,7.979996,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-11
