contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
TSLA250613C00050000,2025-06-11 19:25:58+00:00,50.0,275.65,274.4,276.1,1.3500061,0.4921641,14.0,23,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00055000,2025-06-11 14:45:15+00:00,55.0,278.01,269.65,271.35,37.51001,15.596678,20.0,12,7.500000625,True,REGULAR,USD,call,2025-06-13
TSLA250613C00060000,2025-06-04 14:49:05+00:00,60.0,272.03,264.25,265.9,0.0,0.0,2.0,6,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00065000,2025-06-04 14:49:05+00:00,65.0,267.05,259.55,260.95,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00070000,2025-06-06 17:14:32+00:00,70.0,230.77,254.3,256.1,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00075000,2025-06-10 19:56:43+00:00,75.0,259.0,249.4,251.1,8.0,3.187251,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00080000,2025-06-06 17:14:32+00:00,80.0,220.77,244.45,246.1,0.0,0.0,1.0,7,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00085000,2025-05-23 19:44:12+00:00,85.0,256.04,239.0,241.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00090000,2025-05-27 19:41:35+00:00,90.0,269.67,234.45,236.1,0.0,0.0,4.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00095000,2025-06-06 13:34:09+00:00,95.0,201.55,229.65,230.95,0.0,0.0,2.0,6,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00100000,2025-06-09 13:39:20+00:00,100.0,186.5,224.25,225.95,0.0,0.0,15.0,32,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
TSLA250613C00105000,2025-06-06 13:32:40+00:00,105.0,193.55,219.65,221.3,0.0,0.0,1.0,1,4.562504296875,True,REGULAR,USD,call,2025-06-13
TSLA250613C00110000,2025-06-02 14:19:00+00:00,110.0,228.77,214.25,215.85,0.0,0.0,8.0,7,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
