contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
UNH250613C00130000,2025-05-30 14:56:22+00:00,130.0,174.0,174.55,181.05,0.0,0.0,1.0,1,4.410160737304686,True,REGULAR,USD,call,2025-06-13
UNH250613C00150000,2025-05-27 13:57:11+00:00,150.0,142.3,154.55,161.1,0.0,0.0,1.0,2,3.8007817480468753,True,REGULAR,USD,call,2025-06-13
UNH250613C00160000,2025-05-19 17:08:30+00:00,160.0,156.42,144.55,151.1,0.0,0.0,,1,3.4941418896484375,True,REGULAR,USD,call,2025-06-13
UNH250613C00190000,2025-06-02 13:46:14+00:00,190.0,122.58,114.55,121.1,0.0,0.0,,1,2.6718783203125005,True,REGULAR,USD,call,2025-06-13
UNH250613C00200000,2025-06-11 16:59:00+00:00,200.0,108.27,104.6,111.1,1.2699966,1.1869128,3.0,6,2.425785185546875,True,REGULAR,USD,call,2025-06-13
UNH250613C00210000,2025-06-02 13:44:28+00:00,210.0,103.55,94.6,101.1,0.0,0.0,3.0,2,2.1875045312499997,True,REGULAR,USD,call,2025-06-13
UNH250613C00220000,2025-06-05 19:11:23+00:00,220.0,76.7,85.0,91.15,0.0,0.0,2.0,2,1.994140654296875,True,REGULAR,USD,call,2025-06-13
UNH250613C00225000,2025-05-22 17:02:49+00:00,225.0,76.6,79.6,86.15,0.0,0.0,2.0,4,1.8818365283203122,True,REGULAR,USD,call,2025-06-13
UNH250613C00230000,2025-06-11 17:14:22+00:00,230.0,79.78,75.85,81.0,8.909996,12.5723095,1.0,7,1.671876640625,True,REGULAR,USD,call,2025-06-13
UNH250613C00235000,2025-05-15 14:09:32+00:00,235.0,37.0,70.0,75.7,0.0,0.0,,1,1.23047259765625,True,REGULAR,USD,call,2025-06-13
UNH250613C00240000,2025-06-11 14:17:04+00:00,240.0,67.69,66.0,70.15,7.420002,12.311269,1.0,9,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
