contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
UPS250613C00080000,2025-06-05 15:02:13+00:00,80.0,17.55,20.9,21.55,0.0,0.0,2.0,2,1.1328168359375002,True,REGULAR,USD,call,2025-06-13
UPS250613C00082000,2025-05-22 19:44:47+00:00,82.0,15.43,18.85,19.55,0.0,0.0,,0,0.87500125,True,REGULAR,USD,call,2025-06-13
UPS250613C00084000,2025-06-09 14:14:41+00:00,84.0,15.0,16.95,17.35,0.0,0.0,2.0,0,1.1757853710937498,True,REGULAR,USD,call,2025-06-13
UPS250613C00085000,2025-05-09 17:34:25+00:00,85.0,11.5,12.85,13.8,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
UPS250613C00086000,2025-06-04 16:16:50+00:00,86.0,12.35,14.9,15.35,0.0,0.0,4.0,4,1.05078599609375,True,REGULAR,USD,call,2025-06-13
UPS250613C00088000,2025-05-08 15:32:28+00:00,88.0,8.67,9.9,10.85,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
UPS250613C00089000,2025-05-16 19:19:25+00:00,89.0,12.15,11.9,12.35,0.0,0.0,15.0,0,0.867188828125,True,REGULAR,USD,call,2025-06-13
UPS250613C00090000,2025-06-11 17:50:31+00:00,90.0,11.75,10.85,11.45,3.38,40.382317,3.0,1,0.8964854101562498,True,REGULAR,USD,call,2025-06-13
UPS250613C00091000,2025-06-09 17:19:56+00:00,91.0,8.45,9.9,10.7,0.0,0.0,2.0,4,0.6894562304687502,True,REGULAR,USD,call,2025-06-13
UPS250613C00092000,2025-06-10 14:08:01+00:00,92.0,8.5,8.9,9.3,0.0,0.0,2.0,2,0.63086306640625,True,REGULAR,USD,call,2025-06-13
UPS250613C00093000,2025-06-09 18:59:09+00:00,93.0,9.48,8.0,8.3,2.9099994,44.29223,2.0,69,0.5722699023437501,True,REGULAR,USD,call,2025-06-13
UPS250613C00094000,2025-06-06 19:49:49+00:00,94.0,4.3,6.95,7.4,0.0,0.0,1.0,5,0.596683720703125,True,REGULAR,USD,call,2025-06-13
UPS250613C00095000,2025-06-10 14:43:03+00:00,95.0,6.88,5.9,6.55,0.0,0.0,25.0,63,0.6191444335937502,True,REGULAR,USD,call,2025-06-13
UPS250613C00096000,2025-06-11 14:11:31+00:00,96.0,6.5,4.9,5.75,0.19999981,3.1746001,11.0,145,0.6372106591796876,True,REGULAR,USD,call,2025-06-13
UPS250613C00097000,2025-06-11 14:28:03+00:00,97.0,5.22,4.2,4.35,0.21999979,4.399996,89.0,251,0.367193828125,True,REGULAR,USD,call,2025-06-13
UPS250613C00098000,2025-06-11 18:49:19+00:00,98.0,3.45,3.25,3.4,-1.1000001,-24.175827,55.0,331,0.327155166015625,True,REGULAR,USD,call,2025-06-13
UPS250613C00099000,2025-06-11 18:27:57+00:00,99.0,2.56,2.34,2.58,-1.0700002,-29.476587,25.0,324,0.3242255078124999,True,REGULAR,USD,call,2025-06-13
UPS250613C00100000,2025-06-11 18:55:39+00:00,100.0,1.62,1.55,1.77,-1.2399999,-43.356644,259.0,1985,0.29444064941406245,True,REGULAR,USD,call,2025-06-13
UPS250613C00101000,2025-06-11 18:55:14+00:00,101.0,0.99,0.95,1.02,-1.0899999,-52.403843,77.0,927,0.25196060546875,True,REGULAR,USD,call,2025-06-13
UPS250613C00102000,2025-06-11 19:15:30+00:00,102.0,0.48,0.47,0.65,-0.90999997,-65.46763,402.0,1693,0.27295648925781246,False,REGULAR,USD,call,2025-06-13
UPS250613C00103000,2025-06-11 19:17:28+00:00,103.0,0.22,0.21,0.27,-0.63,-74.117645,632.0,2540,0.2436599072265625,False,REGULAR,USD,call,2025-06-13
UPS250613C00104000,2025-06-11 19:06:11+00:00,104.0,0.1,0.09,0.11,-0.42,-80.76923,296.0,595,0.23926541992187497,False,REGULAR,USD,call,2025-06-13
UPS250613C00105000,2025-06-11 18:41:08+00:00,105.0,0.04,0.04,0.05,-0.25,-86.2069,209.0,398,0.2500075,False,REGULAR,USD,call,2025-06-13
UPS250613C00106000,2025-06-11 16:52:20+00:00,106.0,0.01,0.01,0.05,-0.14,-93.33333,61.0,774,0.29883513671874995,False,REGULAR,USD,call,2025-06-13
UPS250613C00107000,2025-06-11 18:10:46+00:00,107.0,0.02,0.02,0.04,-0.07000001,-77.77779,43.0,446,0.33399103515625,False,REGULAR,USD,call,2025-06-13
UPS250613C00108000,2025-06-11 13:39:13+00:00,108.0,0.18,0.0,0.09,0.13000001,260.00003,1.0,25,0.43945873046875,False,REGULAR,USD,call,2025-06-13
UPS250613C00109000,2025-06-10 17:54:20+00:00,109.0,0.03,0.0,0.27,0.0,0.0,2.0,31,0.5312546875,False,REGULAR,USD,call,2025-06-13
UPS250613C00110000,2025-06-10 19:58:48+00:00,110.0,0.04,0.0,0.04,0.0,0.0,39.0,225,0.46484910156250003,False,REGULAR,USD,call,2025-06-13
UPS250613C00111000,2025-06-10 19:04:05+00:00,111.0,0.01,0.0,0.23,-0.080000006,-88.88889,1.0,89,0.6113320117187502,False,REGULAR,USD,call,2025-06-13
UPS250613C00115000,2025-06-11 13:59:05+00:00,115.0,0.01,0.0,0.02,0.0,0.0,19.0,703,0.5625043750000001,False,REGULAR,USD,call,2025-06-13
UPS250613C00120000,2025-06-03 18:58:03+00:00,120.0,0.04,0.0,0.06,0.0,0.0,1.0,11,0.8203142968749999,False,REGULAR,USD,call,2025-06-13
UPS250613C00130000,2025-06-04 14:03:27+00:00,130.0,0.26,0.0,0.25,0.0,0.0,1.0,0,1.3867218164062498,False,REGULAR,USD,call,2025-06-13
UPS250613P00075000,2025-05-12 19:23:07+00:00,75.0,0.3,0.0,0.04,0.0,0.0,,10,1.3125034374999998,False,REGULAR,USD,put,2025-06-13
UPS250613P00080000,2025-05-20 16:48:20+00:00,80.0,0.1,0.0,1.27,0.0,0.0,10.0,16,1.9169926025390627,False,REGULAR,USD,put,2025-06-13
