contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
V250613C00275000,2025-06-02 19:53:13+00:00,275.0,91.03,96.45,99.5,0.0,0.0,,1,2.0986375659179686,True,REGULAR,USD,call,2025-06-13
V250613C00290000,2025-05-12 14:58:48+00:00,290.0,65.64,82.05,85.15,0.0,0.0,1.0,0,1.4716823291015624,True,REGULAR,USD,call,2025-06-13
V250613C00295000,2025-06-06 18:50:47+00:00,295.0,75.55,76.65,79.5,0.0,0.0,2.0,2,1.695802302246094,True,REGULAR,USD,call,2025-06-13
V250613C00300000,2025-05-28 17:49:31+00:00,300.0,61.17,71.9,74.05,0.0,0.0,12.0,12,1.4702174926757814,True,REGULAR,USD,call,2025-06-13
V250613C00325000,2025-06-06 18:17:49+00:00,325.0,49.44,46.9,49.1,4.369999,9.696026,1.0,1,1.0297900073242188,True,REGULAR,USD,call,2025-06-13
V250613C00330000,2025-05-09 15:40:23+00:00,330.0,25.32,39.5,42.15,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,call,2025-06-13
V250613C00335000,2025-06-10 19:35:57+00:00,335.0,37.6,36.7,39.35,1.8999977,5.322122,1.0,7,0.8984385156249999,True,REGULAR,USD,call,2025-06-13
V250613C00340000,2025-06-11 15:48:55+00:00,340.0,34.7,31.8,34.2,4.880001,16.36486,1.0,9,0.7775901147460937,True,REGULAR,USD,call,2025-06-13
V250613C00342500,2025-05-30 14:09:44+00:00,342.5,23.6,29.1,31.7,0.0,0.0,1.0,1,0.7312038598632812,True,REGULAR,USD,call,2025-06-13
V250613C00345000,2025-06-10 18:36:56+00:00,345.0,25.46,27.1,28.35,0.0,0.0,6.0,26,0.49023947265625006,True,REGULAR,USD,call,2025-06-13
V250613C00347500,2025-06-06 14:40:14+00:00,347.5,23.28,24.35,26.8,0.0,0.0,3.0,3,0.6538120556640626,True,REGULAR,USD,call,2025-06-13
V250613C00350000,2025-06-11 16:59:58+00:00,350.0,25.02,22.25,23.35,4.34,20.98646,1.0,54,0.415044912109375,True,REGULAR,USD,call,2025-06-13
V250613C00352500,2025-06-10 19:20:39+00:00,352.5,18.96,19.4,21.7,0.0,0.0,1.0,2,0.5429733203125001,True,REGULAR,USD,call,2025-06-13
V250613C00355000,2025-06-11 15:18:46+00:00,355.0,19.55,17.3,18.75,4.3099995,28.280836,4.0,29,0.424810439453125,True,REGULAR,USD,call,2025-06-13
V250613C00357500,2025-06-11 17:51:37+00:00,357.5,17.68,14.65,15.75,3.5700006,25.30121,4.0,48,0.2710033837890625,True,REGULAR,USD,call,2025-06-13
V250613C00360000,2025-06-11 17:41:50+00:00,360.0,12.28,12.0,13.2,1.2599993,11.433749,9.0,104,0.21778125976562498,True,REGULAR,USD,call,2025-06-13
V250613C00362500,2025-06-11 15:37:55+00:00,362.5,9.8,10.1,10.75,2.1200004,27.604172,3.0,152,0.19727365234375,True,REGULAR,USD,call,2025-06-13
V250613C00365000,2025-06-11 18:17:09+00:00,365.0,7.93,7.8,8.4,1.4099998,21.625765,12.0,417,0.1889729541015625,True,REGULAR,USD,call,2025-06-13
V250613C00367500,2025-06-11 19:26:54+00:00,367.5,5.85,5.75,6.15,1.1500001,24.468088,99.0,330,0.176766044921875,True,REGULAR,USD,call,2025-06-13
V250613C00370000,2025-06-11 19:14:10+00:00,370.0,4.0,3.8,4.05,0.79999995,24.999998,901.0,1185,0.16028671752929688,True,REGULAR,USD,call,2025-06-13
V250613C00372500,2025-06-11 19:11:48+00:00,372.5,2.4,2.11,2.41,0.6400001,36.36364,332.0,412,0.15552602294921875,True,REGULAR,USD,call,2025-06-13
V250613C00375000,2025-06-11 19:23:39+00:00,375.0,1.2,1.0,1.18,0.1500001,14.285724,459.0,1064,0.14685911743164062,False,REGULAR,USD,call,2025-06-13
V250613C00377500,2025-06-11 19:23:42+00:00,377.5,0.52,0.44,0.55,0.01999998,3.9999962,139.0,321,0.15015498291015628,False,REGULAR,USD,call,2025-06-13
V250613C00380000,2025-06-11 18:54:20+00:00,380.0,0.22,0.16,0.22,-0.030000001,-12.0,286.0,628,0.1518639501953125,False,REGULAR,USD,call,2025-06-13
V250613C00382500,2025-06-11 18:26:41+00:00,382.5,0.06,0.05,0.16,-0.05,-45.454544,222.0,203,0.1772543212890625,False,REGULAR,USD,call,2025-06-13
V250613C00385000,2025-06-11 18:13:54+00:00,385.0,0.03,0.02,0.05,-0.01,-25.0,59.0,185,0.17285983398437502,False,REGULAR,USD,call,2025-06-13
V250613C00390000,2025-06-10 19:33:29+00:00,390.0,0.01,0.0,0.1,0.0,0.0,25.0,97,0.257819921875,False,REGULAR,USD,call,2025-06-13
V250613C00395000,2025-06-06 19:05:26+00:00,395.0,0.02,0.0,0.01,0.0,0.0,3.0,76,0.23438265625,False,REGULAR,USD,call,2025-06-13
V250613C00400000,2025-06-05 13:54:50+00:00,400.0,0.02,0.0,0.01,0.0,0.0,1.0,42,0.28125718749999995,False,REGULAR,USD,call,2025-06-13
V250613C00405000,2025-06-09 13:30:10+00:00,405.0,0.04,0.0,0.03,0.0,0.0,1.0,16,0.36914693359375,False,REGULAR,USD,call,2025-06-13
V250613C00410000,2025-05-20 19:57:44+00:00,410.0,0.08,0.0,0.01,0.0,0.0,,3,0.3711000390625,False,REGULAR,USD,call,2025-06-13
V250613C00420000,2025-05-23 13:30:11+00:00,420.0,0.01,0.0,0.03,0.0,0.0,1.0,20,0.507817421875,False,REGULAR,USD,call,2025-06-13
V250613C00440000,2025-06-06 14:15:28+00:00,440.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.57812921875,False,REGULAR,USD,call,2025-06-13
V250613P00200000,2025-06-09 14:45:02+00:00,200.0,0.01,0.0,0.01,0.0,0.0,2.0,2,2.0625048437499998,False,REGULAR,USD,put,2025-06-13
V250613P00225000,2025-06-02 14:00:20+00:00,225.0,0.02,0.0,0.03,0.0,0.0,,1,1.8281258593749998,False,REGULAR,USD,put,2025-06-13
V250613P00235000,2025-05-20 18:40:25+00:00,235.0,0.03,0.0,0.03,0.0,0.0,12.0,12,1.6875015625,False,REGULAR,USD,put,2025-06-13
V250613P00245000,2025-05-12 16:23:03+00:00,245.0,0.05,0.0,0.03,0.0,0.0,,1,1.5312523437499999,False,REGULAR,USD,put,2025-06-13
V250613P00250000,2025-05-12 16:23:03+00:00,250.0,0.06,0.0,0.03,0.0,0.0,,1,1.46875265625,False,REGULAR,USD,put,2025-06-13
V250613P00260000,2025-05-07 17:43:38+00:00,260.0,0.26,0.0,0.08,0.0,0.0,,1,1.4609401953124999,False,REGULAR,USD,put,2025-06-13
