contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
WFC250613C00050000,2025-05-09 19:01:53+00:00,50.0,22.75,24.4,27.65,0.0,0.0,,3,3.6562508593750005,True,REGULAR,USD,call,2025-06-13
WFC250613C00055000,2025-06-10 15:36:51+00:00,55.0,20.7,19.95,20.55,0.0,0.0,20.0,20,2.160160849609375,True,REGULAR,USD,call,2025-06-13
WFC250613C00060000,2025-06-11 14:34:41+00:00,60.0,15.31,14.8,15.2,-0.89999866,-5.55212,5.0,11,1.203128984375,True,REGULAR,USD,call,2025-06-13
WFC250613C00062000,2025-06-05 19:27:16+00:00,62.0,12.7,12.95,13.2,0.0,0.0,4.0,3,1.2148476757812499,True,REGULAR,USD,call,2025-06-13
WFC250613C00063000,2025-06-06 16:25:02+00:00,63.0,13.24,11.9,12.2,0.0,0.0,1.0,1,1.0859420703125,True,REGULAR,USD,call,2025-06-13
WFC250613C00064000,2025-06-06 16:14:19+00:00,64.0,12.33,10.65,11.15,0.0,0.0,1.0,9,1.150394873046875,True,REGULAR,USD,call,2025-06-13
WFC250613C00065000,2025-06-05 18:45:08+00:00,65.0,10.1,9.95,10.5,0.0,0.0,3.0,3,1.142582412109375,True,REGULAR,USD,call,2025-06-13
WFC250613C00066000,2025-06-10 14:32:44+00:00,66.0,9.53,8.95,9.45,0.0,0.0,2.0,8,1.0234423828125,True,REGULAR,USD,call,2025-06-13
WFC250613C00067000,2025-06-06 13:41:43+00:00,67.0,9.6,8.0,8.2,0.0,0.0,2.0,8,0.8242205078124999,True,REGULAR,USD,call,2025-06-13
WFC250613C00068000,2025-06-10 16:43:26+00:00,68.0,7.6,6.95,7.3,0.0,0.0,10.0,12,0.76367423828125,True,REGULAR,USD,call,2025-06-13
WFC250613C00069000,2025-06-10 13:53:21+00:00,69.0,7.01,5.95,6.2,0.0,0.0,1.0,7,0.62305064453125,True,REGULAR,USD,call,2025-06-13
WFC250613C00070000,2025-06-11 17:21:15+00:00,70.0,5.46,4.85,5.55,-0.07999992,-1.444042,18.0,49,0.64648791015625,True,REGULAR,USD,call,2025-06-13
WFC250613C00071000,2025-06-10 19:21:01+00:00,71.0,3.66,3.65,4.1,-0.76999974,-17.381485,30.0,77,0.4726615234375,True,REGULAR,USD,call,2025-06-13
WFC250613C00072000,2025-06-11 17:10:23+00:00,72.0,3.44,3.1,3.2,-0.029999971,-0.8645525,17.0,253,0.44824770507812495,True,REGULAR,USD,call,2025-06-13
WFC250613C00073000,2025-06-11 17:10:12+00:00,73.0,2.48,2.13,2.27,-0.1500001,-5.7034254,85.0,449,0.3789124609375,True,REGULAR,USD,call,2025-06-13
WFC250613C00074000,2025-06-11 19:08:14+00:00,74.0,1.33,1.28,1.33,-0.30999994,-18.902435,985.0,1169,0.2846751220703124,True,REGULAR,USD,call,2025-06-13
WFC250613C00075000,2025-06-11 19:18:44+00:00,75.0,0.64,0.62,0.64,-0.36,-36.0,2828.0,2749,0.2461012890625,False,REGULAR,USD,call,2025-06-13
WFC250613C00076000,2025-06-11 18:54:35+00:00,76.0,0.27,0.24,0.26,-0.22999999,-45.999996,1130.0,3745,0.24073024902343748,False,REGULAR,USD,call,2025-06-13
WFC250613C00077000,2025-06-11 18:19:30+00:00,77.0,0.08,0.08,0.1,-0.13,-61.904762,750.0,1939,0.25196060546875,False,REGULAR,USD,call,2025-06-13
WFC250613C00078000,2025-06-11 18:41:42+00:00,78.0,0.04,0.02,0.05,-0.04,-50.0,436.0,1943,0.28321029296874994,False,REGULAR,USD,call,2025-06-13
