contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
WMT250613C00070000,2025-05-14 19:00:34+00:00,70.0,27.4,25.35,26.45,0.0,0.0,,7,1.89453177734375,True,REGULAR,USD,call,2025-06-13
WMT250613C00075000,2025-06-10 14:46:07+00:00,75.0,21.9,20.75,21.0,0.0,0.0,1.0,16,1.4960962695312499,True,REGULAR,USD,call,2025-06-13
WMT250613C00080000,2025-06-10 16:33:05+00:00,80.0,15.94,15.65,15.9,-0.78999996,-4.7220564,1.0,14,0.98437515625,True,REGULAR,USD,call,2025-06-13
WMT250613C00084000,2025-06-05 16:59:25+00:00,84.0,14.12,11.65,11.95,0.0,0.0,,1,0.7949239257812499,True,REGULAR,USD,call,2025-06-13
WMT250613C00085000,2025-06-11 13:54:24+00:00,85.0,11.72,10.4,11.0,-0.9399996,-7.424957,1.0,25,0.9433599414062499,True,REGULAR,USD,call,2025-06-13
WMT250613C00086000,2025-06-11 14:48:55+00:00,86.0,10.85,9.75,9.95,-1.3899994,-11.356204,3.0,8,0.73633076171875,True,REGULAR,USD,call,2025-06-13
WMT250613C00087000,2025-06-11 13:59:26+00:00,87.0,8.85,8.75,8.95,-2.25,-20.27027,2.0,50,0.6718782812500002,True,REGULAR,USD,call,2025-06-13
WMT250613C00088000,2025-06-11 18:16:22+00:00,88.0,7.51,7.7,8.0,-1.6399994,-17.92349,2.0,36,0.6074258007812501,True,REGULAR,USD,call,2025-06-13
WMT250613C00089000,2025-06-11 18:12:58+00:00,89.0,6.62,6.55,7.0,-1.1300001,-14.580647,9.0,32,0.6533237792968751,True,REGULAR,USD,call,2025-06-13
WMT250613C00090000,2025-06-11 18:12:58+00:00,90.0,5.62,5.85,6.0,-1.4200001,-20.170454,13.0,79,0.532231240234375,True,REGULAR,USD,call,2025-06-13
WMT250613C00091000,2025-06-11 13:35:46+00:00,91.0,5.75,3.2,6.85,-0.4699998,-7.556267,1.0,36,0.51758294921875,True,REGULAR,USD,call,2025-06-13
WMT250613C00092000,2025-06-11 18:26:21+00:00,92.0,3.78,3.9,4.05,-1.1200001,-22.857145,15.0,46,0.45117736328125,True,REGULAR,USD,call,2025-06-13
WMT250613C00093000,2025-06-11 19:09:48+00:00,93.0,3.05,2.85,2.97,-0.95000005,-23.750002,44.0,365,0.33301448242187504,True,REGULAR,USD,call,2025-06-13
WMT250613C00094000,2025-06-11 18:46:54+00:00,94.0,2.23,1.96,2.11,-1.3199999,-37.183098,74.0,168,0.30274134765625,True,REGULAR,USD,call,2025-06-13
WMT250613C00095000,2025-06-11 19:26:12+00:00,95.0,1.23,1.19,1.25,-1.27,-50.8,1010.0,954,0.2461012890625,True,REGULAR,USD,call,2025-06-13
WMT250613C00096000,2025-06-11 19:26:12+00:00,96.0,0.63,0.61,0.64,-1.07,-62.941177,2274.0,635,0.22412885253906245,False,REGULAR,USD,call,2025-06-13
WMT250613C00097000,2025-06-11 19:15:20+00:00,97.0,0.31,0.26,0.28,-0.71999997,-69.902916,3271.0,1661,0.21680470703125,False,REGULAR,USD,call,2025-06-13
