contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
XLF250613C00039000,2025-06-09 15:29:14+00:00,39.0,11.61,11.4,12.0,0.0,0.0,1.0,1,1.2500037499999999,True,REGULAR,USD,call,2025-06-13
XLF250613C00040000,2025-06-09 15:29:14+00:00,40.0,10.81,10.05,11.2,0.0,0.0,1.0,1,1.78515732421875,True,REGULAR,USD,call,2025-06-13
XLF250613C00042000,2025-06-09 15:24:20+00:00,42.0,8.88,8.6,9.0,0.0,0.0,1.0,1,0.937500625,True,REGULAR,USD,call,2025-06-13
XLF250613C00043000,2025-06-09 15:24:20+00:00,43.0,8.08,7.9,8.05,0.0,0.0,1.0,2,1.0468797656250002,True,REGULAR,USD,call,2025-06-13
XLF250613C00044000,2025-06-05 18:37:27+00:00,44.0,6.8,6.9,7.0,0.0,0.0,,1,0.73437765625,True,REGULAR,USD,call,2025-06-13
XLF250613C00045000,2025-06-05 19:48:35+00:00,45.0,5.85,5.9,6.0,0.0,0.0,10.0,6,0.64062859375,True,REGULAR,USD,call,2025-06-13
XLF250613C00045500,2025-06-05 19:55:58+00:00,45.5,5.08,5.35,5.55,0.0,0.0,,6,0.7539087109375,True,REGULAR,USD,call,2025-06-13
XLF250613C00046000,2025-05-29 19:28:16+00:00,46.0,4.88,4.65,5.0,0.0,0.0,16.0,10,0.5390671093750001,True,REGULAR,USD,call,2025-06-13
XLF250613C00046500,2025-06-11 14:16:21+00:00,46.5,4.7,4.25,4.6,0.029999733,0.6423926,1.0,10,0.7226590234375,True,REGULAR,USD,call,2025-06-13
XLF250613C00047000,2025-06-11 19:13:42+00:00,47.0,3.94,3.9,4.05,-0.23000002,-5.515588,3.0,36,0.5742230078125,True,REGULAR,USD,call,2025-06-13
XLF250613C00047500,2025-06-05 19:27:30+00:00,47.5,3.16,2.98,3.55,0.0,0.0,10.0,15,0.51562984375,True,REGULAR,USD,call,2025-06-13
XLF250613C00048000,2025-06-11 18:09:07+00:00,48.0,3.1,2.84,3.2,0.0,0.0,6.0,53,0.632816171875,True,REGULAR,USD,call,2025-06-13
XLF250613C00048500,2025-06-10 14:43:30+00:00,48.5,2.52,2.41,2.53,0.0,0.0,15.0,24,0.36133451171875,True,REGULAR,USD,call,2025-06-13
XLF250613C00049000,2025-06-11 17:17:55+00:00,49.0,2.3,1.94,2.03,0.27999997,13.861384,4.0,150,0.3007882421875,True,REGULAR,USD,call,2025-06-13
XLF250613C00049500,2025-06-11 14:16:53+00:00,49.5,1.78,1.25,1.49,0.25,16.33987,3.0,125,0.1562584375,True,REGULAR,USD,call,2025-06-13
XLF250613C00050000,2025-06-11 15:14:34+00:00,50.0,1.21,0.94,1.1,0.13999999,13.084109,2.0,221,0.243171630859375,True,REGULAR,USD,call,2025-06-13
XLF250613C00050500,2025-06-11 19:26:54+00:00,50.5,0.59,0.57,0.6,-0.07000005,-10.606068,80.0,420,0.16211775390625,True,REGULAR,USD,call,2025-06-13
XLF250613C00051000,2025-06-11 19:13:50+00:00,51.0,0.28,0.25,0.26,-0.06999999,-19.999998,239.0,4300,0.1445398046875,False,REGULAR,USD,call,2025-06-13
XLF250613C00051500,2025-06-11 19:09:25+00:00,51.5,0.07,0.06,0.08,-0.07,-50.0,5416.0,6947,0.14063359375,False,REGULAR,USD,call,2025-06-13
XLF250613C00052000,2025-06-11 19:22:14+00:00,52.0,0.02,0.01,0.02,-0.030000001,-60.0,957.0,4223,0.1445398046875,False,REGULAR,USD,call,2025-06-13
XLF250613C00052500,2025-06-10 18:17:06+00:00,52.5,0.01,0.0,0.01,0.0,0.0,12.0,2228,0.17188328125000002,False,REGULAR,USD,call,2025-06-13
XLF250613C00053000,2025-06-11 15:26:54+00:00,53.0,0.01,0.0,0.01,0.0,0.0,1.0,2070,0.21875781249999998,False,REGULAR,USD,call,2025-06-13
XLF250613C00053500,2025-06-06 14:57:25+00:00,53.5,0.01,0.0,0.01,0.0,0.0,2.0,105,0.26563234375,False,REGULAR,USD,call,2025-06-13
XLF250613C00054000,2025-05-29 19:56:41+00:00,54.0,0.02,0.0,0.01,0.0,0.0,1.0,11,0.304694453125,False,REGULAR,USD,call,2025-06-13
XLF250613C00055000,2025-05-22 16:40:46+00:00,55.0,0.01,0.0,0.01,0.0,0.0,19.0,13,0.39063109375,False,REGULAR,USD,call,2025-06-13
XLF250613C00056000,2025-05-14 18:06:22+00:00,56.0,0.02,0.0,0.01,0.0,0.0,10.0,12,0.4687553125,False,REGULAR,USD,call,2025-06-13
XLF250613C00057000,2025-05-27 18:06:24+00:00,57.0,0.01,0.0,0.01,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,call,2025-06-13
XLF250613P00035000,2025-05-23 19:08:24+00:00,35.0,0.01,0.0,0.01,0.0,0.0,1.0,14,1.5000025,False,REGULAR,USD,put,2025-06-13
XLF250613P00039000,2025-05-27 13:35:19+00:00,39.0,0.01,0.0,0.01,0.0,0.0,5.0,5,1.09375453125,False,REGULAR,USD,put,2025-06-13
XLF250613P00040000,2025-05-27 13:35:33+00:00,40.0,0.02,0.0,0.01,0.0,0.0,5.0,11,1.000005,False,REGULAR,USD,put,2025-06-13
XLF250613P00041000,2025-05-22 17:23:15+00:00,41.0,0.03,0.0,0.01,0.0,0.0,30.0,30,0.9062509375,False,REGULAR,USD,put,2025-06-13
XLF250613P00042000,2025-05-27 18:05:50+00:00,42.0,0.02,0.0,0.01,0.0,0.0,1.0,18,0.8125018749999999,False,REGULAR,USD,put,2025-06-13
XLF250613P00043000,2025-06-03 15:29:36+00:00,43.0,0.01,0.0,0.01,0.0,0.0,11.0,30,0.7187528125,False,REGULAR,USD,put,2025-06-13
XLF250613P00043500,2025-05-30 16:24:14+00:00,43.5,0.02,0.0,0.01,0.0,0.0,15.0,120,0.6875031250000001,False,REGULAR,USD,put,2025-06-13
XLF250613P00044000,2025-06-03 13:59:57+00:00,44.0,0.02,0.0,0.01,0.0,0.0,5.0,28,0.64062859375,False,REGULAR,USD,put,2025-06-13
XLF250613P00044500,2025-05-30 19:12:05+00:00,44.5,0.02,0.0,0.01,0.0,0.0,4.0,22,0.5937540625000001,False,REGULAR,USD,put,2025-06-13
XLF250613P00045000,2025-06-04 14:03:36+00:00,45.0,0.01,0.0,0.01,0.0,0.0,1.0,898,0.5625043750000001,False,REGULAR,USD,put,2025-06-13
XLF250613P00045500,2025-06-04 13:37:05+00:00,45.5,0.01,0.0,0.01,0.0,0.0,1.0,32,0.500005,False,REGULAR,USD,put,2025-06-13
