contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expirationDate
XOM250613C00075000,2025-05-30 17:25:11+00:00,75.0,27.2,33.15,33.7,0.0,0.0,1.0,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00080000,2025-06-03 15:30:26+00:00,80.0,24.5,28.3,29.05,0.0,0.0,2.0,6.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00089000,2025-06-09 16:17:26+00:00,89.0,16.25,19.35,19.8,0.0,0.0,14.0,14.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00090000,2025-06-11 13:56:06+00:00,90.0,16.99,18.25,18.7,0.7600002,4.6826878,14.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00091000,2025-06-11 13:56:06+00:00,91.0,16.01,17.3,17.8,0.78999996,5.190539,20.0,16.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00092000,2025-06-06 13:39:09+00:00,92.0,12.0,16.4,16.7,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00093000,2025-05-16 16:51:57+00:00,93.0,15.6,15.3,15.85,0.0,0.0,1.0,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00096000,2025-06-04 14:09:25+00:00,96.0,9.0,12.3,12.7,0.0,0.0,2.0,2.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00097000,2025-06-09 13:52:54+00:00,97.0,8.15,11.4,11.9,0.0,0.0,2.0,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00098000,2025-06-06 14:01:54+00:00,98.0,5.68,10.3,10.85,0.0,0.0,2.0,5.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00099000,2025-06-06 13:43:20+00:00,99.0,4.8,9.45,9.9,0.0,0.0,3.0,159.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00100000,2025-06-11 18:44:08+00:00,100.0,8.47,8.35,8.65,0.94000006,12.4834,1.0,176.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00101000,2025-06-11 18:56:39+00:00,101.0,7.44,7.55,7.85,1.3400002,21.967216,3.0,93.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00102000,2025-06-11 15:29:03+00:00,102.0,6.15,6.55,6.65,0.69000006,12.637364,4.0,578.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00103000,2025-06-11 19:23:54+00:00,103.0,5.67,5.6,5.75,1.1199999,24.61538,73.0,380.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00104000,2025-06-11 18:28:47+00:00,104.0,4.2,4.6,4.7,0.74999976,21.739124,78.0,4074.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00105000,2025-06-11 19:24:07+00:00,105.0,3.98,3.6,3.75,1.5699999,65.145226,167.0,2018.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00106000,2025-06-11 19:25:55+00:00,106.0,2.88,2.64,2.87,1.0000001,53.191498,696.0,2905.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00107000,2025-06-11 19:26:55+00:00,107.0,1.96,1.91,1.96,0.7800001,62.903236,5506.0,8441.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00108000,2025-06-11 19:26:39+00:00,108.0,1.23,1.2,1.25,0.61,98.38709,2042.0,4368.0,1.0000000000000003e-05,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00109000,2025-06-11 19:25:57+00:00,109.0,0.78,0.73,0.76,0.49999997,178.57141,8958.0,7710.0,0.15821154296875,1.0,REGULAR,USD,call,2025-06-13
XOM250613C00110000,2025-06-11 19:26:47+00:00,110.0,0.38,0.37,0.4,0.22,137.5,2493.0,3261.0,0.17920742675781248,0.0,REGULAR,USD,call,2025-06-13
