timestamp,title,publisher,link
2025-06-16 17:13:20+00:00,"Tesla price hikes, Roku–Amazon, Hinge Health analyst coverage",Yahoo Finance Video,https://finance.yahoo.com/video/tesla-price-hikes-roku-amazon-171320374.html
2025-06-11 08:00:40+00:00,Trump-Musk fight reveals fragility of relationship between Silicon Valley and White House,Yahoo Finance,https://finance.yahoo.com/news/trump-musk-fight-reveals-fragility-of-relationship-between-silicon-valley-and-white-house-080040847.html
2025-06-16 20:12:20+00:00,"Tesla Hikes Model S, Model X Prices With Minor Updates, New Paint Option",GuruFocus.com,https://autos.yahoo.com/tesla-hikes-model-model-x-201220817.html
2025-06-16 17:39:44+00:00,"Herbal Medicine Stock With No Sales Rallies 64,000%",Bloomberg,https://finance.yahoo.com/news/herbal-medicine-stock-no-sales-173944789.html
2025-06-16 16:50:33+00:00,Column: Is this the beginning of the end for Tesla?,Automotive News,https://finance.yahoo.com/news/column-beginning-end-tesla-165033976.html
2025-06-16 16:10:58+00:00,JPMorgan Upgrades Ningbo Tuopu on Tesla Recovery Outlook,GuruFocus.com,https://finance.yahoo.com/news/jpmorgan-upgrades-ningbo-tuopu-tesla-161058449.html
2025-06-16 14:34:10+00:00,Tesla Launches Upgraded (and Reportedly Pricier) Model S and Model X EVs,Investopedia,https://finance.yahoo.com/news/tesla-launches-upgraded-reportedly-pricier-143410145.html
2025-06-16 14:01:56+00:00,"Forget Tesla? China's $41,000 Cybertruck Clone Comes With Steer-By-Wire, Adaptive Chassis, And A Wheel That Moves Side To Side",Benzinga,https://finance.yahoo.com/news/forget-tesla-chinas-41-000-140156232.html
2025-06-16 13:22:00+00:00,Do Tesla's Refreshed Model X & S Offer Value Over Competitors?,Zacks,https://finance.yahoo.com/news/teslas-refreshed-model-x-offer-132200718.html
2025-06-16 13:00:03+00:00,"Here is What to Know Beyond Why Tesla, Inc. (TSLA) is a Trending Stock",Zacks,https://finance.yahoo.com/news/know-beyond-why-tesla-inc-130003677.html
2025-06-16 12:12:26+00:00,"Tesla (TSLA) Raises U.S. Prices on Upgraded Model S and X by $5,000",GuruFocus.com,https://finance.yahoo.com/news/tesla-tsla-raises-u-prices-121226176.html
2025-06-16 12:00:45+00:00,"Tesla leads U.S. sales of EVs lower in April, marking the first annual drop in over a year",Fortune,https://finance.yahoo.com/news/tesla-leads-u-sales-evs-120045695.html
2025-06-16 10:39:36+00:00,Electric Vehicles Update - Luxury Auto Sector Accelerates With Eco-Friendly Innovations,Simply Wall St.,https://finance.yahoo.com/news/electric-vehicles-luxury-auto-sector-103936628.html
2025-06-16 09:30:00+00:00,Big Tech’s Furious Rally Forces Options Pros to Line Up Hedges,Bloomberg,https://finance.yahoo.com/news/big-tech-furious-rally-forces-093000399.html
2025-06-16 07:05:00+00:00,"Prediction: Here's What Comes Next for Tesla, and What It Could Mean for Its Stock Price",Motley Fool,https://finance.yahoo.com/news/prediction-heres-comes-next-tesla-070500994.html
2025-06-16 04:32:35+00:00,1 High-Flying Stock on Our Buy List and 2 to Avoid,StockStory,https://finance.yahoo.com/news/1-high-flying-stock-buy-043235948.html
2025-06-16 02:31:11+00:00,Watch These Tesla Stock Price Levels as Investors Look Past Musk-Trump Feud,Investopedia,https://finance.yahoo.com/news/watch-tesla-stock-price-levels-023111934.html
2025-06-15 22:09:00+00:00,Could Buying Tesla Stock Today Be the Smartest Decision You Make This Year?,Motley Fool,https://finance.yahoo.com/news/could-buying-tesla-stock-today-220900929.html
2025-06-15 19:06:00+00:00,Could Buying Tesla Stock Today Set You Up for Life?,Motley Fool,https://finance.yahoo.com/news/could-buying-tesla-stock-today-190600849.html
2025-06-15 16:05:00+00:00,Trump's Bill Would End EV Subsidies: Could This Kill Tesla?,Motley Fool,https://finance.yahoo.com/news/trumps-bill-end-ev-subsidies-160500598.html
2025-06-15 16:00:00+00:00,Every Tesla Investor Should Keep an Eye on These 2 Numbers,Motley Fool,https://finance.yahoo.com/news/every-tesla-investor-keep-eye-160000887.html
2025-06-15 15:42:53+00:00,"Tesla, Inc. (TSLA): “I Would Neverrrr Sell Tesla In This,” Says Jim Cramer",Insider Monkey,https://finance.yahoo.com/news/tesla-inc-tsla-neverrrr-sell-154253877.html
2025-06-15 13:30:00+00:00,Can Elon Musk’s Pajama Party Brighten Up Tesla’s Tomorrow?,The Daily Upside,https://finance.yahoo.com/news/elon-musk-pajama-party-brighten-133000823.html
2025-06-15 11:00:45+00:00,"After Trump-Musk feud, here's the next issue for Tesla stock",Yahoo Finance,https://finance.yahoo.com/news/after-trump-musk-feud-heres-the-next-issue-for-tesla-stock-110045781.html
2025-06-15 09:50:00+00:00,Better EV Stock: BYD vs. Tesla,Motley Fool,https://finance.yahoo.com/news/better-ev-stock-byd-vs-095000392.html
2025-06-15 09:47:47+00:00,"Baird Lowers Tesla (TSLA) to Hold, Citing Valuation and Robotaxi Risk",Insider Monkey,https://finance.yahoo.com/news/baird-lowers-tesla-tsla-hold-094747998.html
2025-06-15 09:35:02+00:00,Rare earth supply risks: Is Tesla the real target by China?,Investing.com,https://finance.yahoo.com/news/rare-earth-supply-risks-tesla-093502625.html
2025-06-15 09:33:53+00:00,Street Calls of the Week,Investing.com,https://finance.yahoo.com/news/street-calls-week-093353412.html
2025-06-15 09:00:00+00:00,"What To Expect in Markets This Week: Fed Rate Decision, Juneteenth Holiday, US Retail Sales, Tesla Robotaxi Rollout",Investopedia,https://finance.yahoo.com/news/expect-markets-week-fed-rate-090000008.html
2025-06-15 08:40:00+00:00,"Warren Buffett Says Buy This Index Fund. It Could Turn $400 Per Month Into $851,800 With Help From Apple, Nvidia, and Tesla.",Motley Fool,https://finance.yahoo.com/news/warren-buffett-says-buy-index-084000079.html
2025-06-14 22:45:00+00:00,"Why Netflix Should Replace Tesla in the ""Magnificent Seven""",Motley Fool,https://finance.yahoo.com/news/why-netflix-replace-tesla-magnificent-224500350.html
2025-06-14 22:00:00+00:00,"The ""Magnificent Seven"" Are Still Growing Faster Than the Rest of the S&P 500. Here's When That Could Change, According to Wall Street Analysts.",Motley Fool,https://finance.yahoo.com/news/magnificent-seven-still-growing-faster-220000180.html
2025-06-14 20:05:00+00:00,Trump's Bill Would End EV Subsidies: Is Rivian in Trouble?,Motley Fool,https://finance.yahoo.com/news/trumps-bill-end-ev-subsidies-200500660.html
2025-06-14 18:47:00+00:00,Tesla claims rival startup is built on stolen trade secrets,TheStreet,https://finance.yahoo.com/news/tesla-claims-rival-startup-built-184700431.html
2025-06-14 17:49:07+00:00,"‘This Is the Start of Tesla’s Path to $2T,’ Says Wedbush Analyst Dan Ives",Insider Monkey,https://finance.yahoo.com/news/start-tesla-path-2t-says-174907442.html
2025-06-14 17:21:27+00:00,Tesla (NasdaqGS:TSLA) Sees 30% Price Jump Over Last Quarter,Simply Wall St.,https://finance.yahoo.com/news/tesla-nasdaqgs-tsla-sees-30-172127475.html
2025-06-14 15:24:00+00:00,Where Will Tesla Stock Be in 5 Years?,Motley Fool,https://finance.yahoo.com/news/where-tesla-stock-5-years-152400243.html
2025-06-14 09:30:10+00:00,Investing.com’s stocks of the week,Investing.com,https://finance.yahoo.com/news/investing-com-stocks-week-093010485.html
2025-06-13 21:01:48+00:00,"Tesla Bumps Model S/X Prices by $5,000",GuruFocus.com,https://finance.yahoo.com/news/tesla-bumps-model-x-prices-210148262.html
2025-06-13 20:32:09+00:00,Tesla EV registrations in the US fall 16% in April,Yahoo Finance Video,https://finance.yahoo.com/video/tesla-ev-registrations-us-fall-203209231.html
2025-06-13 20:15:20+00:00,Why Tesla Stock Soared This Week,Motley Fool,https://finance.yahoo.com/news/why-tesla-stock-soared-week-201520202.html
2025-06-13 18:31:42+00:00,"Elon Musk Net Worth Down $64 Billion In 2025 — But Tesla CEO Still Richer Than Value Of Ford, General Motors, Stellantis, Toyota Combined",Benzinga,https://finance.yahoo.com/news/elon-musk-net-worth-down-183142568.html
2025-06-13 17:33:00+00:00,Tesla rival gets good news as robotaxi launch looms,TheStreet,https://finance.yahoo.com/news/tesla-rival-gets-good-news-173300303.html
2025-06-13 17:23:00+00:00,This Wall Street pro did a deep dive into Tesla — and calls the stock ‘tremendously overpriced.’ The charts show why.,MarketWatch,https://finance.yahoo.com/news/wall-street-pro-did-deep-215100997.html
2025-06-13 17:16:54+00:00,US Transportation Department to Streamline Exemption Rules for Driverless Cars,MT Newswires,https://finance.yahoo.com/news/us-transportation-department-streamline-exemption-171654381.html
2025-06-13 17:11:09+00:00,Tesla stock rises as US moves to ease rules for self-driving cybercab,Investing.com,https://finance.yahoo.com/news/tesla-stock-rises-us-moves-171109959.html
2025-06-13 17:00:34+00:00,Tesla Stock Overcomes Much of the Damage From Musk-Trump Fight,Investopedia,https://finance.yahoo.com/news/tesla-stock-overcomes-much-damage-170034417.html
2025-06-13 17:00:02+00:00,Zevo’s EV-only car-share fleet is helping Tesla owners make money,TechCrunch,https://finance.yahoo.com/news/zevo-ev-only-car-share-170002477.html
2025-06-13 16:50:48+00:00,China Boosts Credit with $204B Bond Push--But Borrowing Stays Muted,GuruFocus.com,https://finance.yahoo.com/news/china-boosts-credit-204b-bond-165048690.html
2025-06-13 16:15:36+00:00,"Oracle reports Q4 beat, BioNTech to acquire CureVac: Morning Buzz",TipRanks,https://finance.yahoo.com/news/oracle-reports-q4-beat-biontech-161536365.html
2025-06-13 16:13:00+00:00,Does Rivian's AI-Driven RAP Provide It a Competitive Edge?,Zacks,https://finance.yahoo.com/news/does-rivians-ai-driven-rap-161300660.html
2025-06-13 16:10:12+00:00,"Visa and Mastercard, Archer raises $850M, GM EV sales in April",Yahoo Finance Video,https://finance.yahoo.com/video/visa-mastercard-archer-raises-850m-161012867.html
2025-06-13 14:22:07+00:00,"Tesla US registrations slide 16% in April, new data shows",Yahoo Finance,https://finance.yahoo.com/news/tesla-us-registrations-slide-16-in-april-new-data-shows-142207040.html
2025-06-13 13:53:20+00:00,Think Lucid Group Stock Is Expensive? This 1 Chart Might Change Your Mind.,Motley Fool,https://finance.yahoo.com/news/think-lucid-group-stock-expensive-135320133.html
2025-06-13 13:06:32+00:00,"Swedish pension fund AP7 blacklists Tesla, has sold entire stake",Reuters,https://finance.yahoo.com/news/swedish-pension-fund-ap7-blacklists-130632176.html
2025-06-13 11:00:49+00:00,"Republican enthusiasm for Musk cools after his feud with Trump, a new AP-NORC poll finds",Associated Press Finance,https://www.yahoo.com/news/republican-enthusiasm-musk-cools-feud-110049600.html
2025-06-13 11:00:00+00:00,EV registrations fall in April for first time in 14 months as Tesla slides 16% in U.S.,Automotive News,https://autos.yahoo.com/ev-registrations-fall-april-first-110000520.html
2025-06-13 10:44:39+00:00,"Social Buzz: Wallstreetbets Stocks Decline Pre-Bell Friday; Tesla, Nvidia to Open Lower",MT Newswires,https://finance.yahoo.com/news/social-buzz-wallstreetbets-stocks-decline-104439688.html
2025-06-13 10:39:34+00:00,This Week In Electric Vehicles - Hyperchargers Drive Global Shift In Charging Infrastructure Growth,Simply Wall St.,https://finance.yahoo.com/news/week-electric-vehicles-hyperchargers-drive-103934743.html
2025-06-13 10:30:04+00:00,What are the top holdings of Cathie Wood's ARK Innovation ETF?,Yahoo Finance Video,https://finance.yahoo.com/video/top-holdings-cathie-woods-ark-103004950.html
2025-06-13 09:45:00+00:00,"Want Exposure to Nvidia, Microsoft, and Tesla? This New ETF Covers Them All.",Motley Fool,https://finance.yahoo.com/news/want-exposure-nvidia-microsoft-tesla-094500328.html
2025-06-13 09:00:19+00:00,How Waymo got the edge on the competition and Tesla's robotaxi (so far),Yahoo Finance,https://finance.yahoo.com/news/how-waymo-got-the-edge-on-the-competition-and-teslas-robotaxi-so-far-090019552.html
2025-06-13 09:00:03+00:00,Musk fires up the robotaxi hype machine as his MAGA spotlight dims,CNN Business,https://finance.yahoo.com/news/musk-fires-robotaxi-hype-machine-090003887.html
2025-06-13 07:05:00+00:00,Is Tesla's Pain Rivian's Gain?,Motley Fool,https://finance.yahoo.com/news/teslas-pain-rivians-gain-070500847.html
2025-06-13 06:17:33+00:00,"Tesla upgrades its Model S and X cars in US, raises prices by $5,000",Reuters,https://finance.yahoo.com/news/tesla-upgrades-model-x-cars-061733321.html
