timestamp,publisher,score,label
2025-06-16 20:15:09+00:00,Yahoo Finance,1.0,BULLISH
2025-06-11 08:00:40+00:00,Yahoo Finance,0.5034,BEARISH
2025-06-16 20:13:18+00:00,GuruFocus.com,0.9999,BULLISH
2025-06-16 19:15:53+00:00,Bloomberg,0.9059,NEUTRAL
2025-06-16 19:06:39+00:00,GuruFocus.com,0.9999,BULLISH
2025-06-16 17:14:00+00:00,The Telegraph,0.9935,NEUTRAL
2025-06-16 15:44:03+00:00,MT Newswires,0.6009,NEUTRAL
2025-06-16 15:42:01+00:00,Social Media Today,1.0,BULLISH
2025-06-16 15:11:34+00:00,MT Newswires,1.0,NEUTRAL
2025-06-16 14:52:06+00:00,Associated Press Finance,1.0,BULLISH
2025-06-16 13:45:00+00:00,Motley Fool,0.5527,BULLISH
2025-06-16 13:41:26+00:00,Bloomberg,0.882,BULLISH
2025-06-16 13:41:13+00:00,Investing.com,0.9416,NEUTRAL
2025-06-16 13:27:37+00:00,Investing.com,0.9999,NEUTRAL
2025-06-16 12:00:00+00:00,The Wall Street Journal,0.9996,BULLISH
2025-06-16 11:50:39+00:00,Fortune,0.9998,BULLISH
2025-06-16 10:45:00+00:00,Motley Fool,0.9989,BULLISH
2025-06-16 09:30:00+00:00,Bloomberg,0.9864,BEARISH
2025-06-16 05:06:19+00:00,Reuters,0.9995,BULLISH
2025-06-15 22:24:40+00:00,Social Media Today,1.0,NEUTRAL
2025-06-15 20:33:02+00:00,Social Media Today,1.0,BULLISH
2025-06-15 16:20:00+00:00,Motley Fool,0.9997,NEUTRAL
2025-06-15 09:47:35+00:00,Insider Monkey,0.9988,NEUTRAL
2025-06-15 00:31:00+00:00,TipRanks,1.0,NEUTRAL
2025-06-14 14:00:46+00:00,Benzinga,0.9954,BULLISH
2025-06-14 13:00:21+00:00,TipRanks,0.9974,BEARISH
2025-06-14 06:00:00+00:00,Bloomberg,1.0,NEUTRAL
2025-06-13 21:59:26+00:00,Reuters,0.9904,BULLISH
2025-06-13 19:46:43+00:00,GuruFocus.com,0.6972,BULLISH
2025-06-13 17:39:49+00:00,Simply Wall St.,1.0,NEUTRAL
2025-06-13 17:38:39+00:00,GuruFocus.com,0.9486,BULLISH
2025-06-13 16:45:28+00:00,TipRanks,1.0,BEARISH
2025-06-13 15:55:09+00:00,TipRanks,0.9903,BULLISH
2025-06-13 15:28:23+00:00,Investopedia,0.9908,BULLISH
2025-06-13 14:00:51+00:00,Power Technology,0.9998,BULLISH
2025-06-13 11:02:16+00:00,Verdict,0.9997,BULLISH
2025-06-13 10:00:42+00:00,Yahoo Finance,0.7073,BULLISH
2025-06-13 09:00:00+00:00,The Telegraph,1.0,BULLISH
2025-06-13 08:40:00+00:00,Motley Fool,0.83,NEUTRAL
2025-06-13 03:29:57+00:00,Reuters,0.997,BEARISH
2025-06-13 01:40:12+00:00,Associated Press Finance,0.9998,BULLISH
2025-06-13 01:34:03+00:00,Reuters,0.9996,BULLISH
2025-06-13 01:30:38+00:00,Bloomberg,1.0,BULLISH
2025-06-12 22:51:00+00:00,FastCompany,1.0,BULLISH
2025-06-12 21:44:46+00:00,Reuters,0.8976,BULLISH
2025-06-12 20:02:43+00:00,Bloomberg,1.0,NEUTRAL
2025-06-12 19:49:34+00:00,GuruFocus.com,0.9986,BULLISH
2025-06-12 19:19:37+00:00,GuruFocus.com,0.9529,BULLISH
2025-06-12 17:47:14+00:00,Simply Wall St.,1.0,BULLISH
2025-06-12 16:03:28+00:00,Social Media Today,0.7786,BEARISH
2025-06-12 16:00:00+00:00,FastCompany,1.0,BEARISH
2025-06-12 15:05:05+00:00,Yahoo Finance Video,0.5135,BULLISH
2025-06-12 14:40:06+00:00,The Telegraph,0.9999,BULLISH
2025-06-12 14:12:25+00:00,Investopedia,0.9963,BEARISH
2025-06-12 14:06:34+00:00,CNN Business,0.9998,BULLISH
2025-06-12 13:33:27+00:00,Bloomberg,0.9972,NEUTRAL
2025-06-12 11:04:56+00:00,Verdict,0.8813,BULLISH
2025-06-12 10:30:23+00:00,Bloomberg,0.9999,BULLISH
2025-06-12 10:00:00+00:00,TechCrunch,0.9994,BULLISH
2025-06-12 10:00:00+00:00,The Daily Upside,0.9989,BULLISH
2025-06-12 09:30:00+00:00,Bloomberg,0.8281,BEARISH
2025-06-12 01:30:00+00:00,TipRanks,1.0,NEUTRAL
2025-06-12 00:17:32+00:00,Bloomberg,0.9995,BULLISH
2025-06-11 22:30:00+00:00,Motley Fool,0.9972,BULLISH
2025-06-11 21:45:02+00:00,Zacks,1.0,BEARISH
2025-06-11 20:47:56+00:00,Insider Monkey,0.7477,BULLISH
2025-06-11 18:04:35+00:00,CoinDesk,0.8383,BEARISH
2025-06-11 17:50:41+00:00,Bloomberg,1.0,NEUTRAL
2025-06-11 16:55:07+00:00,TechCrunch,1.0,NEUTRAL
2025-06-11 15:16:37+00:00,TechCrunch,0.8983,BEARISH
2025-06-11 14:58:56+00:00,Verdict,0.9978,BULLISH
2025-06-11 14:47:23+00:00,Yahoo Finance Video,1.0,BULLISH
2025-06-11 14:29:54+00:00,MT Newswires,0.9963,BULLISH
2025-06-11 14:08:59+00:00,Bloomberg,0.9982,NEUTRAL
2025-06-11 12:00:00+00:00,Motley Fool,0.9999,BULLISH
2025-06-11 10:42:47+00:00,Reuters,0.969,BULLISH
2025-06-11 10:30:00+00:00,The Daily Upside,0.9999,BULLISH
2025-06-11 10:30:00+00:00,Motley Fool,1.0,NEUTRAL
2025-06-11 10:00:49+00:00,Yahoo Finance,1.0,BULLISH
2025-06-11 08:33:00+00:00,Motley Fool,0.998,BULLISH
2025-06-10 20:30:00+00:00,FastCompany,1.0,BULLISH
2025-06-10 20:29:44+00:00,Yahoo Finance,1.0,BULLISH
2025-06-10 20:26:39+00:00,Fox Business,0.9752,BULLISH
2025-06-10 20:22:45+00:00,GuruFocus.com,0.9997,BULLISH
2025-06-10 17:48:18+00:00,Investing.com,0.9049,BULLISH
2025-06-10 17:18:01+00:00,Reuters,0.9999,BULLISH
2025-06-10 17:10:34+00:00,GuruFocus.com,0.9994,NEUTRAL
2025-06-10 16:15:25+00:00,Reuters,1.0,BULLISH
2025-06-10 14:40:28+00:00,Yahoo Finance Video,0.9999,BULLISH
2025-06-10 13:50:09+00:00,Zacks,1.0,NEUTRAL
2025-06-10 13:34:24+00:00,Bloomberg,0.739,BULLISH
2025-06-10 13:07:28+00:00,CNN Business,0.7468,BULLISH
2025-06-10 12:46:58+00:00,CNN Business,1.0,BULLISH
2025-06-10 11:31:18+00:00,Investopedia,0.9998,BULLISH
2025-06-10 11:15:00+00:00,Motley Fool,0.9628,BULLISH
2025-06-10 10:49:15+00:00,Investopedia,1.0,BULLISH
2025-06-10 10:30:00+00:00,The Daily Upside,0.7225,BEARISH
2025-06-10 09:57:06+00:00,StockStory,1.0,NEUTRAL
2025-06-10 08:36:00+00:00,Motley Fool,0.9997,BULLISH
2025-06-10 07:48:24+00:00,PA Media: Money,0.9999,BULLISH
2025-06-10 00:56:00+00:00,Motley Fool,1.0,BULLISH
2025-06-09 20:49:47+00:00,Yahoo Finance,0.5652,BULLISH
2025-06-09 19:14:58+00:00,Insider Monkey,1.0,BULLISH
2025-06-09 15:19:56+00:00,Yahoo Finance Video,0.9996,BULLISH
2025-06-09 13:00:14+00:00,Zacks,0.9966,BULLISH
2025-06-09 10:22:01+00:00,Verdict,0.8669,BULLISH
2025-06-09 10:00:05+00:00,Yahoo Finance Video,0.9996,NEUTRAL
2025-06-08 21:59:20+00:00,Bloomberg,0.9822,BULLISH
2025-06-08 21:49:48+00:00,Social Media Today,1.0,NEUTRAL
2025-06-08 21:01:59+00:00,Social Media Today,1.0,BULLISH
2025-06-08 19:59:08+00:00,TechCrunch,0.9998,BULLISH
2025-06-08 16:37:26+00:00,Bloomberg,0.9989,BULLISH
2025-06-08 14:21:30+00:00,The Telegraph,0.9995,BULLISH
2025-06-08 12:00:46+00:00,Yahoo Finance Video,0.999,NEUTRAL
2025-06-08 09:40:00+00:00,Motley Fool,0.959,NEUTRAL
2025-06-08 08:35:00+00:00,Motley Fool,1.0,BULLISH
2025-06-08 05:58:02+00:00,Reuters,0.9998,BULLISH
2025-06-07 19:30:00+00:00,InvestorPlace,1.0,BULLISH
2025-06-07 19:00:00+00:00,Bloomberg,0.9756,BEARISH
2025-06-07 14:20:21+00:00,TipRanks,1.0,BULLISH
2025-06-07 09:30:00+00:00,Motley Fool,1.0,BULLISH
2025-06-07 08:20:00+00:00,Motley Fool,0.8089,NEUTRAL
2025-06-06 18:42:39+00:00,Motley Fool,0.978,NEUTRAL
2025-06-06 14:17:00+00:00,Zacks,0.9975,NEUTRAL
2025-06-06 14:12:22+00:00,Insider Monkey,1.0,BULLISH
2025-06-06 13:45:09+00:00,Zacks,1.0,NEUTRAL
2025-06-06 13:11:00+00:00,Investing.com,1.0,BULLISH
2025-06-06 07:08:53+00:00,The Independent,0.9992,BULLISH
2025-06-05 21:45:15+00:00,Zacks,0.9976,BULLISH
2025-06-05 21:11:58+00:00,Insider Monkey,1.0,BULLISH
2025-06-05 15:30:55+00:00,Zacks,0.9972,NEUTRAL
2025-06-05 15:15:00+00:00,The Daily Upside,0.9998,BEARISH
2025-06-05 13:45:04+00:00,Insider Monkey,1.0,BULLISH
2025-06-05 12:23:47+00:00,GuruFocus.com,0.6669,BULLISH
2025-06-05 11:45:00+00:00,Motley Fool,1.0,NEUTRAL
2025-06-05 09:00:00+00:00,Bloomberg,1.0,NEUTRAL
2025-06-05 08:51:00+00:00,Motley Fool,0.9774,BULLISH
2025-06-05 07:51:00+00:00,Motley Fool,1.0,BULLISH
2025-06-05 06:01:51+00:00,Bloomberg,0.9959,BULLISH
2025-06-05 04:00:00+00:00,Associated Press Finance,0.9999,BULLISH
2025-06-05 02:44:29+00:00,Bloomberg,0.9598,BULLISH
2025-06-04 19:46:20+00:00,Motley Fool,0.7416,BULLISH
2025-06-04 19:45:11+00:00,Bloomberg,0.9999,BULLISH
2025-06-04 19:32:20+00:00,Motley Fool,0.803,BULLISH
2025-06-04 19:05:00+00:00,GuruFocus.com,1.0,NEUTRAL
2025-06-04 18:50:53+00:00,LA Times,0.9925,BEARISH
2025-06-04 18:06:17+00:00,Insider Monkey,0.9246,NEUTRAL
2025-06-04 17:36:36+00:00,Simply Wall St.,0.9437,BULLISH
2025-06-04 15:37:00+00:00,Motley Fool,0.7018,BEARISH
2025-06-04 14:43:57+00:00,Investopedia,1.0,NEUTRAL
2025-06-04 12:48:50+00:00,Investing.com,1.0,BEARISH
2025-06-04 11:42:35+00:00,Bloomberg,1.0,BEARISH
2025-06-04 11:30:56+00:00,Verdict,0.9991,BULLISH
2025-06-04 11:00:32+00:00,Yahoo Finance Video,1.0,BEARISH
2025-06-04 10:20:00+00:00,Motley Fool,0.986,NEUTRAL
2025-06-04 09:05:00+00:00,Motley Fool,1.0,NEUTRAL
2025-06-04 07:18:00+00:00,Motley Fool,0.9984,BULLISH
2025-06-04 05:00:00+00:00,Fortune,0.9449,BULLISH
2025-06-04 04:00:00+00:00,Associated Press Finance,0.9999,BULLISH
2025-06-04 01:00:00+00:00,Motley Fool,1.0,NEUTRAL
2025-06-03 22:20:00+00:00,Yahoo Finance Video,0.5596,BULLISH
2025-06-03 20:49:00+00:00,Motley Fool,0.9999,NEUTRAL
2025-06-03 20:34:00+00:00,Motley Fool,0.9995,NEUTRAL
2025-06-03 19:18:11+00:00,Motley Fool,0.9987,NEUTRAL
2025-06-03 19:10:00+00:00,FastCompany,1.0,BULLISH
2025-06-03 18:55:49+00:00,Motley Fool,0.8874,BEARISH
2025-06-03 17:52:35+00:00,Simply Wall St.,0.5508,NEUTRAL
2025-06-03 17:12:52+00:00,Bloomberg,0.9832,BULLISH
2025-06-03 16:58:28+00:00,Associated Press Finance,1.0,NEUTRAL
2025-06-03 16:44:51+00:00,Motley Fool,1.0,NEUTRAL
2025-06-03 16:00:00+00:00,Zacks,1.0,BULLISH
2025-06-03 15:50:32+00:00,Investopedia,0.9305,BULLISH
2025-06-03 15:43:36+00:00,MT Newswires,1.0,NEUTRAL
2025-06-03 15:07:16+00:00,Yahoo Finance Video,1.0,BULLISH
